#,P:N1,P:N2,净利润,年化收益率%
1*,17,4,14967153.29,102.88
2,18,4,14064823.84,96.68
3,6,20,13731793.13,94.39
4,16,3,13615665.91,93.91
5,5,38,13470169.82,91.75
6,5,39,13404141.49,90.75
7,29,34,13359189.49,91.00
8,47,34,13320915.13,90.74
9,7,19,13228058.81,90.25
10,44,40,13202189.14,89.93
11,4,38,13200350.77,89.92
12,7,20,13180663.77,89.92
13,4,39,13150256.29,89.57
14,31,34,13103665.04,89.26
15,17,5,12995486.60,89.33
16,47,44,12994209.61,88.51
17,47,35,12991071.33,88.49
18,44,42,12968267.18,88.33
19,47,45,12945507.11,88.18
20,5,40,12905735.25,87.37
21,46,30,12884872.14,87.77
22,45,44,12881243.88,87.74
23,43,42,12848214.95,87.52
24,45,41,12838992.79,87.45
25,47,36,12820692.46,87.33
26,45,29,12764923.11,86.95
27,46,36,12759477.85,86.91
28,3,39,12747123.00,86.83
29,45,28,12660221.90,86.24
30,32,33,12650885.11,86.17
31,30,34,12646023.33,86.14
32,8,19,12638239.24,86.22
33,48,46,12629437.44,86.03
34,47,31,12628124.94,86.02
35,4,40,12626787.71,85.49
36,44,41,12610210.66,85.90
37,4,37,12608193.66,85.88
38,46,31,12599470.74,85.82
39,5,37,12583955.50,85.72
40,46,44,12577444.25,85.67
41,47,46,12574396.96,85.65
42,43,40,12546588.92,85.46
43,6,19,12541632.74,86.21
44,4,29,12529203.85,85.34
45,31,33,12458987.60,84.87
46,33,35,12451156.63,84.81
47,4,35,12429937.79,83.29
48,30,33,12428230.81,84.66
49,45,37,12417024.51,84.58
50,46,34,12395407.13,84.43
51,45,31,12372923.09,84.28
52,45,36,12370127.38,84.26
53,4,30,12364848.31,84.22
54,46,33,12360208.42,84.19
55,47,32,12353338.75,84.15
56,5,35,12333168.22,84.01
57,44,48,12315437.54,80.06
58,47,33,12311235.89,83.86
59,48,34,12307675.75,83.83
60,46,45,12306413.49,83.83
61,48,47,12271372.20,83.59
62,46,41,12270748.83,83.58
63,4,28,12268496.78,83.57
64,45,30,12255681.89,83.48
65,47,37,12255121.28,83.48
66,48,33,12245718.09,83.41
67,50,36,12244211.68,83.40
68,48,36,12193668.66,83.06
69,46,35,12168839.52,82.89
70,3,38,12160336.50,82.83
71,7,18,12157972.97,83.57
72,44,31,12152197.84,82.78
73,6,21,12148594.32,83.51
74,43,41,12142237.02,82.71
75,48,35,12132185.21,82.64
76,43,39,12115789.08,82.53
77,5,41,12112952.47,82.01
78,46,32,12077817.86,82.27
79,33,36,12064449.80,82.18
80,46,28,12042479.55,82.03
81,29,33,12037145.87,81.99
82,5,36,12004860.89,81.77
83,7,21,11988583.79,81.79
84,5,30,11976101.47,81.58
85,4,45,11945348.38,81.37
86,47,30,11941749.53,81.34
87,44,32,11929557.94,81.26
88,45,43,11926707.64,81.24
89,48,45,11901206.88,81.07
90,46,37,11893940.00,81.02
91,4,31,11874678.00,80.89
92,5,47,11871645.14,81.43
93,47,40,11866154.04,80.83
94,49,34,11861233.24,80.79
95,45,33,11856859.71,80.76
96,8,18,11845714.10,80.82
97,46,29,11834405.48,80.61
98,45,42,11831414.23,80.59
99,6,22,11823913.24,80.67
100,4,36,11818628.85,80.50
