P:N1,P:N2,净利润,年化收益率%
29,34,12412510.81,113.76
29,33,11419741.22,105.46
28,33,11363030.59,104.93
27,35,11139021.27,103.65
26,36,10973110.79,102.1
28,35,10855055.69,101.01
24,38,10807684.04,100.57
31,34,10954573.01,100.4
30,34,10889282.71,99.8
25,37,10722561.63,99.77
30,33,10865329.07,99.58
28,34,10662443.95,99.21
31,33,10791211.28,98.9
29,35,10621570.53,98.83
31,32,10649743.04,98.34
26,35,10536617.26,98.04
32,33,10496574.31,96.2
25,36,10324717.1,96.07
43,47,11081904.59,95.48
27,34,10247637.46,95.35
44,48,10971981.81,95.1
8,19,10436364.91,94.94
24,37,10183530.38,94.76
44,47,10922885.06,94.68
26,34,10133324.56,94.29
43,44,10251573.91,93.96
30,35,10249734.08,93.94
35,39,10094710.54,93.93
27,36,10062342.88,93.63
31,50,10061858.94,93.63
19,4,10214034.18,93.61
25,38,10052208.29,93.54
45,46,10198613.52,93.47
33,34,10188603.74,92.68
36,49,10624513.85,92.65
28,36,9927340.29,92.37
44,46,9905099.17,92.17
35,38,9952945.66,91.91
26,37,9868291.4,91.82
31,49,9861354.44,91.76
5,38,9898965.56,91.41
24,40,9823554.15,91.41
36,48,10475642.59,91.35
32,50,10598268.01,91.32
29,36,9807169.47,91.26
7,20,10022772.99,91.17
17,4,9930181.66,91.01
6,20,9926350,90.98
24,36,9771490.44,90.92
43,48,10465525.29,90.71
25,35,9745246.7,90.68
31,48,9733740.63,90.57
30,32,9851760.65,90.29
30,49,9701937.63,90.28
23,34,9675663.04,90.03
7,19,9876209.25,89.84
36,50,10288967.8,89.72
6,22,9848308.95,89.59
27,33,9624993.06,89.56
35,49,10269397.75,89.55
24,35,9590759.38,89.24
26,38,9587103.7,89.21
8,18,9800311.27,89.15
22,35,9569852.15,89.05
22,33,9551887.16,88.88
35,50,10176956.99,88.74
31,43,9530581.99,88.68
5,37,9567810,88.35
23,36,9487799.92,88.28
32,41,9484097.46,88.25
27,37,9458734.39,88.01
33,35,9598660.58,87.97
4,38,9520729.97,87.92
5,39,9645951.39,87.75
31,35,9570615.06,87.72
32,34,9427442.61,87.72
41,47,9409638.55,87.56
45,47,10090297.4,87.46
31,36,9541808.92,87.45
23,35,9390508.57,87.38
34,38,9456318.25,87.32
6,21,9518786.91,87.24
16,3,9445600.35,87.23
30,36,9476719.95,86.85
40,47,9959165.94,86.84
37,48,9936486.35,86.65
28,29,9510764.2,86.52
35,48,10039707.13,86.5
43,49,9902601.31,85.83
34,50,9792846.75,85.39
42,49,9776619.3,84.74
39,50,9778971.85,84.26
39,49,9739025.71,83.91
41,49,9735565.28,83.88
42,48,9729638.35,83.83
44,49,9528380.86,83.59
39,48,9549958.91,83.28
33,50,9546413.92,83.24
41,48,9652664.76,83.17
34,49,9416774.29,82.11
