P:N1,P:N2,净利润,年化收益率%
50,50,0,0
50,49,0,0
50,48,0,0
50,47,0,0
50,46,0,0
50,45,0,0
50,44,0,0
50,43,0,0
50,42,0,0
50,41,0,0
50,40,112482,11.28
50,39,238655.85,23.85
50,38,368228,37.23
50,37,368228,37.23
50,36,368228,37.23
50,35,368228,37.23
50,34,368228,37.23
50,33,368228,37.23
50,32,368228,37.23
50,31,368228,37.23
50,30,368228,37.23
50,29,368228,37.23
50,28,368228,37.23
50,27,368228,37.23
50,26,368228,37.23
50,25,368228,37.23
50,24,-481368.8,-42.38
50,23,-406512.76,-36.03
50,22,-485166.9,-42.71
50,21,-630998.93,-55.55
50,20,-623445.15,-54.89
50,19,-623445.15,-54.89
50,18,-623445.15,-54.89
50,17,-623445.15,-54.89
50,16,-623445.15,-54.89
50,15,-623445.15,-54.89
50,14,-623445.15,-54.89
50,13,899821.8,79.74
50,12,899821.8,79.74
50,11,973387.45,85.69
50,10,950576.05,83.69
50,9,-780179.95,-68.68
50,8,743087,65.85
50,7,914979.38,81.09
50,6,748943.99,65.93
50,5,885018.45,77.91
50,4,961021.26,84.61
50,3,1102041.11,97.02
50,2,308425.91,27.15
50,1,0,0
49,50,0,0
49,49,0,0
49,48,0,0
49,47,0,0
49,46,0,0
49,45,0,0
49,44,0,0
49,43,0,0
49,42,0,0
49,41,0,0
49,40,112482,11.28
49,39,238655.85,23.85
49,38,368228,37.23
49,37,368228,37.23
49,36,368228,37.23
49,35,368228,37.23
49,34,368228,37.23
49,33,368228,37.23
49,32,368228,37.23
49,31,368228,37.23
49,30,368228,37.23
49,29,368228,37.23
49,28,368228,37.23
49,27,368228,37.23
49,26,368228,37.23
49,25,368228,37.23
49,24,-481368.8,-42.38
49,23,-406512.76,-36.03
49,22,-485166.9,-42.71
49,21,-630998.93,-55.55
49,20,-623445.15,-54.89
49,19,-623445.15,-54.89
49,18,-623445.15,-54.89
49,17,-623445.15,-54.89
49,16,-623445.15,-54.89
49,15,-623445.15,-54.89
49,14,-623445.15,-54.89
49,13,899821.8,79.74
49,12,899821.8,79.74
49,11,973387.45,85.69
49,10,950576.05,83.69
49,9,-780179.95,-68.68
49,8,950576.05,83.69
49,7,899821.8,79.74
49,6,748943.99,65.93
49,5,885018.45,77.91
49,4,961021.26,84.61
49,3,1102041.11,97.02
49,2,376444.11,33.14
49,1,0,0
48,50,0,0
48,49,0,0
48,48,0,0
48,47,0,0
48,46,0,0
48,45,0,0
48,44,0,0
48,43,0,0
48,42,0,0
48,41,0,0
48,40,112482,11.28
48,39,238655.85,23.85
48,38,368228,36.9
48,37,368228,36.9
48,36,368228,36.9
48,35,368228,36.9
48,34,368228,36.9
48,33,368228,36.9
48,32,368228,36.9
48,31,368228,36.9
48,30,368228,36.9
48,29,368228,36.9
48,28,368228,36.9
48,27,368228,36.9
48,26,368228,36.9
48,25,368228,36.9
48,24,-481368.8,-42.38
48,23,-406512.76,-36.03
48,22,-485166.9,-42.71
48,21,-630998.93,-55.55
48,20,-623445.15,-54.89
48,19,-623445.15,-54.89
48,18,-623445.15,-54.89
48,17,-623445.15,-54.89
48,16,-623445.15,-54.89
48,15,-623445.15,-54.89
48,14,-623445.15,-54.89
48,13,899821.8,79.74
48,12,899821.8,79.74
48,11,973387.45,85.69
48,10,950576.05,83.69
48,9,-780179.95,-68.68
48,8,743087,65.85
48,7,899821.8,79.74
48,6,801995.5,70.61
48,5,885018.45,77.91
48,4,961021.26,84.61
48,3,961021.26,84.61
48,2,1170059.31,103.01
48,1,0,0
47,50,0,0
47,49,0,0
47,48,0,0
47,47,0,0
47,46,0,0
47,45,0,0
47,44,0,0
47,43,0,0
47,42,0,0
47,41,0,0
47,40,112482,11.28
47,39,238655.85,23.85
47,38,368228,36.9
47,37,368228,36.9
47,36,368228,36.9
47,35,368228,36.9
47,34,368228,36.9
47,33,368228,36.9
47,32,368228,36.9
47,31,368228,36.9
47,30,368228,36.9
47,29,368228,36.9
47,28,368228,36.9
47,27,368228,36.9
47,26,368228,36.9
47,25,368228,36.9
47,24,-481368.8,-42.38
47,23,-406512.76,-36.03
47,22,-485166.9,-42.71
47,21,-630998.93,-55.55
47,20,-623445.15,-54.89
47,19,-623445.15,-54.89
47,18,-623445.15,-54.89
47,17,-623445.15,-54.89
47,16,-623445.15,-54.89
47,15,-623445.15,-54.89
47,14,-623445.15,-54.89
47,13,899821.8,79.74
47,12,899821.8,79.74
47,11,973387.45,85.69
47,10,950576.05,83.69
47,9,-780179.95,-68.68
47,8,743087,65.85
47,7,899821.8,79.74
47,6,801995.5,70.61
47,5,961021.26,84.61
47,4,961021.26,84.61
47,3,961021.26,84.61
47,2,1170059.31,103.01
47,1,0,0
46,50,0,0
46,49,0,0
46,48,0,0
46,47,0,0
46,46,0,0
46,45,0,0
46,44,0,0
46,43,0,0
46,42,0,0
46,41,0,0
46,40,112482,11.28
46,39,238655.85,23.85
46,38,368228,36.9
46,37,368228,36.9
46,36,368228,36.9
46,35,368228,36.9
46,34,368228,36.9
46,33,368228,36.9
46,32,368228,36.9
46,31,368228,36.9
46,30,368228,36.9
46,29,368228,36.9
46,28,368228,36.9
46,27,368228,36.9
46,26,368228,36.9
46,25,368228,36.9
46,24,-481368.8,-42.38
46,23,-447185.9,-39.37
46,22,-485166.9,-42.71
46,21,-630998.93,-55.55
46,20,-623445.15,-54.89
46,19,-623445.15,-54.89
46,18,-623445.15,-54.89
46,17,-623445.15,-54.89
46,16,-623445.15,-54.89
46,15,-623445.15,-54.89
46,14,-623445.15,-54.89
46,13,899821.8,79.74
46,12,899821.8,79.74
46,11,973387.45,85.69
46,10,950576.05,83.69
46,9,743087,65.85
46,8,743087,65.85
46,7,899821.8,79.74
46,6,801995.5,70.61
46,5,885018.45,77.91
46,4,885018.45,77.91
46,3,885018.45,77.91
46,2,1182425.5,104.1
46,1,0,0
45,50,0,0
45,49,0,0
45,48,0,0
45,47,0,0
45,46,0,0
45,45,0,0
45,44,0,0
45,43,0,0
45,42,0,0
45,41,0,0
45,40,112482,11.28
45,39,238655.85,23.85
45,38,368228,36.9
45,37,368228,36.9
45,36,368228,36.9
45,35,368228,36.9
45,34,368228,36.9
45,33,368228,36.9
45,32,368228,36.9
45,31,368228,36.9
45,30,368228,36.9
45,29,368228,36.9
45,28,368228,36.9
45,27,368228,36.9
45,26,803362.75,73.63
45,25,770496.32,70.62
45,24,685312.18,61.55
45,23,719495.07,64.62
45,22,-485166.9,-42.71
45,21,-630998.93,-55.55
45,20,-623445.15,-54.89
45,19,-623445.15,-54.89
45,18,-623445.15,-54.89
45,17,-623445.15,-54.89
45,16,-623445.15,-54.89
