#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,2,9,24873131.68,142.95,1.0369
2,2,10,24039191.73,123.56,0.9854
3,2,8,23609383.70,135.68,0.9224
4,10,11,21713236.45,117.73,1.0192
5,3,9,21390578.06,125.57,0.8634
6,4,5,21339081.75,122.64,0.9138
7,3,18,21182906.59,114.85,0.9331
8,2,11,20816659.91,106.99,0.8277
9,3,17,20810053.68,112.83,0.8807
10,2,7,20771937.07,119.38,0.8052
11,3,10,20698126.01,110.07,0.8629
12,2,17,20642526.02,109.35,0.8674
13,2,18,20592768.84,111.65,0.8754
14,2,6,20580362.07,118.28,0.7421
15,2,12,20425860.94,108.62,0.8358
16,4,17,20152814.73,109.27,0.8623
17,4,8,19839374.64,117.96,0.8106
18,7,12,19474815.13,105.59,0.8571
19,9,8,19447316.05,111.76,0.8573
20,2,13,19357852.03,102.94,0.7986
21,7,8,19294343.13,110.89,0.7464
22,5,7,19258100.71,109.94,0.7010
23,6,7,19125545.99,108.70,0.7753
24,4,16,19117224.46,103.65,0.8127
25,3,19,18938647.24,102.69,0.8274
26,4,18,18835912.05,102.13,0.8282
27,4,10,18823526.93,100.10,0.7041
28,3,11,18786531.71,99.90,0.7972
29,3,16,18732987.03,99.24,0.8140
30,3,8,18563242.76,110.38,0.6891
31,7,11,18352831.71,97.22,0.7804
32,6,13,18327781.23,99.37,0.8012
33,2,15,18317639.12,97.41,0.7278
34,10,12,18150113.01,98.41,0.8394
35,6,8,18148087.22,105.47,0.6457
36,4,6,18055150.53,107.36,0.6761
37,2,16,18047667.58,95.61,0.7626
38,5,6,18046012.77,107.30,0.7004
39,2,19,18045037.82,97.84,0.7333
40,24,21,17990690.19,91.02,0.8965
41,3,5,17892748.12,106.39,0.7140
42,5,12,17845421.67,94.53,0.7019
43,4,14,17829180.63,94.45,0.7520
44,5,16,17777475.96,96.39,0.7228
45,2,14,17731973.04,94.29,0.6915
46,4,11,17683147.66,93.67,0.6503
47,2,5,17671692.04,101.56,0.6209
48,25,22,17573438.41,88.03,0.8482
49,8,11,17407869.06,92.22,0.7883
50,7,13,17326030.04,93.94,0.7710
51,5,17,17312608.45,93.87,0.6696
52,3,4,17072291.96,101.51,0.6237
53,8,7,17026701.36,96.77,0.6192
54,5,8,16940539.69,100.73,0.6190
55,3,14,16897378.41,89.86,0.6621
56,4,9,16752598.53,99.61,0.6631
57,3,20,16729329.54,90.00,0.7080
58,9,12,16725731.43,90.69,0.7679
59,2,20,16648322.50,90.27,0.6864
60,5,11,16647104.39,88.19,0.6143
61,4,15,16639606.95,88.15,0.6845
62,8,12,16613543.94,90.08,0.7222
63,2,4,16556021.46,100.37,0.5761
64,9,11,16511138.53,87.47,0.7416
65,5,15,16377291.28,88.80,0.6435
66,27,3,16296414.84,94.71,1.4271
67,28,4,16174385.59,93.49,1.4458
68,5,13,16104617.91,85.31,0.6369
69,4,13,16074605.71,85.15,0.6179
70,24,22,16005821.40,87.47,0.7660
71,5,14,15965166.84,86.56,0.6162
72,2,22,15961907.20,86.55,0.7000
73,3,15,15895105.75,84.20,0.6193
74,25,18,15740812.71,79.26,0.8820
75,16,14,15712976.55,85.53,0.7389
76,16,15,15684484.40,85.38,0.6781
77,3,12,15458541.21,82.20,0.6122
78,5,18,15307908.58,81.09,0.5907
79,4,19,15273799.35,80.91,0.6211
80,9,10,15271376.31,80.90,0.7129
81,25,19,15250850.80,83.34,0.8199
82,26,19,15236357.19,77.08,0.8423
83,4,7,15202916.06,90.40,0.5212
84,3,21,15177421.56,81.65,0.6491
85,5,10,15175130.09,80.70,0.5414
86,17,15,15065684.39,82.99,0.6463
87,25,21,15054770.36,76.16,0.8013
88,3,7,15030117.66,89.37,0.5322
89,10,3,15016835.15,85.16,0.8906
90,8,13,15005170.42,81.36,0.6967
91,19,17,14965869.00,83.44,0.5767
92,5,9,14927149.80,88.76,0.5276
93,2,24,14840056.91,80.46,0.6585
94,8,10,14828303.56,78.85,0.6135
95,2,21,14825689.75,81.02,0.6354
96,3,13,14816703.84,78.79,0.5856
97,2,23,14805486.15,80.28,0.6190
98,7,10,14739081.13,78.38,0.5823
99,6,17,14711241.51,77.93,0.5982
100,6,16,14708266.34,77.92,0.6129
