#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,8,3,12656890.11,85.14,0.7468
2,15,12,12443495.00,73.15,0.6276
3,8,4,12092998.43,81.35,0.5855
4,5,6,10971513.31,70.64,0.4588
5,6,12,10705205.79,61.72,0.4887
6,7,9,9969633.28,68.35,0.3901
7,6,13,9720226.52,56.05,0.4289
8,20,13,9458170.58,55.82,0.5021
9,6,8,9447712.21,62.34,0.3577
10,5,7,9058392.34,59.77,0.3413
11,9,4,9022122.84,60.69,0.4931
12,5,9,8781143.04,59.79,0.3327
13,15,11,8748879.50,59.52,0.4409
14,5,13,8720802.89,50.28,0.4119
15,7,10,8677328.76,58.82,0.3523
16,4,12,8413965.01,58.35,0.3443
17,34,3,8373406.25,59.12,0.7836
18,10,6,8359982.86,56.24,0.3361
19,28,2,8301389.51,61.58,0.7478
20,2,12,8294481.60,51.79,0.3633
21,11,12,8266901.51,48.60,0.3988
22,13,15,8083770.78,54.31,0.3543
23,12,15,8042445.34,51.94,0.3387
24,6,11,7984433.42,54.12,0.3553
25,4,13,7976204.05,53.11,0.3498
26,17,14,7917002.79,46.54,0.3547
27,14,11,7857759.14,51.61,0.3320
28,16,6,7808417.09,54.03,0.6140
29,22,12,7792647.85,47.67,0.3949
30,33,3,7765054.97,54.83,0.7082
31,19,15,7651706.74,47.98,0.3694
32,15,10,7637365.24,51.68,0.3707
33,6,15,7595500.69,44.65,0.3135
34,4,15,7595036.57,43.79,0.3505
35,9,10,7512421.46,51.90,0.3098
36,6,10,7506526.40,51.85,0.3240
37,38,14,7506239.03,57.48,0.5932
38,38,15,7479127.59,57.27,0.5921
39,33,4,7425277.69,53.50,0.7118
40,21,15,7423794.39,45.41,0.3960
41,4,7,7358155.86,48.55,0.2958
42,17,5,7323480.15,50.68,0.6133
43,7,13,7314329.16,42.66,0.3151
44,8,9,7258473.20,49.20,0.2752
45,3,8,7255774.15,47.88,0.2998
46,23,11,7203567.74,44.07,0.3661
47,16,14,7161318.15,41.29,0.3138
48,3,7,7156505.70,47.22,0.3409
49,15,9,7143968.74,48.60,0.3869
50,5,14,7124131.81,41.08,0.3298
51,11,17,7112135.65,47.78,0.2951
52,12,17,7104281.84,47.73,0.2804
53,12,16,7102796.26,47.72,0.2866
54,10,11,7097281.03,49.29,0.3229
55,3,15,7071581.32,41.57,0.3083
56,34,8,7049479.11,49.62,0.5846
57,5,16,7029134.45,41.32,0.3137
58,2,11,6898445.10,44.36,0.2890
59,16,13,6883586.38,39.69,0.3271
60,13,12,6869717.90,47.46,0.2499
61,35,7,6864018.64,48.31,0.5544
62,20,16,6849541.20,42.77,0.3681
63,21,13,6818635.86,48.36,0.3744
64,47,9,6761326.41,47.32,0.5929
65,33,8,6600492.96,46.46,0.5881
66,35,6,6572918.89,46.26,0.5196
67,32,7,6563491.02,46.20,0.6139
68,35,8,6545016.81,46.07,0.5273
69,32,8,6542256.04,46.05,0.6100
70,13,11,6539274.79,42.95,0.2691
71,19,18,6518242.12,40.87,0.3349
72,32,12,6512092.16,42.38,0.3515
73,21,16,6499821.84,40.59,0.3529
74,31,12,6496544.09,42.28,0.3573
75,12,14,6484275.95,41.88,0.2895
76,6,14,6483874.36,37.82,0.2831
77,26,2,6469422.51,47.49,0.6282
78,21,17,6455879.34,41.17,0.3337
79,3,6,6406990.04,42.28,0.2986
80,13,16,6404022.57,43.02,0.2481
81,3,14,6363908.94,39.09,0.2530
82,24,12,6357141.75,44.38,0.3323
83,45,9,6338845.36,44.00,0.5826
84,35,5,6332602.81,45.62,0.5448
85,5,11,6332206.85,43.12,0.2459
86,32,13,6328595.59,41.18,0.3337
87,27,6,6323928.66,40.67,0.3714
88,10,12,6291421.60,36.70,0.3089
89,7,4,6291147.37,43.14,0.2839
90,7,12,6275268.65,36.18,0.2527
91,4,10,6244357.24,42.52,0.2133
92,23,14,6240741.26,38.18,0.3359
93,5,10,6224021.89,42.38,0.2052
94,4,14,6221031.96,40.01,0.2522
95,36,3,6207712.25,44.72,0.4503
96,14,12,6195666.16,42.80,0.2348
97,16,12,6190663.89,35.69,0.3063
98,34,4,6156074.67,44.35,0.6176
99,32,14,6130364.71,39.89,0.3042
100,30,2,6091060.01,45.18,0.6144
