P:N1,P:N2,净利润,年化收益率%,夏普比率
7,9,12787658.39,233.62,1.2682
8,3,11924229.53,213.76,1.9885
2,3,11340859.54,212.1,1.0413
8,4,11438919.76,205.06,1.402
7,10,10503045.62,189.72,1.0578
18,14,10876583.63,180.25,1.2038
8,9,9903629.26,178.89,0.9822
11,20,10239419.65,171.82,1.1476
13,16,9424025.99,168.72,1.0608
6,10,8901423.55,163.87,0.9338
22,12,9960715.24,162.38,1.2107
12,17,9035025.45,161.76,1.0173
20,13,10277352.71,161.63,1.2314
8,10,8944448.01,161.56,0.9163
13,15,9009025.94,161.29,1.025
5,6,9381055.82,160.96,0.8535
19,15,9627231.86,160.87,1.0855
7,11,8866626.82,160.16,0.9185
11,19,9139849.19,159.24,1.0122
7,12,10314016.72,158.48,1.0962
25,20,9663129.31,158.18,1.2047
23,11,9702255.81,158.17,1.2285
11,21,9100304.25,157.99,0.957
32,12,9043647.74,156.83,1.3125
17,14,9976530.66,156.29,1.0898
5,7,8886274.1,156.27,0.8134
5,9,8458360.88,153.49,0.7768
16,14,9987224.26,153.46,1.0725
6,12,9960602.33,153.05,1.0723
12,15,8871340.19,152.69,0.9861
11,18,8719169.34,151.91,0.9639
21,20,9305689.88,151.71,1.1064
8,11,8225444.98,151.42,0.8689
12,19,9016711.09,151.3,1.0363
6,13,9829221.21,151.03,1.0353
21,15,9259518.3,150.95,1.1185
32,13,8691066.66,150.72,1.2385
32,14,8672557.41,150.4,1.2339
12,20,8961744.89,150.38,1.045
3,4,8094128,149.79,0.9041
4,5,8503916.69,149.54,0.8117
5,10,8198613.31,148.78,0.7516
11,17,8293789.45,148.49,0.9314
18,20,8914135.84,148.34,1.0146
8,12,9504489.34,147.74,1.0086
14,15,8227667.1,147.3,0.879
15,19,9113813.34,146.79,1.0925
12,18,8418445.2,146.67,0.9576
12,16,8167419.66,146.23,0.9177
11,22,8413832.24,146.07,0.8684
18,13,8810295.15,146,0.9756
6,11,8044925.2,145.32,0.8567
25,19,8859131.13,145.01,1.0855
5,8,7717934.56,143.58,0.6971
18,21,8325745.51,142.69,0.9249
7,13,9174044.39,142.6,0.9782
13,19,8481602.39,142.32,0.9888
14,19,8481602.39,142.32,0.9888
15,10,7887000.6,142.23,0.9481
16,19,8719573.82,142.15,1.0394
20,16,8469690.14,140.94,1.0409
17,15,8958310.28,140.34,0.992
22,16,8423276.31,140.17,1.0357
10,20,8333059.41,139.83,0.9833
21,17,8219314.08,139.67,0.9737
6,15,8825552.79,138.26,0.9244
19,21,8041905,137.83,0.8878
16,15,8566538.22,137.42,0.9491
20,19,8213817.88,137.25,1.0035
17,18,8401920.26,136.97,0.9977
3,8,7785761.74,136.92,0.697
21,16,8226269.25,136.89,1.0098
19,20,8183657.47,136.18,0.9457
10,22,7835525.36,136.03,0.8335
13,20,7833671.04,135.85,0.941
23,14,8326412.91,135.74,1.0159
3,17,8121497.38,135.71,0.8826
10,21,8086834.66,135.7,0.94
3,19,7870067.59,135.46,0.8583
14,20,7793703.19,135.16,0.9347
22,18,8082822.35,135.06,0.9831
3,20,7822563.72,134.64,0.8554
3,18,7818144.69,134.57,0.8584
13,21,8044639.22,133.95,0.9503
3,16,8512171.93,133.35,0.9173
2,12,7912502.77,131.67,0.817
21,18,7871544.29,131.53,0.9659
24,18,8130066.24,130.94,1.0329
17,13,8307110.26,130.14,0.9467
24,17,8060679.36,129.83,1.0174
24,19,8020427.68,129.18,1.0214
19,16,7710215.47,128.84,0.9153
5,13,8347583.51,128.26,0.9279
23,12,7823491.96,127.54,1.0276
8,13,8192290.05,127.34,0.8662
22,13,7745795.85,126.28,0.9697
3,15,8035138.76,125.88,0.8669
7,14,8091497.76,125.78,0.8484
15,12,7807486.56,122.31,0.9042
4,15,7894698.92,121.31,0.8689
