P:N1,P:N2,净利润,年化收益率%,夏普比率
7,9,14646192.18,137.09,0.8667
7,10,12981132.64,120.13,0.7875
5,6,13435258.1,118.11,0.7675
8,9,11415534.97,105.64,0.6861
6,10,11082562.68,104.53,0.7017
8,3,11331950.28,104.08,0.9197
5,7,11525268.59,103.84,0.6443
8,10,11086962.19,102.6,0.6885
4,12,10816186.05,102.41,0.6522
6,13,12757147.1,100.43,0.8121
17,14,12413936.91,99.63,0.8339
13,15,10836037.8,99.39,0.7242
5,10,10683426.74,99.32,0.6072
7,11,10702953.33,99.05,0.6625
5,9,10599768.01,98.55,0.5809
6,8,10806135.76,97.36,0.58
8,4,10581264.14,97.18,0.7407
12,17,10557513.25,96.84,0.6904
6,11,10393721.52,96.19,0.6671
6,12,12217818.96,96.18,0.7845
2,3,9965220.9,95.48,0.4684
13,16,10091040.66,92.56,0.6578
8,12,11488884.48,91.5,0.7324
8,11,9694173.26,91.43,0.6108
6,15,11389166.14,91.41,0.7205
16,14,11596381.65,91.29,0.7645
5,13,11558959.25,91,0.7635
15,12,11199399.36,89.89,0.7719
5,8,9343030.71,89.05,0.4968
7,13,11067578.76,88.14,0.7086
14,11,9767759.95,87.59,0.597
10,11,9222607.66,87.44,0.6284
12,16,9508621.05,87.22,0.6155
7,12,11052858.99,87.01,0.7024
4,15,11044255.31,86.94,0.7202
9,10,9194454.44,86.72,0.5731
13,12,9177266.1,86.56,0.5124
2,11,9687868.42,85.07,0.5744
12,15,9636493.11,84.98,0.6206
2,12,9961262.34,84.93,0.6104
9,4,9242057.2,84.88,0.7696
15,10,9135872.85,84.41,0.6445
11,17,9190534.93,84.3,0.5962
5,11,8992923.79,83.61,0.5383
4,14,9517055,83.57,0.5952
5,12,8766809.36,83.01,0.4968
5,14,10390104.67,81.79,0.6941
5,16,10163603.54,81.57,0.6686
10,6,8878450.47,81.54,0.5341
11,12,10155649.01,81.51,0.7029
4,13,8940207.34,81.28,0.5554
15,11,8731851.73,81.11,0.6164
5,17,9065897.55,79.95,0.5968
12,18,8954094.4,79.92,0.5944
14,12,8429397.46,79.51,0.4911
6,9,8286700.42,78.98,0.4253
4,10,8483584.7,78.87,0.4518
3,15,9764268.66,78.37,0.622
3,8,8638846.69,77.83,0.4766
6,14,9766221.94,77.78,0.6368
3,10,8414443.65,77.74,0.4511
11,18,8666510.97,77.36,0.5547
14,8,8098219.56,77.21,0.6104
3,7,8533295.8,76.88,0.5286
11,20,8923004.04,76.71,0.5834
16,13,9721533.04,76.53,0.6738
18,16,8940350.09,75.91,0.6143
17,12,9362992.78,75.15,0.6775
6,16,9290905.27,74.57,0.6084
19,16,8706624.89,74.54,0.6104
4,7,8263936.7,74.45,0.4462
16,12,9430205.73,74.24,0.6604
4,11,7760958.14,73.97,0.4171
6,7,8171487.34,73.62,0.4432
17,15,9157522.45,73.5,0.6165
20,13,9096833.22,73.3,0.6705
11,19,8178520.57,73,0.5229
3,13,7952642.45,72.3,0.4193
18,14,8503132.02,72.19,0.5611
18,15,8499573.59,72.16,0.5883
8,13,9039880.66,71.99,0.5746
14,13,7748552.89,71.96,0.4449
22,12,8577571.45,71.64,0.6174
4,9,7698086.84,71.13,0.3997
9,12,8916841.75,71.01,0.605
5,15,8835963.7,70.92,0.6049
10,20,8114121.06,69.76,0.5615
3,14,8308446.38,69.68,0.4784
7,14,8728459.72,69.51,0.5502
16,15,8410550.5,69.12,0.5676
32,12,7717144.39,68.57,0.6887
32,13,7533647.81,66.94,0.6582
27,6,7512622.71,65.97,0.6451
9,15,8123778.44,65.2,0.5522
9,14,8036215.34,64.5,0.5525
3,17,7481974.79,64.05,0.46
10,13,7838309.95,62.91,0.5441
2,15,7982523.07,62.84,0.5088
2,14,7776218.86,62.41,0.4979
7,15,7525339.9,60.4,0.4807
