#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,4,7,4038065.03,576.55,4.6667
2,3,6,4005347.06,567.47,4.5889
3,13,6,3919848.97,557.50,4.3895
4,3,8,3906874.86,553.51,4.4586
5,3,7,3900167.79,552.56,4.3799
6,4,6,3862352.84,547.21,4.4072
7,4,11,3799447.59,540.38,4.5152
8,2,7,3773836.87,536.74,4.2725
9,2,6,3771757.04,536.44,4.2664
10,11,7,3771095.98,536.35,4.3874
11,13,2,3770656.35,488.91,4.3514
12,20,3,3713529.09,526.12,4.0498
13,11,8,3688429.74,524.59,4.2695
14,11,9,3688429.74,524.59,4.2695
15,2,8,3668176.90,523.74,4.1736
16,3,10,3659727.47,522.53,4.3197
17,4,10,3659727.47,522.53,4.3197
18,3,11,3648740.10,520.97,4.2101
19,8,10,3641091.91,519.87,4.3023
20,2,12,3640747.80,523.90,4.3530
21,3,12,3640747.80,523.90,4.3530
22,8,9,3612973.58,515.86,4.2047
23,4,12,3611484.25,519.69,4.3020
24,4,5,3600501.73,514.08,4.0334
25,5,10,3596811.63,511.56,4.1248
26,11,10,3585022.02,511.87,4.1626
27,7,8,3577127.88,510.74,4.0399
28,6,5,3567600.66,509.38,3.9693
29,7,10,3556976.33,507.86,4.1782
30,10,9,3544619.01,506.10,4.1030
31,4,9,3537373.52,505.06,4.1918
32,6,8,3534637.60,502.72,3.9557
33,19,3,3520504.71,500.71,3.8262
34,4,8,3501762.87,499.98,3.9486
35,20,2,3456880.08,449.82,5.0054
36,12,10,3429782.96,487.80,3.9149
37,18,3,3412418.81,485.34,3.7455
38,12,11,3411623.36,485.22,3.9042
39,2,9,3404645.69,486.11,3.9156
40,12,8,3403444.83,484.06,3.8646
41,12,7,3388482.31,481.93,3.8569
42,12,9,3388482.31,481.93,3.8569
43,2,10,3375087.17,481.89,3.8381
44,13,11,3341845.00,477.15,3.8190
45,13,9,3328474.81,473.40,3.7840
46,19,4,3321914.67,472.46,3.6930
47,13,10,3300037.11,471.18,3.7570
48,5,7,3264752.85,466.14,3.6242
49,15,7,3259921.64,463.65,3.6420
50,5,11,3256697.58,463.19,3.6923
51,2,11,3250689.29,462.33,3.6979
52,3,13,3247313.67,482.42,3.9734
53,4,13,3247313.67,482.42,3.9734
54,5,13,3247313.67,482.42,3.9734
55,6,9,3216281.32,457.44,3.5878
56,6,11,3210380.86,458.38,3.6475
57,6,7,3202535.41,455.48,3.5402
58,3,4,3199679.72,455.08,3.5633
59,6,10,3195064.87,456.19,3.6239
60,2,5,3151432.40,453.49,3.4525
61,5,9,3145124.65,447.32,3.5377
62,15,5,3120175.94,443.77,3.4483
63,15,6,3120175.94,443.77,3.4483
64,3,9,3101443.11,442.82,3.4995
65,7,9,3099070.48,442.48,3.4459
66,5,12,3098237.67,445.83,3.5240
67,5,6,3082894.80,440.17,3.3797
68,16,4,3077557.26,437.71,3.3908
69,16,5,3077557.26,437.71,3.3908
