P:m,P:l,净利润,年化收益率%
8,3,17326811.06,117.6
13,7,19477317.18,114.45
13,8,19257215.52,113.16
13,12,19084341.17,112.14
9,8,16403608.36,110.9
13,11,18711850.96,109.95
13,9,18396501.01,108.1
13,5,17737105.68,104.23
14,8,17709475.98,104.06
13,10,17651586.29,103.72
9,4,15277475.25,103.29
14,13,17573156.11,103.26
8,4,15180595.38,103.03
14,12,17276968.75,101.52
14,11,17236979.62,101.29
14,9,17158493.87,100.83
14,10,17158493.87,100.83
15,12,16831089.1,99.28
10,11,14253715.16,99.03
6,16,13750523.65,98.64
16,8,16418607.1,97.6
18,14,16156281.77,97.55
15,10,16345039.88,96.42
18,15,15953141.71,96.33
15,11,16285448.7,96.06
11,12,15904145.39,96.03
16,12,15995136.09,95.08
18,11,15714664.93,94.89
18,12,15714664.93,94.89
16,9,15950334.43,94.82
16,10,15939368.95,94.75
16,11,15939368.95,94.75
8,7,13918421,94.46
15,9,15979235.89,94.26
18,8,15599960.53,94.19
14,5,15953045.9,93.74
18,16,15520425.18,93.71
15,13,15878811.38,93.67
10,12,13420993.75,93.24
12,9,15833829.85,92.69
9,10,13636006.36,92.55
5,50,12555405.1,92.31
16,7,15514426.74,92.23
18,13,15268606.06,92.19
18,9,15150176.53,91.48
17,8,15256167.5,91.4
5,9,12713355.86,91.2
9,7,13450553.12,90.94
12,10,15509573.63,90.79
12,7,15486714.41,90.66
12,8,15432920.26,90.34
16,13,15162595.71,90.13
19,18,14973500.37,90.06
15,14,15235889.01,89.87
10,13,12931265.4,89.84
17,13,14987389.4,89.79
8,5,13229501.44,89.79
17,12,14980611.04,89.75
8,6,13256464.09,89.63
18,10,14835311.29,89.58
5,10,12476134.12,89.49
16,14,15043530.06,89.43
13,6,15163001.99,89.1
5,45,12075726.36,88.79
5,46,12075726.36,88.79
5,47,12075726.36,88.79
5,48,12075726.36,88.79
5,49,12075726.36,88.79
17,7,14813725.59,88.75
9,6,13103281.14,88.59
6,50,12049220.63,88.23
17,16,14725772.76,88.22
14,4,15004776.1,88.17
15,5,14916474.09,87.99
17,11,14646794.75,87.75
6,15,12213119.15,87.61
15,7,14778485.19,87.18
9,5,12893168.09,87.17
8,9,12890997.63,87.16
10,9,12824679.41,87.04
9,11,12819745.4,87.01
15,6,14737616.86,86.93
10,8,12787119.57,86.79
17,9,14471683.26,86.7
6,20,12080385.34,86.66
10,16,12508738.73,86.56
14,6,14692749.58,86.34
15,8,14637391.76,86.34
12,6,14732537.37,86.24
18,17,14241334.71,85.99
6,18,11984474.23,85.97
17,14,14326141.91,85.83
6,49,11704693.55,85.7
5,16,11936491.42,85.62
12,5,14583187.86,85.37
5,18,11894467.78,85.32
14,7,14492316.39,85.16
5,44,11580752.21,85.15
8,10,12525968.65,85.01
5,40,11531430.36,84.79
5,41,11531430.36,84.79
6,17,11818079.35,84.77
6,7,11808559.33,84.71
17,15,14129331.32,84.65
12,13,14061824.78,84.57
11,14,13992970.74,84.49
17,10,14098394.4,84.46
11,9,14293217.59,84.31
19,14,14017349.47,84.31
5,14,11747975.01,84.27
6,23,11747460.76,84.27
5,11,11720535.06,84.07
6,22,11679075.56,83.78
4,11,10297863.28,83.74
11,10,14195175.21,83.73
5,15,11663334.35,83.66
12,11,14281656.3,83.6
6,48,11124269.65,83.53
9,3,12344639.51,83.46
9,13,12011244.7,83.45
6,10,11599346.33,83.21
17,6,13882600.75,83.17
6,19,11588007.35,83.12
4,10,10206257.06,83
11,15,13781532.56,82.89
5,43,11023361.4,82.77
5,42,11256434.24,82.76
6,13,11522849.34,82.66
6,21,11456900.81,82.18
16,15,13809627.67,82.09
16,4,13797023.72,82.02
5,17,11420840.84,81.92
10,14,11764069.26,81.73
19,10,13587588.79,81.72
19,11,13587588.79,81.72
19,12,13587588.79,81.72
6,46,10840637.01,81.4
6,47,10840637.01,81.4
11,8,13773242.12,81.25
19,8,13484416.94,81.1
19,9,13484416.94,81.1
19,15,13431837.1,80.79
4,12,9877089.64,80.32
9,12,11536873.77,80.15
19,16,13303281.38,80.01
8,11,11736148.44,79.65
5,20,11083387.58,79.5
10,3,11681918.41,79.29
20,13,13115200.34,79.19
19,13,13163205.96,79.17
5,19,10986895.67,78.81
10,7,11567220.38,78.51
6,39,10448747.56,78.46
6,44,10421534.04,78.26
6,45,10421534.04,78.26
5,13,10876981.15,78.02
19,17,12933704.13,77.79
20,7,12870969.5,77.72
20,14,12860504.62,77.65
10,15,11163391.94,77.56
6,14,10789387.25,77.4
16,5,13017924.88,77.39
13,4,13145576.65,77.25
20,19,12760405.6,77.05
5,21,10731120.62,76.98
6,24,10675924.14,76.58
15,4,9361012.93,76.43
6,11,10639639.67,76.32
10,17,11027053.26,76.31
4,13,9384410.6,76.31
5,23,10629530.44,76.25
11,13,12583914.02,75.98
6,8,10530353.59,75.54
20,12,12469935.1,75.3
6,42,10025348.34,75.28
6,43,10025348.34,75.28
5,24,10487120.67,75.23
12,14,12505894.97,75.22
20,10,12425419.35,75.03
20,11,12425419.35,75.03
6,25,10452475.79,74.98
20,8,12382007.94,74.76
6,40,9946513.56,74.69
6,41,9946513.56,74.69
6,4,9535973.75,74.32
6,9,10358745.97,74.31
11,6,12567775.07,74.13
10,18,10537930.13,74.09
20,15,12256180.21,74
5,22,10297932.62,73.87
16,6,12420883.65,73.84
8,12,10584853.06,73.83
20,18,12216956.14,73.77
24,20,12018722.73,73.73
5,25,10244070.48,73.48
5,26,10244070.48,73.48
6,12,10209617.95,73.24
20,16,12116095.85,73.16
24,21,11915326.14,73.1
11,16,12142011.71,73.03
24,17,11815791.65,72.49
24,18,11815791.65,72.49
6,38,9636752.95,72.36
4,5,9201935.18,72.31
8,49,9614862.42,72.2
24,16,11767948.87,72.19
20,9,11929654.8,72.03
11,7,12201563.28,71.97
5,12,10032526.11,71.97
8,13,10283351.14,71.72
20,17,11848113.41,71.54
22,12,11664163.49,71.27
11,17,11707269.33,71.25
24,23,11599309.49,71.16
21,13,11659785.37,70.96
5,39,9403348.06,70.61
9,16,10130502.08,70.38
7,14,9793814.01,70.25
22,13,11486725.48,70.19
13,15,11543034.77,69.97
9,42,9053624.62,69.77
6,26,9725608.69,69.76
6,5,8930459.79,69.6
24,15,11338073.72,69.56
10,5,10242674.38,69.52
9,20,9671153.85,69.37
13,18,11412366.43,69.18
11,18,11359466.34,69.13
5,38,9402095.66,69.13
10,19,9812196.77,68.98
6,27,9614174.66,68.96
10,4,10134190.53,68.78
9,14,9898767.52,68.77
12,15,11432016.31,68.76
8,50,9153752.28,68.74
4,9,8442320.93,68.65
7,15,9562115.76,68.59
9,43,8886280.16,68.48
10,44,8957939.87,68.35
24,22,11139167.96,68.34
25,19,11075377.32,68.22
25,20,11075377.32,68.22
5,32,9263424.92,68.11
8,41,9070685.04,68.11
7,17,9477685.92,67.99
9,26,9313199.54,67.91
5,33,9232453.39,67.88
10,24,9450040.45,67.79
8,45,9013693.44,67.68
8,46,9013693.44,67.68
21,14,11115581.05,67.65
9,2,8615720.11,67.59
5,37,9184699.44,67.53
9,15,9705180.47,67.43
22,14,11024938.52,67.37
9,28,9222204.89,67.25
13,16,11081732.82,67.18
24,19,10950655.29,67.18
21,16,11022870.63,67.09
22,16,10976975.64,67.07
9,44,8703954.8,67.07
21,10,11011222.56,67.01
21,11,11011222.56,67.01
9,45,8692329.62,66.98
9,46,8692329.62,66.98
6,29,9336427.29,66.97
10,27,9176429.97,66.91
8,48,8906463.88,66.88
13,14,11105991.03,66.8
13,17,11016497.54,66.78
15,3,8166909.92,66.68
9,33,8873347.61,66.63
23,15,10899314.53,66.6
12,16,11067739.5,66.57
5,27,9275449.51,66.54
9,17,9571958.47,66.5
21,12,10891659.69,66.29
10,42,8672552.77,66.17
22,9,10822364.55,66.13
22,10,10822364.55,66.13
22,11,10822364.55,66.13
9,18,9515055.33,66.1
5,8,9204273.82,66.02
9,19,9349385.17,65.99
8,40,8769288.21,65.85
8,14,9439724.16,65.84
10,43,8623860.67,65.8
20,6,9696395.09,65.74
8,38,8728700.23,65.54
8,39,8707968.98,65.39
8,47,8667666.35,65.09
10,6,9578649.35,65.01
5,28,9049115.13,64.91
6,37,8631994.71,64.82
6,28,9034772.06,64.81
9,41,8395697.18,64.7
25,22,10498987.86,64.67
4,8,7926059.64,64.45
9,21,8981959.86,64.43
9,27,8835344.89,64.43
9,47,8361894.9,64.43
25,15,10458611.41,64.42
8,43,8579163.01,64.42
22,17,10541517.7,64.41
8,42,8574520.69,64.39
4,19,8189317.72,64.36
5,6,8962251.11,64.29
9,32,8525420.21,64.02
6,32,8742685.7,64.01
4,16,8138335.91,63.95
8,33,8515472.45,63.94
6,35,8725841.22,63.89
5,34,8685616.76,63.86
10,20,9069369.63,63.76
23,14,10412694.31,63.62
10,25,8723219.39,63.61
25,18,10325557.95,63.6
4,14,7812561.5,63.53
21,15,10432782.48,63.49
8,44,8450301.53,63.45
25,14,10294393.39,63.41
6,36,8435562.59,63.34
10,40,8299586.85,63.33
5,7,8823325.6,63.29
7,13,8810904.84,63.2
22,7,10327175,63.1
10,21,8959216.07,62.99
5,29,8781715.44,62.99
9,22,8774446.05,62.94
7,16,8771236.59,62.92
21,19,10318945.66,62.8
6,31,8570801.17,62.76
19,7,9479414.76,62.75
25,16,10180099.3,62.7
4,17,7976441.8,62.68
23,19,10253192.15,62.65
7,18,8729489.2,62.62
9,29,8334863.38,62.59
9,23,8724555.67,62.58
5,31,8502391.59,62.51
7,10,8711239.32,62.49
7,43,8321251.77,62.48
8,37,8321021.49,62.48
10,45,8180876.92,62.42
7,46,8308779.97,62.39
6,33,8516786.66,62.36
7,45,8304137.65,62.36
8,32,8303882.04,62.35
11,5,10558566.23,62.28
