P:m,P:l,净利润,年化收益率%
7,14,4400924.15,371.31
7,15,4400924.15,371.31
7,16,4400924.15,371.31
7,17,4400924.15,371.31
7,18,4400924.15,371.31
8,12,4327861.79,368.18
8,13,4327861.79,368.18
8,14,4327861.79,368.18
8,15,4327861.79,368.18
9,12,4244292.57,361.07
9,13,4244292.57,361.07
8,16,4223584.33,359.31
10,12,4181225.96,355.7
10,13,4181225.96,355.7
9,2,4091512.18,348.07
9,3,4091512.18,348.07
9,4,4091512.18,348.07
9,14,4013457.31,341.43
7,19,3984905.25,336.21
7,20,3984905.25,336.21
9,15,3951895.71,336.19
9,16,3951895.71,336.19
8,17,3921436.29,333.6
8,3,3899716.28,331.76
8,4,3899716.28,331.76
8,5,3899716.28,331.76
10,2,3881315.29,330.19
10,3,3881315.29,330.19
10,14,3852241.59,327.72
10,15,3852241.59,327.72
7,9,3578355.99,327.52
7,21,3862586.25,325.89
6,15,3866754.7,324.91
6,16,3866754.7,324.91
6,17,3866754.7,324.91
6,18,3866754.7,324.91
6,19,3866754.7,324.91
11,12,3797087.03,324.37
11,13,3797087.03,324.37
11,14,3797087.03,324.37
7,12,3529391.04,323.04
7,13,3529391.04,323.04
12,13,3745926.65,320
5,15,3762283.75,316.13
5,16,3762283.75,316.13
5,17,3762283.75,316.13
5,18,3762283.75,316.13
5,19,3762283.75,316.13
8,9,3449030.77,315.68
8,18,3668743.45,312.11
8,19,3668743.45,312.11
8,20,3668743.45,312.11
7,10,3399980.95,311.19
7,11,3399980.95,311.19
8,6,3633541.31,309.11
8,7,3633541.31,309.11
9,17,3624023.25,308.3
9,18,3624023.25,308.3
5,25,3588306.46,301.51
5,26,3588306.46,301.51
7,8,3326684.3,300.46
10,4,3529661.61,300.27
8,10,3271127.38,299.4
9,5,3510761.78,298.67
9,6,3510761.78,298.67
9,7,3510761.78,298.67
9,8,3510761.78,298.67
10,16,3499908.96,297.74
10,17,3499908.96,297.74
4,22,3480699.99,294.89
4,23,3480699.99,294.89
4,24,3480699.99,294.89
4,25,3480699.99,294.89
4,26,3480699.99,294.89
4,27,3480699.99,294.89
4,28,3480699.99,294.89
4,15,3480623.11,294.88
4,16,3480623.11,294.88
4,17,3480623.11,294.88
4,18,3480623.11,294.88
4,19,3480623.11,294.88
4,20,3480623.11,294.88
4,21,3480623.11,294.88
5,14,3351325.75,292.38
9,19,3414128.48,290.45
6,20,3454358.17,290.26
6,21,3454358.17,290.26
10,11,3185644.73,287.72
5,22,3417605.26,287.17
5,23,3417605.26,287.17
5,24,3417605.26,287.17
6,23,3399215.38,285.62
8,11,3119393.66,285.51
5,20,3395129.01,285.28
5,21,3395129.01,285.28
6,13,3089830.96,279.07
6,14,3089830.96,279.07
9,1,2822436.31,279.06
6,22,3275858.8,275.26
13,4,3231958.95,274.95
13,5,3231958.95,274.95
13,6,3231958.95,274.95
13,7,3231958.95,274.95
11,15,3160518.42,269.99
11,16,3160518.42,269.99
11,17,3160518.42,269.99
10,1,2754365.54,269.89
4,10,3063982.36,269.61
4,11,3063982.36,269.61
4,12,3063982.36,269.61
4,13,3063982.36,269.61
4,14,3063982.36,269.61
10,5,3143189.93,267.4
10,6,3143189.93,267.4
10,7,3143189.93,267.4
10,8,3143189.93,267.4
10,9,3143189.93,267.4
6,10,2948698.48,266.32
11,5,3111049.23,265.77
11,6,3111049.23,265.77
11,7,3111049.23,265.77
11,8,3111049.23,265.77
11,9,3111049.23,265.77
11,10,3111049.23,265.77
13,8,3014686.9,261.9
4,5,3080886.49,261.01
14,4,3063566.04,259.55
14,5,3063566.04,259.55
14,6,3063566.04,259.55
12,14,3035030.4,259.27
12,15,3035030.4,259.27
4,8,2905197.88,255.64
4,9,2905197.88,255.64
16,9,2765480.6,252.6
16,10,2765480.6,252.6
16,11,2765480.6,252.6
16,12,2765480.6,252.6
16,13,2765480.6,252.6
16,14,2765480.6,252.6
16,15,2765480.6,252.6
5,10,2771187.78,252.51
13,11,2764986.81,251.6
13,12,2764986.81,251.6
17,8,2739388.69,251.17
17,9,2739388.69,251.17
17,10,2739388.69,251.17
17,11,2739388.69,251.17
17,12,2739388.69,251.17
17,13,2739388.69,251.17
17,14,2739388.69,251.17
17,15,2739388.69,251.17
17,16,2739388.69,251.17
6,11,2776085.66,250.73
6,12,2776085.66,250.73
22,12,2976942.01,249.12
22,13,2976942.01,249.12
22,14,2976942.01,249.12
22,15,2976942.01,249.12
22,16,2976942.01,249.12
22,17,2976942.01,249.12
22,18,2976942.01,249.12
22,19,2976942.01,249.12
22,20,2976942.01,249.12
22,21,2976942.01,249.12
12,4,2910963.37,248.67
12,5,2910963.37,248.67
12,6,2910963.37,248.67
12,7,2910963.37,248.67
13,14,2889533.68,245.82
14,7,2813490.27,244.42
18,8,2634829.43,241.58
18,9,2634829.43,241.58
18,10,2634829.43,241.58
18,11,2634829.43,241.58
18,12,2634829.43,241.58
18,13,2634829.43,241.58
18,14,2634829.43,241.58
18,15,2634829.43,241.58
18,16,2634829.43,241.58
18,17,2634829.43,241.58
29,23,2980128.52,241.5
29,24,2980128.52,241.5
29,25,2980128.52,241.5
29,26,2980128.52,241.5
29,27,2980128.52,241.5
29,28,2980128.52,241.5
17,6,2436542.88,240.91
17,7,2436542.88,240.91
12,16,2778429.89,237.35
13,9,2622518.68,236.86
20,6,2338864.52,236.18
20,7,2338864.52,236.18
20,8,2338864.52,236.18
16,2,2437729.88,235.37
16,3,2437729.88,235.37
16,4,2437729.88,235.37
16,5,2437729.88,235.37
16,6,2437729.88,235.37
16,7,2437729.88,235.37
16,8,2437729.88,235.37
6,9,2604171.4,235.2
4,6,2664245.74,234.43
4,7,2664245.74,234.43
14,9,2566406.63,234.42
14,10,2566406.63,234.42
14,11,2566406.63,234.42
14,12,2566406.63,234.42
14,13,2566406.63,234.42
12,8,2683428.14,234.11
12,9,2683428.14,234.11
12,10,2683428.14,234.11
19,7,2530773.25,232.93
19,8,2530773.25,232.93
19,9,2530773.25,232.93
19,10,2530773.25,232.93
19,11,2530773.25,232.93
19,12,2530773.25,232.93
19,13,2530773.25,232.93
19,14,2530773.25,232.93
19,15,2530773.25,232.93
19,16,2530773.25,232.93
19,17,2530773.25,232.93
19,18,2530773.25,232.93
28,22,2842473.67,232.18
28,23,2842473.67,232.18
28,24,2842473.67,232.18
28,25,2842473.67,232.18
28,26,2842473.67,232.18
28,27,2842473.67,232.18
9,10,2522582.06,232.17
9,11,2522582.06,232.17
23,14,2760256.17,230.99
23,15,2760256.17,230.99
23,16,2760256.17,230.99
23,17,2760256.17,230.99
23,18,2760256.17,230.99
23,19,2760256.17,230.99
23,20,2760256.17,230.99
23,21,2760256.17,230.99
23,22,2760256.17,230.99
13,2,2319391.96,229.87
13,3,2319391.96,229.87
13,10,2319391.96,229.87
24,16,2740665.96,229.35
24,17,2740665.96,229.35
24,18,2740665.96,229.35
24,19,2740665.96,229.35
24,20,2740665.96,229.35
24,21,2740665.96,229.35
24,22,2740665.96,229.35
24,23,2740665.96,229.35
21,5,2287705.31,229.06
21,6,2287705.31,229.06
21,7,2287705.31,229.06
21,8,2287705.31,229.06
21,9,2287705.31,229.06
15,9,2459486.06,225.5
15,10,2459486.06,225.5
15,11,2459486.06,225.5
15,12,2459486.06,225.5
15,13,2459486.06,225.5
15,14,2459486.06,225.5
5,11,2469986.45,225.07
5,12,2469986.45,225.07
5,13,2469986.45,225.07
31,27,2738700.45,224.6
31,28,2738700.45,224.6
31,29,2738700.45,224.6
31,30,2738700.45,224.6
27,21,2691810.94,224.34
27,22,2691810.94,224.34
27,23,2691810.94,224.34
27,24,2691810.94,224.34
27,25,2691810.94,224.34
27,26,2691810.94,224.34
22,5,2247403.06,224.08
22,6,2247403.06,224.08
22,7,2247403.06,224.08
22,8,2247403.06,224.08
22,9,2247403.06,224.08
22,10,2247403.06,224.08
22,11,2247403.06,224.08
30,24,2709248.26,223.98
30,26,2709248.26,223.98
30,27,2709248.26,223.98
30,28,2709248.26,223.98
30,29,2709248.26,223.98
5,9,2446320.87,222.91
26,19,2613764.94,220.53
26,20,2613764.94,220.53
26,21,2613764.94,220.53
26,22,2613764.94,220.53
26,23,2613764.94,220.53
26,24,2613764.94,220.53
26,25,2613764.94,220.53
12,11,2411231.59,219.41
14,8,2214899.87,217.59
25,17,2532154.5,215.41
25,18,2532154.5,215.41
25,19,2532154.5,215.41
25,20,2532154.5,215.41
25,21,2532154.5,215.41
25,22,2532154.5,215.41
25,23,2532154.5,215.41
25,24,2532154.5,215.41
32,28,2573439.5,213.61
32,29,2573439.5,213.61
32,30,2573439.5,213.61
32,31,2573439.5,213.61
5,27,2538034.86,213.26
5,28,2538034.86,213.26
5,29,2538034.86,213.26
5,30,2538034.86,213.26
20,9,2259542.76,212.01
20,10,2259542.76,212.01
20,11,2259542.76,212.01
20,12,2259542.76,212.01
20,13,2259542.76,212.01
20,14,2259542.76,212.01
20,15,2259542.76,212.01
20,16,2259542.76,212.01
20,17,2259542.76,212.01
20,18,2259542.76,212.01
20,19,2259542.76,212.01
7,25,2502382.1,211.13
7,22,2480147.13,209.25
15,3,2146125.51,209.01
15,4,2146125.51,209.01
15,5,2146125.51,209.01
15,6,2146125.51,209.01
15,7,2146125.51,209.01
15,8,2146125.51,209.01
7,23,2470342.23,208.43
7,24,2470342.23,208.43
4,29,2445181.01,207.16
4,30,2445181.01,207.16
8,21,2433224.6,207
23,7,2077253.74,202.03
23,8,2077253.74,202.03
23,9,2077253.74,202.03
23,10,2077253.74,202.03
23,11,2077253.74,202.03
23,12,2077253.74,202.03
23,13,2077253.74,202.03
