P:m,P:l,净利润,年化收益率%
1,1,0,0
1,2,1081795.87,107.19
1,3,63934.82,6.34
1,4,80453.51,7.75
1,5,-1010237.49,-97.33
1,6,-803500.95,-77.41
1,7,-494299.8,-47.62
1,8,-787115.96,-75.83
1,9,-787115.96,-75.83
1,10,-787115.96,-75.83
1,11,-993852.5,-95.75
1,12,-952274.94,-91.74
1,13,-952274.94,-91.74
1,14,-952274.94,-91.74
1,15,-952274.94,-91.74
1,16,-952274.94,-91.74
1,17,-837572.95,-80.69
1,18,-837572.95,-80.69
1,19,-837572.95,-80.69
1,20,-837572.95,-80.69
1,21,-837572.95,-80.69
1,22,-787536.41,-75.87
1,23,-543346.19,-52.35
1,24,-584923.76,-56.35
1,25,-584923.76,-56.35
1,26,-584923.76,-56.35
1,27,-829113.96,-79.88
1,28,-895535.5,-86.28
1,29,-895535.5,-86.28
1,30,-895535.5,-86.28
1,31,-738541.35,-71.15
1,32,-738541.35,-71.15
1,33,-738541.35,-71.15
1,34,-738541.35,-71.15
1,35,-738541.35,-71.15
1,36,-738541.35,-71.15
1,37,-738541.35,-71.15
1,38,-704033.22,-67.83
1,39,-704033.22,-67.83
1,40,-704033.22,-67.83
1,41,90572.61,9.45
1,42,90572.61,9.45
1,43,90572.61,9.45
1,44,90572.61,9.45
1,45,90572.61,9.45
1,46,90572.61,9.45
1,47,-66421.53,-6.89
1,48,-66421.53,-6.89
1,49,-66421.53,-6.89
1,50,-66421.53,-6.89
2,1,-777065.48,-81.49
2,2,0,0
2,3,-1357455.69,-139.1
2,4,-1094229.25,-114.64
2,5,-1094229.25,-114.64
2,6,-154182.27,-16.15
2,7,-225731.17,-23.65
2,8,-225731.17,-23.65
2,9,-225731.17,-23.65
2,10,-225731.17,-23.65
2,11,-690386.26,-72.33
2,12,-690386.26,-72.33
2,13,-690386.26,-72.33
2,14,-690386.26,-72.33
2,15,-691648.48,-71.74
2,16,-691648.48,-71.74
2,17,-551593.95,-57.21
2,18,-551593.95,-57.21
2,19,-551593.95,-57.21
2,20,-551593.95,-57.21
2,21,-551593.95,-57.21
2,22,-15389.97,-1.6
2,23,-15389.97,-1.6
2,24,-15389.97,-1.6
2,25,-15389.97,-1.6
2,26,-15389.97,-1.6
2,27,-15389.97,-1.6
2,28,-15389.97,-1.6
2,29,-15389.97,-1.6
2,30,275759.57,28.6
2,31,289887.32,30.07
2,32,289887.32,30.07
2,33,289887.32,30.07
2,34,289887.32,30.07
2,35,289887.32,30.07
2,36,289887.32,30.07
2,37,289887.32,30.07
2,38,289887.32,30.07
2,39,289887.32,30.07
2,40,289887.32,30.07
2,41,289887.32,30.07
2,42,289887.32,30.07
2,43,289887.32,30.07
2,44,291149.54,31.35
2,45,291149.54,31.35
2,46,291149.54,31.35
2,47,291149.54,31.35
2,48,291149.54,31.35
2,49,291149.54,31.35
2,50,291149.54,31.35
3,1,-340227.76,-35.29
3,2,1442328.65,130.89
3,3,0,0
3,4,-249552.4,-24.89
3,5,-130421.05,-13.01
3,6,491738.63,49.05
3,7,491738.63,49.05
3,8,542954.48,54.15
3,9,488098.88,48.68
