P:m,P:l,净利润,年化收益率%
1,1,0,0
1,2,217403.75,21.27
1,3,217403.75,21.27
1,4,152178.89,14.89
1,5,152178.89,14.89
1,6,152178.89,14.89
1,7,152178.89,14.89
1,8,239156.84,23.4
1,9,296920.73,29.05
1,10,79516.97,7.91
1,11,79516.97,7.91
1,12,21753.09,2.18
1,13,21753.09,2.18
1,14,21753.09,2.18
1,15,21753.09,2.18
1,16,21753.09,2.18
1,17,79516.97,7.91
1,18,79516.97,7.91
1,19,144741.83,14.4
1,20,144741.83,14.4
1,21,144741.83,14.4
1,22,144741.83,14.4
1,23,86977.95,8.81
1,24,86977.95,8.81
1,25,86977.95,8.81
1,26,86977.95,8.81
1,27,86977.95,8.81
1,28,0,0
1,29,0,0
1,30,-4936.68,-0.5
1,31,-4936.68,-0.5
1,32,-4936.68,-0.5
1,33,-4936.68,-0.5
1,34,-4936.68,-0.5
1,35,-4936.68,-0.5
1,36,-4936.68,-0.5
1,37,-4936.68,-0.5
1,38,-4936.68,-0.5
1,39,-4936.68,-0.5
1,40,-4936.68,-0.5
1,41,-4936.68,-0.5
1,42,-4936.68,-0.5
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
2,1,388837.36,38.86
2,2,0,0
2,3,245897.17,23.96
2,4,245897.17,23.96
2,5,-176473.07,-17.2
2,6,-176473.07,-17.2
2,7,-176473.07,-17.2
2,8,-176473.07,-17.2
2,9,-422370.23,-42.3
2,10,-422370.23,-42.3
2,11,-422370.23,-42.3
2,12,-422370.23,-42.3
2,13,-422370.23,-42.3
2,14,-422370.23,-42.3
2,15,-422370.23,-42.3
2,16,-601423.14,-59.24
2,17,-601423.14,-59.24
2,18,-601423.14,-59.24
2,19,-601423.14,-59.24
2,20,-601423.14,-59.24
2,21,-601423.14,-59.24
2,22,-601423.14,-59.24
2,23,-601423.14,-59.24
2,24,-601423.14,-59.24
2,25,-601423.14,-59.24
2,26,-601423.14,-59.24
2,27,-601423.14,-59.24
2,28,-296192.25,-29.17
2,29,-296192.25,-29.17
2,30,-296192.25,-29.17
2,31,-296192.25,-29.17
2,32,-296192.25,-29.17
2,33,-296192.25,-29.17
2,34,-296192.25,-29.17
2,35,-296192.25,-29.17
2,36,-296192.25,-29.17
2,37,-117139.35,-11.71
2,38,-117139.35,-11.71
2,39,-117139.35,-11.71
2,40,-117139.35,-11.71
2,41,-117139.35,-11.71
2,42,-117139.35,-11.71
2,43,-117139.35,-11.71
2,44,-117139.35,-11.71
2,45,-117139.35,-11.71
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
3,1,29592.93,2.89
3,2,29592.93,2.89
3,3,0,0
3,4,-242428.92,-23.44
3,5,-486516.76,-47.04
3,6,-706660.91,-69.04
