P:m,P:l,净利润,年化收益率%
8,4,14102885.87,215.97
8,3,13957127.27,213.73
8,5,13618898.99,208.55
9,8,12540727.67,191.31
9,4,12524491.44,191.06
4,10,10245181.31,187.98
4,11,10185452.28,186.88
8,6,12042749.04,183.71
6,23,11162230.58,180.66
4,12,9821916.51,180.21
4,13,9821916.51,180.21
6,16,11013963.55,178.26
6,17,11013963.55,178.26
6,18,10964459.6,177.46
6,50,10708589.99,176.92
8,7,11536565.84,176.67
6,22,10817940.54,175.09
6,7,10810184.69,174.96
6,20,10807623.38,174.92
10,7,11376372.16,174.21
10,8,11376372.16,174.21
6,10,10628374.92,172.02
6,21,10595765.79,171.49
6,49,10364062.91,171.22
6,19,10567992.72,171.04
13,7,12882418.48,170.8
5,16,10529319.13,170.42
5,17,10529319.13,170.42
5,18,10529319.13,170.42
10,9,11054095.85,169.28
9,7,11042756.08,168.46
6,24,10355204.76,167.6
6,25,10355204.76,167.6
6,11,10293746.56,166.61
10,3,10800500.8,165.39
13,8,12421411.54,164.69
6,44,9709406.29,164.5
6,45,9709406.29,164.5
6,46,9709406.29,164.5
6,47,9709406.29,164.5
6,48,9709406.29,164.5
5,15,10083850.48,163.21
6,15,10063693.67,162.88
6,8,9978898.95,161.51
6,42,9513846.88,161.19
6,43,9513846.88,161.19
7,17,9936526.25,160.82
7,18,9936526.25,160.82
6,9,9931780.88,160.75
10,16,10292771.12,160.71
5,9,9897208.73,160.19
6,38,9431310.36,159.79
6,39,9431310.36,159.79
6,40,9431310.36,159.79
6,41,9431310.36,159.79
9,20,9857634.48,159.55
11,8,11984919.85,159.51
11,9,11984919.85,159.51
11,10,11984919.85,159.51
13,9,12029243.32,159.49
6,13,9835289.61,159.18
9,3,10428484.74,159.09
9,5,10411131.63,158.82
5,50,9570666.23,158.77
9,6,10388282.65,158.47
4,16,8919462.75,158.15
4,17,8919462.75,158.15
4,18,8919462.75,158.15
11,6,11806982.55,157.14
11,7,11806982.55,157.14
6,14,9701303.83,157.02
9,10,10241368.99,156.83
7,20,9651996.88,156.22
7,21,9651996.88,156.22
4,19,8794226.1,155.93
4,20,8794226.1,155.93
4,21,8794226.1,155.93
4,22,8794226.1,155.93
4,23,8794226.1,155.93
4,24,8794226.1,155.93
4,25,8794226.1,155.93
6,26,9628337.66,155.84
10,11,9930573.45,155.66
13,11,11729923.45,155.52
13,12,11729923.45,155.52
10,12,9871086.76,154.73
5,14,9547646.08,154.53
5,19,9522011.13,154.11
11,12,11283233.01,153.72
4,15,8666708.16,153.67
5,10,9489040.31,153.58
4,9,8368500.34,153.55
5,45,9245799.32,153.39
5,46,9245799.32,153.39
5,47,9245799.32,153.39
5,48,9245799.32,153.39
5,49,9245799.32,153.39
6,12,9475297.27,153.36
14,8,11555399.41,153.21
11,14,11226344.81,152.95
6,27,9449838.29,152.95
5,40,9208749.69,152.77
5,41,9208749.69,152.77
8,9,9986641.53,152.35
18,14,11147766.31,151.88
18,15,11147766.31,151.88
9,23,9384013.24,151.88
14,9,11443129.17,151.72
14,10,11443129.17,151.72
9,19,9511096.37,151.47
9,21,9358776.59,151.47
14,11,11420794.98,151.42
14,13,11420794.98,151.42
4,14,8250067.41,151.37
14,5,11380841.59,150.89
5,44,9075098.12,150.55
8,10,9798979.67,150.06
5,24,9259988.88,149.87
5,25,9259988.88,149.87
5,26,9259988.88,149.87
13,10,11284328.59,149.61
18,16,10965297.08,149.39
18,17,10965297.08,149.39
10,13,9527085.99,149.34
9,22,9221784.28,149.26
6,31,9022096.21,149.05
6,32,9022096.21,149.05
9,26,9057831.64,149.02
7,9,9204837.24,148.98
4,5,8372671.69,148.46
5,42,8933753.58,148.21
5,21,9156443.88,148.2
5,22,9156443.88,148.2
5,23,9156443.88,148.2
5,20,9154856.39,148.17
18,8,10858667.1,147.94
14,12,11138532.72,147.68
10,17,9453638.02,147.61
7,16,9119619.41,147.6
5,43,8700680.73,147.41
6,29,9074032.32,146.86
7,10,9052739.53,146.52
19,18,10794675.8,146.49
12,13,10785813.23,146.37
7,22,9042968.04,146.36
14,4,11008283.08,145.95
11,15,10717085.97,145.44
