P:m,P:l,净利润,年化收益率%
8,3,18351002.33,152.49
9,8,17154503.63,142
13,7,19655172.61,141.41
6,16,15961892.73,140.18
13,8,19435070.96,139.82
8,4,16343739.57,135.81
13,12,18796563.5,135.23
13,11,18591366.34,133.75
13,9,18588854.34,133.74
8,7,15881207.39,131.97
9,4,15767284.27,130.52
6,15,14814680.77,130.11
14,8,18002367.8,129.52
14,13,17866047.93,128.54
13,10,17843939.62,128.38
10,12,14890149.65,126.65
14,12,17569860.57,126.4
10,11,14852966.1,126.34
14,11,17529871.44,126.12
6,7,14340276.82,125.94
14,9,17451385.69,125.55
14,10,17451385.69,125.55
13,5,17374319.98,125
8,9,15040971.62,124.5
8,10,14924764.51,124.02
8,6,14947826.72,123.73
6,50,13787130.27,123.6
6,17,14029448.43,123.21
9,10,14763564.5,122.68
8,5,14618626.83,121.47
6,13,13807684.4,121.27
6,18,13775351.26,120.98
6,49,13442603.2,120.51
12,9,16765040.15,120.15
11,12,16235600.48,120.02
6,10,13622583.42,119.64
5,15,13582021.93,119.28
5,50,13236461.83,119.15
6,20,13554535.81,119.04
5,16,13542830.25,118.94
16,8,16294423.71,118.59
6,23,13485370.41,118.43
6,48,12862179.29,118.25
15,10,16337702.44,117.99
8,11,14170251.87,117.75
10,13,13843133.36,117.75
6,14,13390948.88,117.61
15,12,16279373.31,117.57
15,11,16278111.26,117.56
6,19,13378884.38,117.5
12,7,16376145.37,117.37
12,8,16364130.56,117.28
5,14,13354313.84,117.28
18,8,15826804.48,117
18,14,15818637.32,116.94
18,15,15799044.81,116.8
14,5,16163605.91,116.29
6,39,12605760.18,115.89
4,10,11637455.27,115.86
9,13,13604121.93,115.71
6,44,12578546.65,115.64
6,45,12578546.65,115.64
6,46,12578546.65,115.64
6,47,12578546.65,115.64
9,7,13946933.01,115.45
6,22,13141080.38,115.41
12,10,16094097.37,115.35
15,9,15971898.45,115.35
16,9,15826151.04,115.18
16,10,15815185.56,115.1
16,11,15815185.56,115.1
17,8,15692287.45,115.1
9,11,13833808.18,114.95
8,12,13454263.71,114.89
5,45,12756783.1,114.84
5,46,12756783.1,114.84
5,47,12756783.1,114.84
5,48,12756783.1,114.84
5,49,12756783.1,114.84
10,16,13551358.64,114.81
11,9,15890191.39,114.76
18,16,15504224.83,114.62
6,8,13049355.23,114.61
5,18,12994825.06,114.13
9,5,13762587.21,113.92
5,9,12967776.17,113.89
18,9,15377020.48,113.68
18,11,15377020.48,113.68
18,12,15377020.48,113.68
11,10,15727974.79,113.59
6,11,12924474.73,113.51
6,21,12918905.63,113.46
5,17,12833546.88,112.71
5,10,12827007.43,112.65
10,9,13517912.32,112.33
6,9,12772269.06,112.17
16,7,15390243.35,112.01
6,42,12182360.96,112
6,43,12182360.96,112
19,18,15154554.81,111.59
16,12,15314508.31,111.46
18,10,15062155.24,111.35
15,13,15410258.79,111.29
6,40,12103526.18,111.27
6,41,12103526.18,111.27
17,16,15153113.42,111.15
4,11,11139367.49,110.9
17,7,15067255.81,110.52
18,13,14930961.61,110.38
5,44,12261808.94,110.38
13,6,15340857.42,110.37
9,6,13315879.48,110.22
9,12,12951675.96,110.16
5,40,12212487.1,109.94
5,41,12212487.1,109.94
7,14,12500698.31,109.79
6,12,12494453.02,109.73
5,13,12483319.98,109.63
12,6,15278654.64,109.5
16,13,15038412.31,109.45
9,3,13214058.63,109.38
17,9,14907803.21,109.35
11,8,15114072.52,109.15
17,12,14868330.63,109.06
6,24,12413833.78,109.02
10,14,12802517.09,108.9
8,13,12721951.96,108.64
6,38,11793765.57,108.43
7,15,12327655.17,108.27
15,14,14970102.78,108.12
11,14,14619903.48,108.08
12,11,15079066.13,108.07
18,17,14614952.36,108.04
12,13,14664984.63,107.99
5,43,11704418.13,107.6
14,4,14950163.22,107.56
5,42,11937490.98,107.46
5,11,12231923.07,107.43
14,6,14903309.6,107.22
6,25,12190385.43,107.06
4,13,10721727.75,106.75
15,5,14771965.09,106.68
15,7,14771147.75,106.68
9,42,11305514.73,106.66
9,43,11305514.73,106.66
16,14,14649527.96,106.62
17,10,14534514.34,106.61
17,11,14534514.34,106.61
10,8,12793706.53,106.31
8,49,11550852.37,106.19
5,19,12087252.96,106.16
11,15,14408465.3,106.1
14,7,14702876.4,105.78
17,13,14413893.84,105.72
15,8,14630054.32,105.66
7,17,12011579,105.49
15,6,14593107.86,105.39
8,14,12330332.58,105.29
10,7,12640431.63,105.04
9,44,11123189.36,104.94
9,28,11748516.98,104.89
8,45,11406946.57,104.87
8,46,11406946.57,104.87
9,45,11111564.18,104.83
9,46,11111564.18,104.83
9,33,11399659.7,104.8
7,10,11929491.17,104.77
12,5,14606352.82,104.68
17,14,14213861.5,104.26
19,14,14158298.42,104.26
19,15,14151539.37,104.21
19,8,14144158.44,104.15
19,9,14144158.44,104.15
17,15,14195740.56,104.12
4,12,10452866.78,104.07
7,9,11841321.19,104
8,48,11299717.01,103.88
10,15,12206011.85,103.82
8,41,11290580.43,103.8
17,6,14136130.97,103.69
9,26,11587159.95,103.45
5,20,11720098.22,102.93
9,20,11698907.83,102.74
10,17,12069673.17,102.26
5,12,11638864.94,102.22
8,50,11089742.23,101.95
20,13,13773986.01,101.83
9,47,10781129.47,101.71
8,47,11060919.48,101.69
9,32,11051732.3,101.6
9,23,11554989.17,101.48
10,44,10861882.4,101.47
7,16,11536776.01,101.32
7,13,11517789.14,101.15
19,10,13728537.73,101.09
19,11,13728537.73,101.09
19,12,13728537.73,101.09
8,40,10989183.6,101.03
6,29,11493439.9,100.94
6,4,10574600.86,100.91
10,27,11286232.33,100.76
6,26,11463518.33,100.68
9,16,11835282.58,100.67
8,38,10948595.63,100.66
5,21,11456639.18,100.62
5,22,11456639.18,100.62
5,23,11456639.18,100.62
8,39,10927864.37,100.47
7,18,11437785.23,100.45
9,21,11437606.36,100.45
9,41,10647587.3,100.45
11,13,13573819.06,100.35
16,4,13758287.75,100.13
10,18,11626074.99,100.07
7,11,11393961.18,100.07
20,14,13519290.29,99.94
9,29,10861175.48,99.85
6,27,11352084.3,99.7
20,19,13475420.7,99.62
16,15,13685444.28,99.6
10,3,11951256.68,99.31
19,17,13483872.24,99.29
8,43,10799058.4,99.28
9,18,11668320.48,99.25
8,42,10794416.08,99.24
9,30,10792011.47,99.22
6,37,10789007.33,99.19
9,27,11109305.3,99.18
20,7,13406441.65,99.11
20,8,13406441.65,99.11
19,16,13457843.51,99.1
10,24,11278032.28,99.05
10,42,10576495.3,98.81
8,33,10735367.84,98.7
15,4,9871746.33,98.68
9,50,10731263.93,98.66
9,22,11230092.56,98.63
9,31,10720615.75,98.56
10,43,10527803.2,98.35
9,19,11377139.14,98.32
4,9,9873519.14,98.3
6,28,11191784.68,98.29
7,20,11173489.1,98.13
7,21,11173489.1,98.13
9,48,10399458.37,98.11
9,49,10399458.37,98.11
8,44,10670196.92,98.1
5,24,11168177.41,98.08
9,34,10665984.8,98.06
19,13,13304154.91,97.97
6,32,10899698.32,97.71
10,19,11344654.19,97.65
6,35,10882853.84,97.56
9,14,11449890.4,97.39
6,36,10592575.21,97.38
20,12,13128720.77,97.06
9,15,11409960.97,97.05
20,15,13108901.55,96.91
8,37,10540916.88,96.91
8,32,10523777.44,96.75
20,9,13084205.02,96.73
20,10,13084205.02,96.73
20,11,13084205.02,96.73
10,25,10833021.76,96.71
10,45,10341918.96,96.61
10,21,11189033.53,96.31
9,37,10205379.38,96.28
22,12,12858215.75,96.19
6,31,10727813.79,96.17
5,25,10925127.22,95.95
5,26,10925127.22,95.95
9,17,11276738.97,95.92
4,5,9957929.23,95.81
8,16,11212243.05,95.75
6,33,10673799.28,95.69
10,28,10394832.57,95.57
11,17,12805523.28,95.42
20,18,12875741.81,95.19
6,30,10603936.2,95.06
9,35,10338946.5,95.05
8,36,10327099.96,94.94
22,13,12680777.75,94.87
8,31,10307283.45,94.76
7,12,10763827.69,94.53
20,16,12774881.52,94.44
5,39,10259533.46,94.32
11,6,13047830.9,94.23
13,4,13072782.53,94.05
11,7,13013843.64,93.99
8,35,10218658.81,93.95
21,13,12602398,93.9
8,15,10991999.83,93.87
10,40,10029443.56,93.69
12,14,12720774.85,93.67
4,18,9730890.31,93.62
11,16,12682457.24,93.39
8,17,10933705.59,93.37
10,41,9980681.2,93.24
9,36,9879042.09,93.2
4,8,9357257.85,93.16
