P:m,P:l,净利润,年化收益率%
1,1,0,0
1,2,82077.52,8.14
1,3,-16537.68,-1.64
1,4,-40431.36,-4.01
1,5,-40431.36,-4.01
1,6,40216.38,3.99
1,7,40216.38,3.99
1,8,40216.38,3.99
1,9,40216.38,3.99
1,10,112156.67,11.12
1,11,112156.67,11.12
1,12,112156.67,11.12
1,13,82344.16,8.16
1,14,82344.16,8.16
1,15,82344.16,8.16
1,16,82344.16,8.16
1,17,106237.84,10.53
1,18,-96431.06,-9.56
1,19,-96431.06,-9.56
1,20,-96431.06,-9.56
1,21,-96431.06,-9.56
1,22,-96431.06,-9.56
1,23,-96431.06,-9.56
1,24,106237.84,10.53
1,25,106237.84,10.53
1,26,106237.84,10.53
1,27,106237.84,10.53
1,28,106237.84,10.53
1,29,106237.84,10.53
1,30,106237.84,10.53
1,31,106237.84,10.53
1,32,334994.06,32.46
1,33,334994.06,32.46
1,34,334994.06,32.46
1,35,334994.06,32.46
1,36,334994.06,32.46
1,37,334994.06,32.46
1,38,334994.06,32.46
1,39,32754.16,3.25
1,40,32754.16,3.25
1,41,32754.16,3.25
1,42,59429.07,5.9
1,43,59429.07,5.9
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
2,1,206247.47,20.11
2,2,0,0
2,3,273457.76,26.66
2,4,184518.02,17.99
2,5,184518.02,17.99
2,6,15874.4,1.55
2,7,194503.82,18.96
2,8,194503.82,18.96
2,9,194999.07,19.01
2,10,408603.88,39.84
2,11,408603.88,39.84
2,12,408603.88,39.84
2,13,449376.69,43.81
2,14,449376.69,43.81
2,15,449376.69,43.81
2,16,449376.69,43.81
2,17,580412.08,56.59
2,18,580412.08,56.59
2,19,580412.08,56.59
2,20,580412.08,56.59
2,21,579916.83,56.54
2,22,579916.83,56.54
2,23,579916.83,56.54
2,24,579916.83,56.54
2,25,579916.83,56.54
2,26,579916.83,56.54
2,27,579916.83,56.54
2,28,579916.83,56.54
2,29,579916.83,56.54
2,30,579916.83,56.54
2,31,579916.83,56.54
2,32,467812.79,45.61
2,33,467812.79,45.61
2,34,467812.79,45.61
2,35,467812.79,45.61
2,36,467812.79,45.61
2,37,467812.79,45.61
2,38,467812.79,45.61
2,39,349470.18,34.07
2,40,349470.18,34.07
2,41,349470.18,34.07
2,42,67728.96,6.79
2,43,267072.96,26.01
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
3,1,616954.34,59.55
3,2,448939.42,43.33
3,3,0,0
3,4,1325965.38,117.92
3,5,1325965.38,117.92
3,6,1046283.56,93.04
3,7,1201393.46,106.84
3,8,1201393.46,106.84
3,9,1735712.63,154.35
3,10,1735712.63,154.35
3,11,1735712.63,154.35
3,12,1864453.1,165.8
3,13,1544141.38,137.32
3,14,1518638.18,135.05
3,15,1518638.18,135.05
3,16,1518638.18,135.05
3,17,1518638.18,135.05
3,18,1518638.18,135.05
3,19,1518638.18,135.05
3,20,1518638.18,135.05
3,21,1393369.5,123.91
3,22,1448177.93,128.78
3,23,1448177.93,128.78
3,24,1448177.93,128.78
3,25,1448177.93,128.78
3,26,1448177.93,128.78
3,27,1448177.93,128.78
3,28,1448177.93,128.78
3,29,1448177.93,128.78
3,30,1448177.93,128.78
3,31,1448177.93,128.78
3,32,1343400.35,119.47
3,33,1343400.35,119.47
3,34,1343400.35,119.47
3,35,1343400.35,119.47
3,36,1343400.35,119.47
3,37,1343400.35,119.47
3,38,1343400.35,119.47
3,39,1214659.88,108.02
3,40,1214659.88,108.02
3,41,1214659.88,108.02
3,42,1214659.88,108.02
3,43,834258.75,76.79
3,44,-105692.44,-10.68
3,45,-105692.44,-10.68
3,46,0,0
3,47,0,0
3,48,0,0
3,49,0,0
3,50,0,0
4,1,230557.77,22.8
4,2,267093.46,26.41
4,3,-125328.38,-12.31
4,4,0,0
4,5,3136440.98,236.32
4,6,3046049.08,229.51
4,7,2959020.98,222.95
4,8,3072873.93,231.53
4,9,2999155.76,225.98
4,10,2999155.76,225.98
4,11,2219842.59,173.45
4,12,2219842.59,173.45
4,13,2219842.59,173.45
4,14,2172572.27,169.76
4,15,2172572.27,169.76
4,16,2172572.27,169.76
4,17,2172572.27,169.76
4,18,2172572.27,169.76
4,19,2172572.27,169.76
4,20,2172572.27,169.76
4,21,2172572.27,169.76
4,22,2293560.76,179.21
4,23,2293560.76,179.21
4,24,2646833.1,206.82
4,25,2646833.1,206.82
4,26,2646833.1,206.82
4,27,2646833.1,206.82
4,28,2646833.1,206.82
4,29,2646833.1,206.82
4,30,2646833.1,206.82
4,31,2646833.1,206.82
4,32,2293560.76,179.21
4,33,2576372.85,201.31
4,34,2576372.85,201.31
4,35,2576372.85,201.31
4,36,2576372.85,201.31
4,37,2576372.85,201.31
4,38,2576372.85,201.31
4,39,3002413.68,226.22
4,40,3002413.68,226.22
4,41,3002413.68,226.22
4,42,2548331.28,199.12
4,43,2274435.38,181.64
4,44,1245096.15,108.69
4,45,600713.49,55.5
4,46,-94437.12,-9.34
4,47,0,0
4,48,0,0
4,49,0,0
4,50,0,0
5,1,3717583.81,273.59
5,2,3717583.81,273.59
5,3,3161371,232.66
5,4,3161371,232.66
5,5,0,0
5,6,2669821.27,200.57
5,7,2747062.57,206.37
5,8,2830688.31,212.65
5,9,2532637.68,194.89
5,10,2744218.61,201.96
5,11,2744218.61,201.96
5,12,2744218.61,201.96
5,13,2744218.61,201.96
5,14,2600061.67,191.35
5,15,2660592.87,195.8
5,16,2660592.87,195.8
5,17,2795454.42,205.73
5,18,2795454.42,205.73
5,19,2795454.42,205.73
5,20,2795454.42,205.73
5,21,2795454.42,205.73
5,22,3028932.38,222.91
5,23,3028932.38,222.91
5,24,3028932.38,222.91
5,25,3028932.38,222.91
5,26,3028932.38,222.91
5,27,3028932.38,222.91
5,28,3387408.23,249.29
5,29,3387408.23,249.29
5,30,3387408.23,249.29
5,31,3387408.23,249.29
5,32,3028932.38,222.91
5,33,3259811.08,239.9
