P:m,P:l,净利润,年化收益率%
8,3,15508287.68,195.18
9,8,14454221.21,181.22
8,4,13768535.61,173.29
8,5,13284548.73,167.2
4,10,11041832.13,166.51
6,16,12319620.13,163.88
6,50,11991206.74,162.82
6,17,12218029.62,162.52
6,23,12205103.44,162.35
6,18,11963932.46,159.14
9,4,12682343.66,159
4,11,10543744.35,159
13,7,14577787.88,158.85
6,49,11646679.66,158.14
6,22,11860813.4,157.77
4,13,10449069.54,157.57
6,20,11807096.24,157.06
8,7,12463373.93,156.86
5,16,11746613.15,156.25
6,7,11686999.17,155.46
5,50,11395837.71,155.38
6,21,11638638.65,154.82
6,19,11567465.58,153.87
13,8,14116780.94,153.83
5,17,11540551.13,153.51
5,18,11540551.13,153.51
4,12,10180208.57,153.51
6,10,11514410,153.16
6,44,10992023.04,153.06
6,45,10992023.04,153.06
6,46,10992023.04,153.06
6,47,10992023.04,153.06
6,48,10992023.04,153.06
8,9,12072672.19,151.36
6,15,11369350.25,151.23
11,9,13810515.6,151.07
5,45,11070970.8,150.95
5,46,11070970.8,150.95
5,47,11070970.8,150.95
5,48,11070970.8,150.95
5,49,11070970.8,150.95
5,9,11306787.08,150.4
5,15,11301144.51,150.33
13,9,13724612.72,149.55
11,10,13646412.06,149.27
10,7,11844007.77,149.07
10,8,11844007.77,149.07
6,11,11179781.64,148.71
5,44,10900269.6,148.62
6,24,11133566.81,148.1
5,40,10850947.76,147.95
5,41,10850947.76,147.95
6,42,10595837.34,147.54
6,43,10595837.34,147.54
11,8,13485686.34,147.51
9,10,11700600.45,147.26
6,8,11063734.35,147.17
8,6,11708398.77,146.79
6,9,11016616.28,146.54
6,38,10513300.82,146.39
6,39,10513300.82,146.39
6,40,10513300.82,146.39
6,41,10513300.82,146.39
13,11,13425292.85,146.29
13,12,13425292.85,146.29
6,25,10910118.46,145.13
10,9,11521731.46,145.01
5,10,10898618.66,144.97
5,42,10575951.64,144.2
5,43,10342878.79,144.02
7,17,10818089.7,143.9
8,10,11400380.39,143.48
5,14,10764940.11,143.19
7,18,10707973.38,142.44
14,8,13055769.99,142.26
13,10,12979698,141.44
5,19,10632979.02,141.44
14,9,12943499.75,141.04
14,10,12943499.75,141.04
14,11,12921165.56,140.8
14,13,12921165.56,140.8
6,13,10571971.08,140.63
9,7,11200608.31,140.43
14,5,12881212.17,140.36
6,14,10489549.12,139.53
4,16,9546615.78,139.12
7,20,10433454.15,138.79
7,21,10433454.15,138.79
9,33,9937947.78,138.38
4,9,9165151.17,138.21
6,32,10162753.98,137.99
9,26,10200216.27,137.93
14,12,12638903.3,137.72
10,11,10673156.35,137.5
5,11,10303534.3,137.06
9,20,10301348.12,137.03
4,5,9392971.6,136.88
4,17,9384721.67,136.76
4,18,9384721.67,136.76
5,24,10271691,136.63
5,20,10265824.28,136.56
8,11,10848784.79,136.54
10,3,10823608.16,136.22
12,7,12516706.45,135.87
6,31,9990869.45,135.66
6,26,10183251.36,135.46
4,15,9293861.19,135.44
5,21,10168146,135.26
5,22,10168146,135.26
5,23,10168146,135.26
6,12,10153311.42,135.06
4,19,9259485.02,134.93
4,20,9259485.02,134.93
4,21,9259485.02,134.93
4,22,9259485.02,134.93
4,23,9259485.02,134.93
4,24,9259485.02,134.93
6,33,9936854.95,134.92
11,6,12294358.65,134.48
11,7,12294358.65,134.48
11,12,12001081.01,134.38
4,14,8877220.44,133.87
6,29,10042805.56,133.59
9,32,9590020.38,133.54
12,8,12289171.23,133.4
12,9,12289171.23,133.4
5,25,10028640.81,133.4
5,26,10028640.81,133.4
13,5,12222977.25,133.19
13,6,12222977.25,133.19
9,21,10008576.54,133.13
6,27,10004751.99,133.08
9,3,10586336.96,132.73
10,16,10335292.31,132.63
9,5,10568983.85,132.51
6,37,9508542.58,132.4
8,12,10236184.04,132.39
9,6,10546134.87,132.22
6,34,9726556.62,132.07
18,8,11792540.65,132.04
18,14,11784373.49,131.95
18,15,11784373.49,131.95
9,27,9722361.61,131.46
9,28,9722361.61,131.46
9,41,9181100.74,131.19
4,25,8989046.96,130.99
15,11,11971544.72,130.95
5,13,9843668.44,130.94
7,9,9830740.88,130.77
15,9,11946872.39,130.68
15,10,11946872.39,130.68
7,22,9824425.3,130.68
5,12,9812696.91,130.53
9,13,10126979.78,130.47
7,16,9797483.75,130.33
9,19,9954810.01,130.3
9,23,9793905.57,130.28
18,16,11601904.26,129.91
9,42,9079361.57,129.74
9,43,9079361.57,129.74
6,35,9546793.49,129.63
10,12,10048072.09,129.45
12,10,11923345.23,129.43
8,45,9261493.28,128.96
8,46,9261493.28,128.96
6,36,9256514.86,128.89
14,6,11793726.4,128.51
8,33,9225988.35,128.47
9,34,9224076.9,128.44
9,22,9631676.61,128.12
6,30,9429307.21,128.03
11,14,11418557.76,127.85
8,38,9176877.53,127.78
9,45,8931225.8,127.62
9,46,8931225.8,127.62
7,19,9593226.87,127.61
8,39,9156146.27,127.5
8,40,9156146.27,127.5
8,41,9156146.27,127.5
15,12,11655480.3,127.49
16,8,11541071.08,127.22
14,4,11667769.48,127.14
9,44,8897036.21,127.13
18,9,11342756.65,127
18,10,11342756.65,127
18,11,11342756.65,127
18,12,11342756.65,127
9,29,9111141.41,126.87
7,10,9535429.02,126.84
7,14,9525750.49,126.71
7,15,9525750.49,126.71
12,11,11642924.56,126.39
18,17,11287099.33,126.38
9,30,9041977.41,125.91
9,31,9041977.41,125.91
