P:N1,P:N2,净利润,年化收益率%,夏普比率
7,11,21872641.54,193.99,1.7241
7,12,21002364.19,186.27,1.5442
7,10,20843775.46,184.87,1.6672
22,2,18256581.13,184.25,1.6656
5,11,17495804.33,182.77,1.2924
8,10,20000771.26,179.71,1.5463
13,12,17027784.6,175.98,1.2102
5,10,16613047.81,173.55,1.2128
5,13,19507008.15,173.01,1.4374
4,12,19527135.97,172.87,1.4536
6,11,19252741.37,170.76,1.5077
7,13,19224699.26,170.51,1.4883
5,15,19081480.57,169.24,1.4195
5,14,18572496.25,164.72,1.3678
22,12,16462719.9,164.65,1.4151
8,9,18030597.65,162,1.437
5,16,18215502,161.56,1.3657
6,12,18044786.2,160.04,1.3586
6,16,17949141.37,159.19,1.3567
28,22,19156027.07,158.79,1.4118
6,13,17845830.34,158.28,1.331
5,17,17904907.58,157.64,1.3325
9,10,17540993.94,156.73,1.4139
6,15,17654675.82,156.58,1.363
8,12,17631270.02,154.38,1.3496
6,14,17392532.5,154.26,1.2942
4,13,17130260.56,151.65,1.3119
34,24,18284147.22,151.56,1.3576
9,11,16840393.72,150.47,1.3153
32,23,18009213.32,149.28,1.3324
6,17,16822205.48,149.2,1.2664
4,17,16909174.83,148.87,1.2736
7,14,16944157.93,148.37,1.3171
5,18,16833869.41,148.21,1.2344
35,24,17791800.89,147.48,1.3352
8,11,16503518.84,147.46,1.2913
4,18,16734883.08,147.34,1.2632
34,22,17754086.79,147.17,1.3302
32,25,17727462.23,146.94,1.3243
34,25,17720088.48,146.88,1.3243
35,22,17703859.5,146.75,1.3299
27,22,17676923.79,146.53,1.2877
36,21,17652784.52,146.33,1.3322
34,23,17645663.76,146.27,1.3155
33,25,17600905.45,145.9,1.3179
4,16,16483734.16,145.13,1.2524
33,21,17504691.32,145.1,1.3192
33,24,17460069.84,144.73,1.3178
28,24,17423172.38,144.42,1.3262
36,22,17420466.78,144.4,1.3222
33,22,17401314.52,144.24,1.314
37,20,17400907.42,144.24,1.3167
32,31,17368000.56,143.96,1.2927
23,13,17859368.23,143.83,1.3203
4,20,17836743.7,143.65,1.2836
36,24,17329324.6,143.64,1.3026
37,24,17268200.84,143.14,1.2982
28,23,17205793.66,142.62,1.3095
35,23,17196171.5,142.54,1.2955
5,23,17195148.51,142.53,1.2829
37,21,17192104.72,142.51,1.3101
36,23,17189225.74,142.48,1.3018
33,23,17168334.35,142.31,1.2933
5,21,17562709.45,142.15,1.2643
4,21,17550745.28,142.06,1.2746
4,22,17478569.21,141.47,1.2692
28,25,17058780.28,141.4,1.2953
4,24,17047758.9,141.31,1.2548
5,19,17525009.74,141.14,1.2461
37,23,17025204.19,141.12,1.2859
16,17,16696970.57,141.07,1.255
29,24,16941926.91,140.43,1.2981
23,14,17435536.6,140.42,1.3049
34,26,16938997.08,140.41,1.2854
32,26,16910207.25,140.17,1.2856
35,25,16887603.39,139.98,1.2729
33,26,16882662.59,139.94,1.286
23,17,17338165.91,139.63,1.3243
5,20,17202457.07,139.24,1.2471
27,24,16748424.25,138.83,1.2419
12,20,16713736.27,138.54,1.2744
37,30,16711191.63,138.52,1.2776
30,25,16703945.79,138.46,1.2744
37,22,16600217.64,137.6,1.2584
7,15,17209110.14,137.22,1.3359
32,28,16552631.9,137.21,1.2151
27,23,16519376.19,136.93,1.2122
31,25,16497364.61,136.75,1.2622
32,27,16485782.35,136.65,1.2194
22,14,16963971.5,136.62,1.2994
13,17,16457410.65,136.42,1.3153
37,29,16450197.53,136.36,1.256
25,16,16767133.13,135.71,1.2339
6,20,16738326.18,135.48,1.2016
3,22,16631157.11,134.61,1.2192
2,24,16602868.5,134.38,1.2636
2,23,16499965.05,133.55,1.2279
7,16,16745085.11,133.52,1.2574
3,21,16545615.27,133.25,1.2117
13,14,16458391,133.21,1.2277
