P:N1,P:N2,净利润,年化收益率%,夏普比率
7,12,13563812.36,166.25,1.4426
5,15,12852962.7,164.19,1.4468
5,13,12608519.73,159.55,1.3508
5,11,13154655.81,159.36,1.4856
5,10,13118366.55,158.92,1.4862
4,12,12943217.62,158.64,1.4448
5,14,12414369.22,158.58,1.3521
7,11,13033008.35,158.5,1.4535
28,22,12155295.24,157.32,1.4089
5,16,12056486.3,154.01,1.3674
5,17,11730308.75,153.37,1.3024
27,22,11825751.49,153.06,1.3676
32,23,11733201.18,152.81,1.3871
34,24,11819718.15,152.15,1.4036
5,18,11583708.69,151.45,1.2843
6,16,11571337.89,151.29,1.2826
32,25,11451450.09,149.59,1.3762
7,13,11798613.66,149.3,1.3511
32,31,11417185.75,149.14,1.4173
5,19,11322344.6,148.04,1.2225
33,25,11327194.46,147.97,1.3601
34,25,11255659.42,147.03,1.3351
35,22,11241731.59,146.85,1.347
34,22,11289657.72,146.76,1.348
6,13,11580907.43,146.54,1.2613
4,24,11160360.94,146.36,1.2914
33,21,11230980.33,146.27,1.3618
36,21,11190656.6,146.18,1.3544
34,23,11181234.69,146.06,1.3122
35,24,11329672.97,145.85,1.3564
8,10,11947583.46,145.3,1.273
5,21,11285610.3,145.28,1.2475
7,10,11937229.86,145.18,1.3396
33,22,11127603.53,144.92,1.3503
22,2,11871914.89,144.83,1.3146
4,20,11067178.87,144.7,1.1979
4,22,11046489.84,144.43,1.2248
6,11,11840593.76,144,1.3232
33,24,11186358.86,144,1.3586
4,21,11012303.42,143.98,1.2163
46,15,11071094.5,143.92,1.3718
6,14,11256080.69,143.79,1.2218
5,20,10995845.19,143.77,1.2258
47,16,10971890.35,143.26,1.3844
36,22,10958338.86,143.15,1.335
13,12,11615152.17,142.37,1.1765
37,20,10936478.36,142.17,1.3215
33,23,10894623.37,141.89,1.3032
6,15,10846449.68,141.82,1.2194
8,24,10921799.82,141.36,1.2812
27,24,10956266.6,141.04,1.2879
46,13,10764989.59,140.55,1.3466
6,9,11595195.15,140.47,1.2961
35,23,10734043.58,140.22,1.2705
37,21,10729976.8,140.17,1.3095
36,23,10727097.83,140.13,1.2884
4,18,10965633.55,140.08,1.2396
36,24,10864895.54,139.86,1.2888
46,16,10705987.73,139.78,1.3232
5,23,10833602.37,139.46,1.2617
7,24,10748251.4,139.11,1.2722
37,24,10803771.77,139.08,1.2803
44,14,10643682.53,138.97,1.3412
32,26,10634195.12,138.92,1.3022
27,23,10726067.97,138.82,1.2158
6,17,10610748.18,138.73,1.1524
33,26,10608951.61,138.59,1.3017
32,28,10601817.09,138.49,1.2483
43,14,10601312.15,138.42,1.3429
16,17,10790488.91,138.37,1.2068
37,30,10567357.58,138.04,1.3511
37,23,10560775.12,137.96,1.2544
5,25,10517333.1,137.93,1.178
43,15,10506338.91,137.78,1.3331
6,12,11238851.16,137.75,1.2176
4,17,10778785.07,137.69,1.1763
32,27,10534967.53,137.62,1.2568
46,10,10584762.7,137.59,1.2506
34,26,10474568.01,136.83,1.2592
4,25,10422397.43,136.68,1.2229
38,20,10505049.4,136.56,1.2463
32,30,10450832.81,136.52,1.2635
4,13,10782422.92,136.44,1.2171
8,25,10539849.52,136.41,1.2458
45,16,10446836.53,136.4,1.311
35,25,10425475.48,136.19,1.224
47,10,10460502.9,135.98,1.2394
5,12,11086636.48,135.89,1.1808
44,16,10440936.91,135.73,1.3132
4,23,10380213.43,135.72,1.155
43,12,10432837.33,135.62,1.2983
6,20,10531714.3,135.57,1.1238
5,9,11141916.29,134.98,1.2919
38,19,10376397.15,134.89,1.2384
28,24,10423591.12,134.18,1.2306
4,11,10947216.6,132.62,1.2661
6,10,10891473.56,132.46,1.2474
8,12,10505519.83,128.77,1.1433
9,11,10455429.16,128.15,1.13
8,9,10375775.25,126.19,1.1522
