P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.01,1,-23779704.56,-2316.53,-34.974
0.01,2,-22328317.74,-2175.14,-28.4568
0.01,3,-23191833.34,-2259.26,-32.622
0.01,4,-22258161.56,-2168.31,-30.0276
0.01,5,-22187124.34,-2161.38,-29.831
0.01,6,-20936057.83,-2039.51,-26.3369
0.01,7,-20540025.48,-2000.93,-26.6001
0.01,8,-19574162.15,-1906.84,-24.576
0.01,9,-18938107.21,-1844.88,-19.9554
0.01,10,-18270233.1,-1779.82,-19.2633
0.01,11,-17849217.68,-1738.8,-18.5897
0.01,12,-18528352.54,-1804.96,-19.873
0.01,13,-17984013.23,-1751.93,-18.9513
0.01,14,-17037375.53,-1659.72,-18.2027
0.01,15,-17023356.75,-1658.35,-20.0181
0.01,16,-16258931.07,-1583.88,-18.53
0.01,17,-16458077.34,-1603.28,-19.0079
0.01,18,-15109670.6,-1471.93,-16.2832
0.01,19,-15912324.16,-1550.12,-18.0385
0.01,20,-14073555.45,-1370.99,-15.0735
0.01,21,-14602020.04,-1422.47,-16.7628
0.01,22,-14109139.62,-1367.13,-17.209
0.01,23,-14099166.67,-1373.49,-16.1106
0.01,24,-13087031.99,-1268.09,-15.808
0.01,25,-11742381,-1137.8,-12.2452
0.01,26,-12267760.75,-1188.71,-14.7406
0.01,27,-11309725.1,-1095.88,-11.8652
0.01,28,-10143984.84,-1004,-14.3206
0.01,29,-9110564.72,-887.52,-10.8076
0.01,30,-8833675.85,-875.18,-13.7057
0.01,31,-8336147.86,-812.08,-10.0053
0.01,32,-7813335.95,-774.1,-12.4191
0.01,33,-7462189.67,-726.94,-9.1921
0.01,34,-6921219.77,-685.71,-11.17
0.01,35,-6402033.18,-623.66,-8.1263
0.01,36,-6116496.92,-605.98,-10.6008
0.01,37,-4393596.04,-435.29,-8.5907
0.01,38,-5130195.83,-508.27,-9.4883
0.01,39,-4255266.76,-421.58,-8.8351
0.01,40,-4045447.01,-400.8,-8.4295
0.01,41,-4469832.19,-456.3,-8.6819
0.01,42,-3768881.86,-384.74,-8.306
0.01,43,-3298604.55,-336.73,-7.6763
0.01,44,-2648444.34,-267.98,-6.5601
0.01,45,-2545738.35,-259.88,-6.5039
0.01,46,-1790704.88,-182.8,-5.4931
0.01,47,-1815249.3,-185.31,-5.2021
0.01,48,-1292217.25,-131.91,-4.4001
0.01,49,-506872.55,-53.19,-3.1333
0.01,50,-381007.8,0,-2.7019
0.02,1,-23779704.56,-2316.53,-34.974
0.02,2,-22328317.74,-2175.14,-28.4568
0.02,3,-23191833.34,-2259.26,-32.622
0.02,4,-20343186.69,-1971.19,-21.7537
0.02,5,-20343845.71,-1971.25,-21.2918
0.02,6,-18087531.96,-1762.02,-19.7743
0.02,7,-17691499.61,-1723.44,-19.8488
0.02,8,-16725636.29,-1629.35,-18.4851
0.02,9,-15514377.91,-1511.35,-16.6611
0.02,10,-14846503.8,-1446.29,-16.074
0.02,11,-13985843.92,-1362.45,-14.6518
0.02,12,-14664978.79,-1428.61,-15.6969
0.02,13,-14120639.48,-1375.58,-14.9471
0.02,14,-12933706.19,-1281.39,-17.3172
0.02,15,-12857881.57,-1273.88,-17.8438
0.02,16,-12093455.9,-1198.14,-16.3319
0.02,17,-12292602.16,-1217.87,-16.845
0.02,18,-10944195.42,-1084.28,-13.9825
0.02,19,-11746848.99,-1163.8,-15.8603
0.02,20,-9908080.27,-981.63,-12.7923
0.02,21,-8681978.15,-860.15,-12.6174
0.02,22,-9216840.22,-913.15,-13.4479
0.02,23,-8595226.41,-851.56,-12.6083
0.02,24,-8194732.59,-811.88,-12.1292
0.02,25,-8498333.71,-841.96,-13.0557
0.02,26,-7814580.54,-774.22,-12.1434
0.02,27,-8065677.81,-799.1,-12.6246
0.02,28,-7240658.3,-717.36,-11.7601
0.02,29,-7686168.92,-760.74,-12.216
0.02,30,-7079109.14,-701.35,-11.5702
0.02,31,-8336147.86,-812.08,-10.0053
0.02,32,-6058769.24,-600.26,-10.3236
0.02,33,-7462189.67,-726.94,-9.1921
0.02,34,-5166653.06,-511.88,-9.09
0.02,35,-6402033.18,-623.66,-8.1263
0.02,36,-5226836.43,-509.18,-9.2075
0.02,37,-4393596.04,-435.29,-8.5907
0.02,38,-5130195.83,-508.27,-9.4883
0.02,39,-4255266.76,-421.58,-8.8351
0.02,40,-4045447.01,-400.8,-8.4295
0.02,41,-4469832.19,-456.3,-8.6819
0.02,42,-3768881.86,-384.74,-8.306
0.02,43,-3298604.55,-336.73,-7.6763
0.02,44,-2648444.34,-267.98,-6.5601
0.02,45,-2545738.35,-259.88,-6.5039
0.02,46,-1790704.88,-182.8,-5.4931
0.02,47,-1815249.3,-185.31,-5.2021
0.02,48,-1292217.25,-131.91,-4.4001
0.02,49,-506872.55,-53.19,-3.1333
0.02,50,-58195.48,0,-2.7019
0.03,1,-23779704.56,-2316.53,-34.974
0.03,2,-22602648.1,-2190.12,-27.6534
0.03,3,-21348554.71,-2068.61,-22.7848
0.03,4,-19409635.7,-1890.81,-22.06
0.03,5,-19338598.48,-1883.89,-21.9425
0.03,6,-17287365.29,-1684.07,-19.4093
0.03,7,-17691499.61,-1723.44,-19.8488
0.03,8,-14854533.81,-1471.69,-18.9127
