P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.93,3,10235235.35,181.38,3.1044
0.94,3,10235235.35,181.38,3.1044
0.95,3,10235235.35,181.38,3.1044
0.96,3,10235235.35,181.38,3.1044
0.97,3,10235235.35,181.38,3.1044
0.98,3,10235235.35,181.38,3.1044
0.9,3,9768860.66,173.11,2.8983
0.91,3,9768860.66,173.11,2.8983
0.92,3,9768860.66,173.11,2.8983
1.19,2,9029206.99,160.01,2.8011
1.61,2,8661602.45,159.71,3.3122
1.62,2,8661602.45,159.71,3.3122
1.63,2,8661602.45,159.71,3.3122
1.64,2,8661602.45,159.71,3.3122
1.65,2,8661602.45,159.71,3.3122
1.66,2,8661602.45,159.71,3.3122
1.67,2,8661602.45,159.71,3.3122
1.68,2,8661602.45,159.71,3.3122
1.69,2,8661602.45,159.71,3.3122
1.7,2,8661602.45,159.71,3.3122
1.71,2,8661602.45,159.71,3.3122
1.72,2,8661602.45,159.71,3.3122
1.56,2,8454820.26,155.9,3.1839
1.57,2,8454820.26,155.9,3.1839
1.58,2,8454820.26,155.9,3.1839
1.59,2,8454820.26,155.9,3.1839
1.6,2,8454820.26,155.9,3.1839
1.26,2,8676438.81,153.75,2.9413
1.27,2,8676438.81,153.75,2.9413
1.28,2,8676438.81,153.75,2.9413
1.29,2,8676438.81,153.75,2.9413
1.3,2,8676438.81,153.75,2.9413
1.31,2,8676438.81,153.75,2.9413
1.32,2,8676438.81,153.75,2.9413
1.33,2,8676438.81,153.75,2.9413
1.34,2,8676438.81,153.75,2.9413
1.38,2,8552536.34,151.56,3.0732
1.39,2,8552536.34,151.56,3.0732
1.14,2,8527255.09,151.11,2.6741
1.15,2,8527255.09,151.11,2.6741
1.16,2,8527255.09,151.11,2.6741
1.17,2,8527255.09,151.11,2.6741
1.18,2,8527255.09,151.11,2.6741
1.2,2,8210064.12,145.49,2.7265
1.21,2,8210064.12,145.49,2.7265
1.22,2,8210064.12,145.49,2.7265
1.23,2,8210064.12,145.49,2.7265
1.24,2,8210064.12,145.49,2.7265
1.25,2,8210064.12,145.49,2.7265
2.04,1,8166719.78,144.72,2.742
0.18,47,7773174.89,144.29,2.5738
0.17,47,7428701.73,137.89,2.2988
1.35,2,7671259.64,135.94,2.7344
1.36,2,7671259.64,135.94,2.7344
1.37,2,7671259.64,135.94,2.7344
0.44,6,7645119.14,135.48,2.2222
0.45,6,7605816.51,134.78,2.2301
1.12,2,7554573.81,133.87,2.2889
1.13,2,7554573.81,133.87,2.2889
0.18,45,7191635.83,133.49,2.4049
0.18,46,7191635.83,133.49,2.4049
0.19,44,7191635.83,133.49,2.4049
0.87,3,7419888.65,131.49,2.3544
0.88,3,7419888.65,131.49,2.3544
0.89,3,7419888.65,131.49,2.3544
1.82,1,7332994.49,129.95,2.4745
1.83,1,7332994.49,129.95,2.4745
1.84,1,7332994.49,129.95,2.4745
1.85,1,7332994.49,129.95,2.4745
1.86,1,7332994.49,129.95,2.4745
1.87,1,7332994.49,129.95,2.4745
1.88,1,7332994.49,129.95,2.4745
1.89,1,7332994.49,129.95,2.4745
0.19,47,6960227.44,129.2,2.327
0.18,48,6929102.13,128.62,2.3435
1.09,2,7239967.31,128.3,2.1958
1.1,2,7239967.31,128.3,2.1958
1.11,2,7239967.31,128.3,2.1958
1.9,1,7234308.21,128.2,2.4566
1.91,1,7234308.21,128.2,2.4566
1.92,1,7234308.21,128.2,2.4566
1.93,1,7234308.21,128.2,2.4566
1.94,1,7234308.21,128.2,2.4566
1.95,1,7234308.21,128.2,2.4566
1.96,1,7234308.21,128.2,2.4566
1.97,1,7234308.21,128.2,2.4566
1.98,1,7234308.21,128.2,2.4566
1.99,1,7234308.21,128.2,2.4566
2,1,7234308.21,128.2,2.4566
2.01,1,7234308.21,128.2,2.4566
2.02,1,7234308.21,128.2,2.4566
2.03,1,7234308.21,128.2,2.4566
0.17,45,6847162.66,127.1,2.1431
0.17,46,6847162.66,127.1,2.1431
0.32,11,7095209.29,125.73,1.9533
0.2,42,6755376.69,125.39,2.2159
0.18,42,6635912.58,123.18,2.0742
0.19,42,6635912.58,123.18,2.0742
0.17,48,6584628.96,122.22,2.0827
0.17,49,6584628.96,122.22,2.0827
0.17,50,6584628.96,122.22,2.0827
1.8,1,6852371.69,121.43,2.3392
1.81,1,6852371.69,121.43,2.3392
1.07,2,6803488.31,120.56,2.0849
1.08,2,6803488.31,120.56,2.0849
0.2,39,6446263.59,119.66,2.0753
0.2,40,6446263.59,119.66,2.0753
0.2,41,6446263.59,119.66,2.0753
0.16,47,6388414.8,118.58,1.8592
0.19,45,6378688.38,118.4,2.1667
0.19,46,6378688.38,118.4,2.1667
0.18,40,6326799.48,117.44,1.9344
0.18,41,6326799.48,117.44,1.9344
0.19,37,6326799.48,117.44,1.9344
0.19,38,6326799.48,117.44,1.9344
0.19,39,6326799.48,117.44,1.9344
0.19,40,6326799.48,117.44,1.9344
0.19,41,6326799.48,117.44,1.9344
0.18,44,6259224.26,116.18,2.0224
0.19,36,6212282.44,115.31,1.8762
0.18,49,6116154.67,113.53,2.1053
0.18,50,6116154.67,113.53,2.1053
1.51,2,6105848.25,113.34,2.4491
1.52,2,6105848.25,113.34,2.4491
1.53,2,6105848.25,113.34,2.4491
1.54,2,6105848.25,113.34,2.4491
1.55,2,6105848.25,113.34,2.4491
0.2,47,6075333.55,112.77,2.156
0.19,49,6020346.2,111.75,2.1304
0.19,50,6020346.2,111.75,2.1304
0.43,7,6215699.26,110.15,2.1161
0.44,7,6215699.26,110.15,2.1161
0.16,49,5913711.74,109.77,1.8322
0.16,50,5913711.74,109.77,1.8322
0.18,43,5862677.59,108.82,1.9232
0.19,43,5862677.59,108.82,1.9232
0.31,11,6126843.1,108.57,1.6761
1.73,1,6124572.69,108.53,2.1371
1.74,1,6124572.69,108.53,2.1371
1.75,1,6124572.69,108.53,2.1371
1.76,1,6124572.69,108.53,2.1371
1.77,1,6124572.69,108.53,2.1371
1.78,1,6124572.69,108.53,2.1371
1.79,1,6124572.69,108.53,2.1371
0.83,3,6030535.76,106.87,1.9434
0.84,3,6030535.76,106.87,1.9434
0.85,3,6030535.76,106.87,1.9434
0.86,3,6030535.76,106.87,1.9434
0.26,32,4730533.22,106.68,1.4528
0.27,32,4730533.22,106.68,1.4528
0.16,46,5692358.7,105.66,1.6598
1.4,2,5584650.38,103.66,2.2434
1.41,2,5584650.38,103.66,2.2434
1.42,2,5584650.38,103.66,2.2434
1.43,2,5584650.38,103.66,2.2434
1.44,2,5584650.38,103.66,2.2434
1.45,2,5584650.38,103.66,2.2434
1.46,2,5584650.38,103.66,2.2434
1.47,2,5584650.38,103.66,2.2434
1.48,2,5584650.38,103.66,2.2434
1.49,2,5584650.38,103.66,2.2434
1.5,2,5584650.38,103.66,2.2434
0.18,39,5575742.04,103.5,1.7356
0.15,50,5545687.88,102.94,1.7095
0.16,48,5544342.04,102.91,1.6526
0.17,42,5540381.97,102.84,1.6563
0.15,47,5540370.16,102.84,1.5608
0.17,44,5527591.6,102.6,1.6813
0.2,37,5513852.03,102.35,1.7282
0.2,38,5513852.03,102.35,1.7282
0.19,48,5499148.32,102.08,1.9245
0.4,7,5725048.19,101.45,1.9004
