P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.02,22,-8034159.89,-747.5,-6.3776
0.02,23,-7639005.17,-710.74,-6.0797
0.02,24,-8424084.79,-783.78,-6.6542
0.02,25,-7294597.34,-678.69,-5.8208
0.02,26,-7498913.7,-697.7,-6.0027
0.02,27,-6863771.89,-638.61,-5.5385
0.02,28,-6186535.69,-575.6,-5.1538
0.02,29,-5199202.25,-483.74,-4.401
0.02,30,-5179996.28,-481.95,-4.3715
0.02,31,-4832577.84,-449.63,-4.1189
0.02,32,-4361558.64,-405.8,-3.7439
0.02,33,-4526885.8,-421.18,-3.8614
0.02,34,-4031508.99,-375.09,-3.4717
0.02,35,-3594523.99,-334.44,-3.098
0.02,36,-4174343.54,-407.94,-3.6573
0.02,37,-4416436.44,-431.6,-3.8773
0.02,38,-3276038.69,-319.42,-3.0532
0.02,39,-3620652.29,-353.83,-3.2689
0.02,40,-2814951.1,-275.1,-2.6848
0.02,41,-2800516.99,-273.68,-2.6724
0.02,42,-4085368.73,-396.02,-4.3136
0.02,43,-1618828.35,-158.7,-1.6795
0.02,44,-2914202.17,-284.97,-3.2639
0.02,45,-1159827.79,-113.7,-1.2685
0.02,46,-819690.32,-80.36,-0.9671
0.02,47,-2139239.02,-209.72,-2.5201
0.02,48,-1717126.7,-168.34,-2.0408
0.02,49,-3222338.41,-322.18,-3.7993
0.02,50,-2049049.96,-204.87,-2.7153
0.03,1,-22165130.25,-2124.2,-21.154
0.03,2,-22173748.88,-2110.59,-19.6786
0.03,3,-20514426.21,-1966,-16.067
0.03,4,-19169741.64,-1837.13,-14.9918
0.03,5,-18177645.07,-1742.05,-14.0527
0.03,6,-17761728.19,-1702.2,-13.767
0.03,7,-16701021.74,-1600.54,-12.988
0.03,8,-17971285.89,-1722.28,-14.112
0.03,9,-14140045.96,-1315.6,-10.5001
0.03,10,-13462197.55,-1252.53,-9.9014
0.03,11,-13298031.4,-1237.26,-9.8596
0.03,12,-12307159.28,-1145.06,-9.1049
0.03,13,-11893770.07,-1106.6,-8.9347
0.03,14,-11388491.84,-1059.59,-8.6205
0.03,15,-11252828.79,-1046.97,-8.5217
0.03,16,-10401349.4,-967.75,-7.9584
0.03,17,-10197801.86,-948.81,-7.8524
0.03,18,-8962208.14,-833.85,-7.0231
0.03,19,-9636101.86,-896.55,-7.4924
0.03,20,-8162504.6,-759.44,-6.471
0.03,21,-8360152.92,-777.83,-6.6119
0.03,22,-7829613.13,-728.47,-6.2405
0.03,23,-7434458.41,-691.71,-5.942
0.03,24,-8424084.79,-783.78,-6.6542
0.03,25,-7090050.58,-659.66,-5.6826
0.03,26,-7498913.7,-697.7,-6.0027
0.03,27,-6659225.13,-619.58,-5.399
0.03,28,-6186535.69,-575.6,-5.1538
0.03,29,-5199202.25,-483.74,-4.401
0.03,30,-5179996.28,-481.95,-4.3715
0.03,31,-4832577.84,-449.63,-4.1189
0.03,32,-4361558.64,-405.8,-3.7439
0.03,33,-4526885.8,-421.18,-3.8614
0.03,34,-4031508.99,-375.09,-3.4717
0.03,35,-3594523.99,-334.44,-3.098
0.03,36,-4174343.54,-407.94,-3.6573
0.03,37,-4416436.44,-431.6,-3.8773
0.03,38,-4225933.54,-412.99,-3.7335
0.03,39,-3620652.29,-353.83,-3.2689
0.03,40,-2814951.1,-275.1,-2.6848
0.03,41,-2800516.99,-273.68,-2.6724
0.03,42,-2133059.55,-208.46,-2.152
0.03,43,-1618828.35,-158.7,-1.6795
0.03,44,-2914202.17,-284.97,-3.2639
0.03,45,-1159827.79,-113.7,-1.2685
0.03,46,-819690.32,-80.36,-0.9671
0.03,47,-2139239.02,-209.72,-2.5201
0.03,48,-1717126.7,-168.34,-2.0408
0.03,49,-1212993.2,-118.91,-1.4979
0.03,50,-2049049.96,-204.87,-2.7153
