P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.93,3,6675515.99,80.46,1.6138
0.94,3,6675515.99,80.46,1.6138
0.95,3,6675515.99,80.46,1.6138
0.96,3,6675515.99,80.46,1.6138
0.97,3,6675515.99,80.46,1.6138
0.98,3,6675515.99,80.46,1.6138
1.61,2,6339704.86,79.51,1.8737
1.62,2,6339704.86,79.51,1.8737
1.63,2,6339704.86,79.51,1.8737
1.64,2,6339704.86,79.51,1.8737
1.65,2,6339704.86,79.51,1.8737
1.66,2,6339704.86,79.51,1.8737
1.67,2,6339704.86,79.51,1.8737
1.68,2,6339704.86,79.51,1.8737
1.69,2,6339704.86,79.51,1.8737
1.7,2,6339704.86,79.51,1.8737
1.71,2,6339704.86,79.51,1.8737
1.72,2,6339704.86,79.51,1.8737
1.56,2,6132922.67,76.91,1.7901
1.57,2,6132922.67,76.91,1.7901
1.58,2,6132922.67,76.91,1.7901
1.59,2,6132922.67,76.91,1.7901
1.6,2,6132922.67,76.91,1.7901
0.44,6,6242630.45,75.24,1.3834
0.91,3,6209141.3,74.84,1.4622
0.92,3,6209141.3,74.84,1.4622
0.45,6,6203327.83,74.77,1.3781
1.38,2,5758464.25,69.41,1.7009
1.39,2,5758464.25,69.41,1.7009
0.9,3,5552489.22,66.92,1.296
0.43,7,5459637.63,65.8,1.4529
0.2,42,5066161.35,63.96,1.2779
0.17,47,5032492.59,63.53,1.075
0.44,7,5168073.55,62.29,1.3932
0.2,47,4913615.92,62.03,1.3847
0.18,47,4832937.85,61.01,1.0932
0.2,39,4757048.25,60.06,1.1745
0.2,40,4757048.25,60.06,1.1745
0.2,41,4757048.25,60.06,1.1745
1.34,2,4972277.15,59.93,1.3727
0.41,7,4968986.55,59.89,1.2956
0.17,49,4715917.54,59.54,1.078
0.17,50,4715917.54,59.54,1.078
1.36,2,4877187.55,58.78,1.4605
1.37,2,4877187.55,58.78,1.4605
0.32,11,4866861.3,58.66,1.0043
0.34,9,4841206.05,58.35,0.933
