P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
1.61,2,7625232.79,58.21,1.3069
1.62,2,7625232.79,58.21,1.3069
1.63,2,7625232.79,58.21,1.3069
1.56,2,7418450.6,56.63,1.2629
1.57,2,7418450.6,56.63,1.2629
1.58,2,7418450.6,56.63,1.2629
1.59,2,7418450.6,56.63,1.2629
1.6,2,7418450.6,56.63,1.2629
0.43,7,6551578.51,48.07,0.9698
1.71,2,6122124.74,46.74,1.1622
1.72,2,6122124.74,46.74,1.1622
0.44,7,5891213.74,43.22,0.8895
1.89,1,5727735.31,42.02,0.9908
1.64,2,5501379.61,42,0.9271
1.65,2,5501379.61,42,0.9271
1.66,2,5501379.61,42,0.9271
1.67,2,5501379.61,42,0.9271
1.68,2,5501379.61,42,0.9271
1.69,2,5501379.61,42,0.9271
1.7,2,5501379.61,42,0.9271
1.97,1,5717642.41,41.95,0.9989
1.98,1,5717642.41,41.95,0.9989
1.99,1,5717642.41,41.95,0.9989
2,1,5717642.41,41.95,0.9989
1.92,1,5685499.41,41.71,0.992
1.93,1,5685499.41,41.71,0.992
1.94,1,5685499.41,41.71,0.992
1.95,1,5685499.41,41.71,0.992
1.96,1,5685499.41,41.71,0.992
1.9,1,5629049.04,41.3,0.9806
0.43,8,5593715.77,41.04,0.8638
0.45,7,5570705.26,40.87,0.9037
2.04,1,5537121.25,40.62,0.9431
0.42,7,5494248.84,40.31,0.8127
1.86,1,5436012.62,39.88,0.9489
1.87,1,5436012.62,39.88,0.9489
1.88,1,5436012.62,39.88,0.9489
0.42,9,5412119.64,39.71,0.8495
1.55,2,5069478.59,38.96,0.9385
0.41,9,5305501.76,38.93,0.768
1.91,1,5299537.39,38.88,0.9293
0.42,8,4920558.9,36.1,0.7559
1.54,2,4597304.09,35.33,0.8444
0.45,8,4678206.16,34.32,0.8046
2.01,1,4604709.69,33.78,0.8229
2.02,1,4604709.69,33.78,0.8229
2.03,1,4604709.69,33.78,0.8229
0.41,8,4502322.28,33.03,0.6444
0.41,7,4474624.7,32.83,0.6336
0.44,8,4450286.97,32.65,0.73
0.34,9,4217843.01,30.95,0.4046
0.4,9,4154344.88,30.48,0.6089
0.36,8,4152398.76,30.47,0.3711
1.39,2,3919279.92,28.75,0.6031
0.4,7,3863791.48,28.35,0.5273
0.34,8,3843762.73,28.2,0.3114
0.35,8,3843762.73,28.2,0.3114
0.2,47,3530831.69,27.13,0.5213
2.12,1,3647216.58,26.76,0.7301
2.13,1,3647216.58,26.76,0.7301
1.85,1,3616526.97,26.53,0.6705
0.33,10,3549348.6,26.04,0.3281
1.38,2,3462497.57,25.4,0.5357
2.11,1,3230415.44,23.7,0.6643
1.19,2,3080183.26,22.6,0.4034
0.4,8,3067801.39,22.51,0.45
0.2,50,2929721.17,22.51,0.601
2.67,1,2721570.55,22.31,0.6286
1.27,2,3034719.46,22.26,0.4383
1.28,2,3034719.46,22.26,0.4383
0.2,46,2893628.59,22.24,0.4371
0.45,6,2879914.44,21.13,0.3096
2.06,1,2862658.69,21,0.5997
2.07,1,2862658.69,21,0.5997
2.08,1,2862658.69,21,0.5997
2.09,1,2862658.69,21,0.5997
2.1,1,2862658.69,21,0.5997
0.93,3,2801117.05,20.55,0.3188
0.94,3,2801117.05,20.55,0.3188
0.95,3,2801117.05,20.55,0.3188
1.26,2,2727415.09,20.01,0.4015
0.2,49,2561964.42,19.69,0.5204
2.66,1,2391877.08,19.6,0.5705
2.05,1,2652910.38,19.46,0.5588
0.2,48,2496900.34,19.19,0.4991
1.36,2,2581220.87,18.94,0.4149
1.37,2,2581220.87,18.94,0.4149
1.17,2,2578231.36,18.92,0.3472
1.18,2,2578231.36,18.92,0.3472
1.16,2,2541345.74,18.65,0.342
1.75,2,2327714.83,17.89,0.5653
1.51,2,2259774.56,17.37,0.3899
1.52,2,2259774.56,17.37,0.3899
1.53,2,2259774.56,17.37,0.3899
0.91,3,2334742.36,17.13,0.2352
0.92,3,2334742.36,17.13,0.2352
1.73,2,2213197.79,17.01,0.5379
1.74,2,2213197.79,17.01,0.5379
0.2,42,2172230.06,16.69,0.1557
1.2,2,2261040.4,16.59,0.3192
1.21,2,2261040.4,16.59,0.3192
1.22,2,2261040.4,16.59,0.3192
1.23,2,2261040.4,16.59,0.3192
1.24,2,2261040.4,16.59,0.3192
1.25,2,2261040.4,16.59,0.3192
0.2,45,2125742.69,16.34,0.2811
0.47,7,2089291.25,16.06,0.3915
0.38,8,2168891.23,15.91,0.378
0.37,10,2045657.01,15.72,0.3028
2.64,1,1864379.36,15.28,0.4693
2.65,1,1864379.36,15.28,0.4693
1.76,2,1918298.7,14.74,0.5029
1.77,2,1918298.7,14.74,0.5029
1.78,2,1918298.7,14.74,0.5029
0.32,35,1607561.01,14.7,0.6065
0.32,36,1607561.01,14.7,0.6065
0.32,37,1607561.01,14.7,0.6065
0.2,41,1863116.96,14.32,0.1034
2.7,1,1737676.1,14.24,0.4688
2.71,1,1737676.1,14.24,0.4688
2.72,1,1737676.1,14.24,0.4688
2.73,1,1737676.1,14.24,0.4688
0.44,6,1905478.8,13.98,0.1805
0.97,3,1887580.66,13.85,0.2302
0.98,3,1887580.66,13.85,0.2302
0.47,8,1713476.79,13.17,0.3625
0.35,10,1784689.33,13.09,0.3567
0.37,8,1768632.94,12.98,0.3359
0.33,8,1766148.54,12.96,0.0592
0.51,9,1661589.39,12.77,0.2938
2.62,1,1555266.26,12.75,0.4147
2.63,1,1555266.26,12.75,0.4147
0.37,9,1726164.75,12.66,0.3331
0.56,9,1605825.2,12.66,0.1869
1.35,2,1700071.1,12.47,0.2921
0.9,3,1678090.29,12.31,0.1498
0.2,44,1598244.97,12.28,0.176
