P:N1,P:N2,净利润,年化收益率%,夏普比率
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,0,0,0
1,7,0,0,0
1,8,0,0,0
1,9,0,0,0
1,10,0,0,0
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1,14,0,0,0
1,15,0,0,0
1,16,0,0,0
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
1,24,0,0,0
1,25,0,0,0
1,26,0,0,0
1,27,0,0,0
1,28,0,0,0
1,29,0,0,0
1,30,0,0,0
1,31,0,0,0
1,32,0,0,0
1,33,0,0,0
1,34,0,0,0
1,35,0,0,0
1,36,0,0,0
1,37,0,0,0
1,38,0,0,0
1,39,0,0,0
1,40,0,0,0
1,41,0,0,0
1,42,0,0,0
1,43,0,0,0
1,44,0,0,0
1,45,0,0,0
1,46,0,0,0
1,47,0,0,0
1,48,0,0,0
1,49,0,0,0
1,50,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,883525.95,81.99,0.5158
2,4,323149.32,29.99,0.1897
2,5,-412679.72,-38.57,-0.3524
2,6,-611536.95,-57.16,-0.5998
2,7,-596344.18,-53.48,-0.656
2,8,-1023377.91,-91.78,-0.9538
2,9,-117081.58,-10.81,-0.24
2,10,-302233.67,-28.28,-0.3676
2,11,-927779.79,-88.34,-0.8177
2,12,-937322.45,-86.2,-0.8093
2,13,-661902.11,-60.87,-0.637
2,14,1935.13,0.18,-0.1375
2,15,47908.34,4.41,-0.114
2,16,268381.08,24.68,0.1013
2,17,118892.61,10.93,-0.0014
2,18,-796551.22,-74.97,-0.7195
2,19,-1324859.31,-124.7,-1.1577
2,20,-978453.64,-92.1,-0.8755
2,21,-1188614.06,-111.88,-1.0854
2,22,-1648945.7,-155.93,-1.5038
2,23,-1935870.78,-183.32,-1.7185
2,24,-1956276.74,-185.25,-1.7562
2,25,-966856.82,-91.56,-0.8827
2,26,-2382858.84,-225.65,-2.2768
2,27,-2358645.19,-224.58,-2.3549
2,28,-2341057.94,-222.9,-2.4773
2,29,-2405723.46,-229.06,-2.5206
2,30,-1972195.78,-187.78,-2.0425
2,31,-1865411.59,-177.61,-2.1859
2,32,-1048933.95,-99.87,-1.2427
2,33,-1507557.42,-143.54,-2.0239
2,34,-1320941.62,-125.77,-1.7809
2,35,-285468.96,-27.18,-0.4327
2,36,-102968.88,-9.8,-0.1659
2,37,197096.41,18.77,0.3317
2,38,87239.68,8.63,0.2279
2,39,223009.36,21.79,0.7801
2,40,-55314,-5.6,-0.5086
2,41,0,0,0
2,42,0,0,0
2,43,0,0,0
2,44,0,0,0
2,45,0,0,0
2,46,0,0,0
2,47,0,0,0
2,48,0,0,0
2,49,0,0,0
2,50,0,0,0
3,1,0,0,0
3,2,464882.82,43.14,0.3417
3,3,0,0,0
3,4,-1228536.89,-114.82,-0.9166
3,5,-1399111.09,-130.77,-1.0905
3,6,-1881544.25,-179.15,-1.451
3,7,-1506239.84,-135.09,-1.2913
3,8,-1362085.99,-122.16,-1.2065
3,9,-671398.31,-62.02,-0.6566
3,10,-1495726.12,-138.75,-1.3158
3,11,-94622.26,-8.76,-0.185
3,12,-931289.15,-87.22,-0.8188
3,13,-1378951.53,-131.3,-1.2681
3,14,-1107208.79,-105.42,-1.0347
3,15,-876382.78,-83.44,-0.9052
3,16,-588237.59,-55.37,-0.599
3,17,-1442927.24,-137.39,-1.2984
3,18,-1381731.86,-131.56,-1.2372
3,19,-1346729.44,-128.23,-1.2086
3,20,-957184.86,-91.14,-0.9199
3,21,-1096323.22,-103.82,-1.0864
3,22,-1167072.08,-110.52,-1.1336
3,23,-2022499.51,-191.52,-1.8052
3,24,-1643336.62,-155.62,-1.5247
3,25,-2448990.06,-233.18,-2.2312
3,26,-3289487.31,-309.91,-3.2559
3,27,-2627726.2,-243.21,-2.7157
3,28,-2087765.78,-198.78,-2.151
3,29,-2365913.3,-225.27,-2.403
3,30,-1936215.26,-184.35,-1.9612
3,31,-967393.81,-92.11,-1.1586
3,32,-562660.2,-53.57,-0.7011
3,33,-524546.63,-49.94,-0.7026
3,34,-618608.26,-58.9,-0.843
3,35,-481428.03,-45.84,-0.7479
3,36,-443769.07,-42.25,-0.7054
3,37,197096.41,18.77,0.3317
3,38,314717.02,30.4,0.8699
3,39,223009.36,21.79,0.7801
3,40,-55314,-5.6,-0.5086
3,41,0,0,0
3,42,0,0,0
3,43,0,0,0
3,44,0,0,0
3,45,0,0,0
3,46,0,0,0
3,47,0,0,0
3,48,0,0,0
3,49,0,0,0
3,50,0,0,0
4,1,0,0,0
4,2,-1411268.52,-128.65,-0.7917
4,3,-1484351.39,-137.61,-0.9626
4,4,0,0,0
4,5,-2470450.62,-230.9,-1.7672
4,6,-1085310.18,-103.01,-1.0105
4,7,-2027672.4,-193.06,-1.6844
4,8,-541787.04,-48.59,-0.6154
4,9,-1114731.9,-102.96,-1.0516
4,10,-1166494.87,-110.1,-1.1008
4,11,-1650990.43,-157.2,-1.4612
4,12,-152944.21,-14.32,-0.2278
4,13,-1414552.01,-134.69,-1.2841
4,14,-1208620.58,-115.08,-1.1474
4,15,-1031395.31,-98.2,-1.0214
4,16,-805600.2,-76.7,-0.7807
4,17,-981387.74,-92.8,-0.9304
4,18,-1387467.13,-131.2,-1.2601
4,19,-1556018.41,-147.14,-1.3858
4,20,-806798.45,-76.29,-0.8189
4,21,-553540.95,-52.34,-0.6127
4,22,-624289.82,-59.03,-0.6579
4,23,-1252796.27,-118.47,-1.1104
4,24,-1529737.56,-144.65,-1.3754
