#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,9,3,5222029.02,384.18,4.1606
2,9,2,5084095.42,389.87,4.2995
3,7,3,4817950.70,362.74,3.7707
4,2,9,4736783.66,348.02,3.5837
5,9,4,4590834.44,345.64,3.6403
6,9,5,4441437.71,337.36,3.6068
7,9,6,4406310.36,334.69,3.6592
8,27,4,4395099.80,325.20,3.7719
9,3,9,4375165.04,325.29,3.3551
10,9,7,4368305.20,331.80,3.6508
11,9,8,4334699.55,329.25,3.6251
12,27,9,4314041.71,310.55,3.2846
13,28,9,4314041.71,310.55,3.2846
14,2,10,4280734.51,314.51,3.2514
15,28,16,4240879.94,305.28,3.3281
16,7,4,4240233.61,319.25,3.1955
17,24,3,4225459.39,312.65,3.5474
18,22,7,4217541.29,312.06,3.5336
19,3,6,4210704.73,319.83,3.4226
20,7,6,4199774.32,319.00,3.3734
21,23,3,4169382.88,308.50,3.3462
22,20,9,4156649.56,299.22,3.1627
23,4,19,4141992.90,298.16,2.7463
24,24,4,4140715.52,306.38,3.4897
25,22,9,4136988.40,296.09,3.1433
26,22,6,4133715.57,305.86,3.4076
27,2,11,4116552.76,302.45,3.1422
28,27,10,4110514.93,295.90,3.1971
29,27,11,4110514.93,295.90,3.1971
30,27,12,4110514.93,295.90,3.1971
31,27,13,4110514.93,295.90,3.1971
32,28,10,4110514.93,295.90,3.1971
33,28,11,4110514.93,295.90,3.1971
34,28,12,4110514.93,295.90,3.1971
35,28,13,4110514.93,295.90,3.1971
36,27,18,4103844.98,295.42,2.9997
37,27,19,4103844.98,295.42,2.9997
38,27,20,4103844.98,295.42,2.9997
39,28,18,4103844.98,295.42,2.9997
40,28,19,4103844.98,295.42,2.9997
41,28,20,4103844.98,295.42,2.9997
42,10,8,4101764.84,311.56,3.4320
43,2,7,4096965.09,311.19,3.3706
44,4,6,4096198.67,311.13,3.4505
45,13,7,4085167.53,310.29,3.4522
46,23,4,4084639.00,302.23,3.2913
47,27,16,4079915.14,293.69,3.2015
48,28,4,4075100.52,301.53,3.4771
49,27,3,4063114.34,302.38,3.4687
50,27,17,4054950.08,291.90,3.1838
51,28,17,4054950.08,291.90,3.1838
52,27,5,4040986.72,299.00,3.4124
53,27,6,4040986.72,299.00,3.4124
54,23,9,4034253.25,288.74,3.0817
55,24,9,4034253.25,288.74,3.0813
56,2,8,4031600.77,306.23,3.4010
57,23,6,4030190.81,298.20,3.3368
58,24,5,4030190.81,298.20,3.3368
59,25,9,4027126.82,288.23,3.0759
60,10,9,4025756.12,299.31,3.0494
61,21,9,4025640.90,289.79,3.0600
62,27,7,4022378.75,297.62,3.3970
63,2,12,4010983.46,294.69,3.0870
64,8,7,4006988.01,304.36,3.2368
65,27,14,4001112.75,288.02,3.0964
66,28,14,4001112.75,288.02,3.0964
67,27,8,3994027.39,297.23,3.4264
68,28,8,3994027.39,297.23,3.4264
69,18,16,3990545.82,287.26,3.1205
70,19,16,3990545.82,287.26,3.1205
71,20,16,3990545.82,287.26,3.1205
72,23,5,3974114.30,294.05,3.1497
73,4,20,3968369.83,285.66,2.8943
74,27,21,3967058.65,285.57,2.9097
75,28,21,3967058.65,285.57,2.9097
76,18,9,3965136.76,285.43,3.0813
77,19,9,3965136.76,285.43,3.0813
78,5,6,3956053.71,304.08,3.2453
79,27,15,3955824.34,284.76,3.0861
80,28,15,3955824.34,284.76,3.0861
81,11,7,3954668.90,300.38,3.3333
82,12,7,3954668.90,300.38,3.3333
83,7,5,3948708.52,299.93,3.1030
84,8,6,3933583.19,298.78,3.1642
85,28,5,3932491.86,290.97,3.3035
86,28,6,3932491.86,290.97,3.3031
87,2,16,3925526.23,282.58,3.0708
88,32,3,3923455.63,291.98,3.4824
89,17,16,3916567.81,281.93,3.0977
90,28,7,3913889.81,291.27,3.3018
91,28,3,3913139.52,291.21,3.3963
92,18,10,3906346.17,281.20,3.0321
93,18,11,3906346.17,281.20,3.0321
94,18,12,3906346.17,281.20,3.0321
95,19,10,3906346.17,281.20,3.0321
96,19,11,3906346.17,281.20,3.0321
97,19,12,3906346.17,281.20,3.0321
98,20,10,3906346.17,281.20,3.0321
99,20,11,3906346.17,281.20,3.0321
