P:N1,P:N2,净利润,年化收益率%
29,34,13459717.48,100.01
30,34,13028659.44,96.81
44,48,13634814.93,96.69
4,38,12982988.3,96.47
17,4,12847100.74,96.33
5,39,13042711.45,96.32
5,38,12912392.12,95.94
32,33,12817382.99,95.24
31,33,12739969.11,94.66
31,32,12717558.46,94.49
7,20,12586209.6,93.67
24,38,12425434.88,93.63
6,20,12471434.25,93.51
8,19,12490283.32,92.95
4,40,12583602.58,92.93
7,19,12460518.14,92.73
5,40,12544305.21,92.64
16,3,12291236.49,92.48
4,37,12435301.06,92.4
45,46,12315357.22,92.34
29,33,12416593.96,92.26
3,39,12411060.1,92.22
28,33,12409255.89,92.2
4,39,12376374.15,91.96
44,46,12192924.21,91.88
33,35,12311448.84,91.48
5,37,12282302.11,91.26
30,33,12209691.09,90.72
44,47,12752623.66,90.43
7,43,12144688.51,90.24
43,48,12694475.89,90.02
43,47,12761502.56,89.96
5,47,12022279.44,89.96
33,36,12075486.03,89.72
44,45,11854562.01,89.33
31,34,12019658.82,89.31
24,37,11843691.79,89.25
5,35,12005952.42,89.21
43,44,11841992.7,88.79
42,49,12490109.68,88.57
8,42,11881115.01,88.28
4,41,11927827.06,88.09
43,49,12414024.81,88.03
17,5,11740119.75,88.03
4,45,11838399.36,87.96
3,38,11824273.6,87.86
4,35,12000072.53,87.71
4,50,11707127.57,87.6
45,47,12306960.01,87.27
5,46,11639797.22,87.09
7,18,11613786.2,87.08
34,36,11718747.01,87.07
42,48,12340355.88,86.99
8,18,11681068.99,86.93
35,38,11611768.27,86.89
5,48,11603602.53,86.82
5,41,11743210.71,86.72
27,35,11365247.84,86.52
6,21,11509210.92,86.3
5,43,11604168.02,86.22
24,36,11437347.13,86.19
4,42,11654699.85,86.07
37,48,12049832.38,85.96
8,41,11567724.15,85.95
5,36,11537650.49,85.73
34,35,11513112.41,85.54
8,40,11510121.51,85.52
18,4,11357672.37,85.16
45,48,11853131.64,85.07
36,49,11903204.99,84.92
4,44,11418777.47,84.84
23,36,11235445.52,84.67
32,34,11388098.9,84.62
9,19,11185622.66,84.51
7,33,11370417.94,84.48
24,35,11203845.01,84.43
36,48,11817518,84.31
6,19,11240878.67,84.28
4,49,11243226.86,84.13
44,49,11720705.1,84.12
7,21,11271687.59,83.88
35,39,11286384.21,83.86
3,42,11275029.39,83.78
4,36,11271222.75,83.75
34,38,11189171.34,83.72
8,37,11329887.39,83.67
5,42,11248309.49,83.58
8,44,11222654.3,83.39
7,40,11218160.72,83.35
7,38,11221830.5,82.87
35,50,11469823.05,81.82
42,50,11507245.46,81.6
35,49,11366047.57,81.08
40,47,11323157.05,80.78
36,50,11287834.29,80.53
46,50,11285375.71,80.51
39,48,11275424.69,80.44
39,49,11242383.19,79.25
39,50,11214779.11,79.05
48,49,11228687.09,76.86
