P:N1,P:N2,净利润,年化收益率%,夏普比率
14,3,15351253.03,287.1,1.3732
13,3,14678440.89,274.51,1.4229
13,4,14517611.38,271.51,1.3322
2,4,12467036.2,255.08,1.2525
14,4,13481763.25,252.13,1.1671
8,4,12628455.14,243.82,1.2414
10,6,12532272.86,241.96,1.0678
5,3,11973531.63,232.47,1.181
11,5,11874122.54,229.25,0.9134
41,4,13135989.23,228.72,1.6111
4,15,11863536.16,225.45,1.1508
14,15,12985753.19,222.21,1.4698
10,4,11789233.4,220.48,1.101
5,12,11501864.1,218.58,1.1584
2,13,11477549.54,216.95,1.0698
15,8,11290036.03,211.14,0.9285
5,10,10538380.49,210.62,1.053
15,12,11071957.03,209.28,1.17
2,18,11101257.68,207.61,1.1623
15,13,10816354.96,205.55,1.134
2,15,10848891.24,205.06,0.9912
9,5,10576753.45,204.21,0.9373
14,5,10876652.43,203.41,0.9639
5,20,11864485.68,202.34,1.3606
50,7,11584821.45,201.72,1.2611
3,15,10668699.74,201.66,1.0544
2,17,10566435.04,199.73,1.077
8,6,10277216.78,198.42,0.767
11,3,10591933.01,198.09,0.9889
50,8,11339844.34,197.45,1.2495
3,4,9967820.48,197.41,0.843
4,16,10435838.69,197.26,1.0172
40,4,11317078.53,197.05,1.2644
50,9,11299381.31,196.75,1.2254
14,2,10673868.29,196.74,1.4984
14,29,11010482.02,196.56,1.129
11,4,10177334.1,196.49,0.7478
40,3,11247585.76,195.84,1.4301
5,21,11433043.22,194.99,1.2976
13,32,10914924.36,194.85,1.145
50,15,11699498.3,194.69,1.2395
3,14,10294063.71,194.58,1.023
3,13,10268306.86,194.09,0.9853
2,19,10289316.21,192.43,1.1131
50,16,11554077.55,192.27,1.2275
14,30,10710088.71,191.19,1.0969
2,12,10106205.6,191.03,0.8525
13,30,10696016.89,190.94,1.1062
13,31,10620318.51,189.59,1.1131
12,4,9806280.45,189.33,0.8432
50,14,11350873.8,188.89,1.1985
50,17,11323878.1,188.44,1.2052
5,22,11049399.97,188.44,1.22
50,20,11312372.81,188.25,1.2041
13,15,11333708.15,188.08,1.2401
4,21,11005990.72,187.7,1.2764
4,17,9929022.44,187.68,0.9654
14,28,10512083.25,187.66,1.072
5,16,9864071.29,187.45,0.8926
50,21,11261698.16,187.4,1.1993
50,10,10710975.66,186.5,1.1382
14,10,9839149.16,185.98,0.834
5,17,9836745.95,185.93,0.9267
7,10,9819161.14,185.6,0.8917
50,18,11153094.68,185.59,1.191
50,19,11153094.68,185.59,1.191
35,43,10254197.74,185.22,1.0995
13,9,9872509.05,184.63,0.8589
4,22,10808611.73,184.34,1.2036
34,43,10202282.09,184.28,1.0809
13,33,10304022.1,183.95,1.0866
40,5,10560213.94,183.88,0.9308
5,23,10790298.39,183.41,1.2148
50,11,10533336.89,183.41,1.1234
50,12,10533336.89,183.41,1.1234
14,13,9620884.72,182.83,0.963
39,3,10477436.71,182.43,1.3332
27,28,10643844.75,182.13,1.1209
35,44,10265258.25,181.33,1.113
13,7,9640583.55,180.3,0.7947
40,41,10197579.73,180.14,1.088
11,16,10538303.1,179.13,1.2376
41,42,10114311.07,178.01,1.1074
13,14,9607537.49,177.46,0.9859
50,13,10116366.36,176.15,1.0793
26,31,9671318.84,175.47,0.9178
39,5,10016664.21,174.41,0.8952
39,6,9963830.14,173.49,0.8428
14,31,9706329.07,173.28,0.9921
14,16,10188347.79,173.18,1.1745
36,43,9739693.34,172.05,1.0468
42,44,9680995.96,171.64,1.0324
12,32,9597766.93,171.34,0.9825
50,22,10245658.44,170.49,1.102
50,26,10210906.61,169.92,1.0966
40,6,9593192.33,167.04,0.8201
50,25,10036382.9,167.01,1.0815
50,24,9983259.47,166.13,1.0769
12,17,9648933.01,165.11,1.0849
50,23,9807248.38,163.2,1.0595
