P:N1,P:N2,净利润,年化收益率%,夏普比率
4,21,-2017181.12,-173.38,-1.316
4,22,-755316.61,-64.92,-0.4763
4,23,-1054171.54,-90.24,-0.6993
4,24,-552161.57,-47.27,-0.3459
4,25,-833525.96,-71.36,-0.5971
4,26,-635549.9,-54.41,-0.4305
4,27,-535765.53,-46.42,-0.3658
4,28,-1531840.88,-143.16,-1.3632
4,29,-1859559.63,-176.34,-1.8581
4,30,-2309847.05,-219.04,-2.5729
4,31,-1928219.49,-182.85,-2.3006
4,32,-1899883.08,-178.62,-2.2812
4,33,-1142335.11,-109.27,-1.8108
4,34,-1114643.16,-106.63,-1.8135
4,35,-1557506.64,-148.99,-2.7525
4,36,-937098.82,-89.64,-2.0013
4,37,-733221.22,-70.14,-1.7728
4,38,-584036.5,-55.38,-1.5842
4,39,-746138.7,-69.54,-2.0736
4,40,-4537.13,-0.45,-0.0531
4,41,0,0,0
4,42,0,0,0
4,43,0,0,0
4,44,0,0,0
4,45,0,0,0
4,46,0,0,0
4,47,0,0,0
4,48,0,0,0
4,49,0,0,0
4,50,0,0,0
5,1,0,0,0
5,2,314567.73,27.53,0.2677
5,3,-531486.05,-47.07,-0.2832
5,4,-1236625.54,-109.51,-0.6655
5,5,0,0,0
5,6,-1289118.16,-110.8,-0.6042
5,7,-1032658.65,-88.76,-0.4847
5,8,-302975.9,-25.73,-0.1032
5,9,-1802296.1,-153.07,-0.9463
5,10,-1931356.66,-164.68,-1.0041
5,11,-1633593.55,-139.29,-0.8058
5,12,-1419140.59,-121,-0.719
5,13,-1392919.36,-118.77,-0.7208
5,14,-1611713.31,-137.42,-0.8572
5,15,-1960151.54,-168.48,-1.1122
5,16,-2621961.92,-225.36,-1.4897
5,17,-1776278.38,-152.67,-1.0471
5,18,-1549110.35,-133.15,-0.9236
5,19,-1182355.93,-101.62,-0.7095
5,20,-1581634.45,-135.94,-0.9731
5,21,-1556431.05,-133.78,-1.0197
5,22,-139007.27,-11.95,-0.0318
5,23,-477103.39,-41.01,-0.2901
5,24,-430319.29,-36.84,-0.2564
5,25,-644367.35,-55.16,-0.4501
5,26,-679460.21,-58.17,-0.475
5,27,-611951.23,-53.02,-0.4379
5,28,-1375331.41,-128.54,-1.2158
5,29,-1703050.16,-161.5,-1.6844
5,30,-2052118.33,-194.6,-2.2718
5,31,-1670490.76,-158.41,-1.9833
5,32,-1641228.89,-154.3,-1.9618
5,33,-1065966.45,-101.97,-1.6286
5,34,-1022214.09,-97.78,-1.6603
5,35,-1096856.49,-104.92,-1.8836
5,36,-476448.67,-45.58,-0.9876
5,37,-504934.42,-48.3,-1.3701
5,38,-584036.5,-55.38,-1.5842
5,39,-746138.7,-69.54,-2.0736
5,40,-4537.13,-0.45,-0.0531
5,41,0,0,0
5,42,0,0,0
5,43,0,0,0
5,44,0,0,0
5,45,0,0,0
5,46,0,0,0
5,47,0,0,0
5,48,0,0,0
5,49,0,0,0
5,50,0,0,0
6,1,0,0,0
6,2,-4615704.36,-400.71,-2.7166
6,3,-3052878.13,-259.92,-1.8115
6,4,-5877135.94,-499.48,-3.2623
6,5,-3334943,-291.82,-1.8362
6,6,0,0,0
6,7,625632.88,53.77,0.4008
6,8,-1148132.65,-97.9,-0.5816
6,9,-1768872.43,-150.83,-0.927
6,10,-2539993.96,-216.58,-1.33
6,11,-1586267.69,-135.26,-0.7928
6,12,-1851688.96,-157.89,-0.9703
6,13,-2028790.95,-172.99,-1.0815
6,14,-2402170.56,-204.82,-1.3178
6,15,-2847481.39,-244.74,-1.5953
6,16,-2811811.36,-241.68,-1.5911
6,17,-1669852.69,-143.53,-0.9681
6,18,-1068862.9,-91.87,-0.6396
6,19,-1050294.73,-90.27,-0.6332
6,20,-982935.65,-84.48,-0.5958
6,21,-1592862.82,-136.91,-1.0449
6,22,-446184.97,-38.35,-0.2584
6,23,-474119.06,-40.59,-0.276
6,24,-518461.9,-44.38,-0.3199
6,25,-1033945.74,-88.51,-0.7525
6,26,-835969.68,-71.57,-0.595
6,27,-768460.69,-66.58,-0.5622
6,28,-1623665.76,-151.74,-1.4423
6,29,-1951384.51,-185.05,-1.9456
6,30,-2458613.35,-233.15,-2.7536
6,31,-2177365.15,-206.25,-2.6158
6,32,-1991592.48,-187.24,-2.4058
6,33,-1258370.6,-119.2,-1.9167
6,34,-1306647.51,-123.77,-2.1187
6,35,-1288860.84,-122.09,-2.2047
6,36,-624674.92,-59.17,-1.2975
6,37,-605088.67,-57.57,-1.6501
6,38,-684640.97,-64.57,-1.8658
6,39,-847643.63,-78.58,-2.3664
6,40,-53365.72,-5.37,-1.4701
6,41,0,0,0
6,42,0,0,0
6,43,0,0,0
6,44,0,0,0
6,45,0,0,0
6,46,0,0,0
6,47,0,0,0
6,48,0,0,0
6,49,0,0,0
6,50,0,0,0
7,1,0,0,0
7,2,-4588050.93,-390.29,-2.5981
