P:N1,P:N2,净利润,年化收益率%,夏普比率
2,9,4360392.2,276.89,2.5517
3,9,4092238.85,261.82,2.4106
9,10,4022467.25,257.36,2.4057
2,8,4048114.65,257.06,2.3251
2,11,3987608.05,255.13,2.3142
3,4,3966630.77,248.71,2.189
7,8,3854068.5,246.58,2.2763
11,9,3752036.2,245.59,2.3341
12,9,3752036.2,245.59,2.3341
13,9,3752036.2,245.59,2.3341
16,8,3612490.2,240.6,2.3147
17,8,3612490.2,240.6,2.3147
4,8,3788138.6,240.55,2.171
13,8,3659766.55,240.53,2.331
14,8,3659766.55,240.53,2.331
18,8,3603894.5,240.03,2.3108
8,10,3746329.25,239.69,2.2505
11,8,3616788.05,237.7,2.2986
15,9,3552260.1,236.59,2.2746
16,9,3552260.1,236.59,2.2746
17,9,3552260.1,236.59,2.2746
14,9,3599536.45,236.57,2.2911
18,9,3543664.4,236.02,2.2706
8,9,3672743.8,234.98,2.2011
12,8,3556618.15,233.75,2.2603
2,10,3644362.3,233.17,2.079
11,13,3640658.3,232.93,2.1574
12,13,3640658.3,232.93,2.1574
11,12,3624413.7,231.89,2.1328
9,8,3760272.95,231.15,2.1066
11,10,3493963.1,228.7,2.1679
3,7,3650068.05,228.37,2.1047
3,10,3561789.25,227.88,2.0625
5,9,3561331.95,227.85,2.1181
9,11,3555947.95,227.51,2.0876
10,11,3555947.95,227.51,2.0876
3,11,3553306.5,227.34,2.1096
4,12,3546954.45,226.93,2.1137
8,12,3521565.15,225.31,2.0698
9,12,3521565.15,225.31,2.0698
10,12,3521565.15,225.31,2.0698
3,12,3518923.7,225.14,2.0915
10,9,3573833.05,224.08,2.0335
4,11,3498078.9,223.81,2.0818
12,10,3409420.85,223.16,2.1079
9,13,3485382.25,223,2.0511
10,13,3485382.25,223,2.0511
13,10,3341463.35,222.55,2.1159
14,10,3341463.35,222.55,2.1159
15,10,3341463.35,222.55,2.1159
16,10,3341463.35,222.55,2.1159
17,10,3341463.35,222.55,2.1159
18,10,3341463.35,222.55,2.1159
6,8,3448402.8,222.1,2.0332
2,12,3468291.45,221.9,2.0369
5,8,3459426.2,221.33,2.0238
14,11,3319974.1,221.22,2.1032
15,11,3319974.1,221.22,2.1032
16,11,3319974.1,221.22,2.1032
17,11,3319974.1,221.22,2.1032
18,11,3319974.1,221.22,2.1032
19,11,3319974.1,221.22,2.1032
20,11,3319974.1,221.22,2.1032
2,13,3446201.85,220.49,2.0324
4,9,3424997.95,219.13,1.9733
5,11,3424442.1,219.1,2.0431
5,12,3392353.65,217.04,2.0128
4,13,3380585.8,216.29,1.9967
7,11,3213908.35,214.15,1.9458
8,11,3213908.35,214.15,1.9458
10,14,3340042.35,213.7,1.9746
11,14,3340042.35,213.7,1.9746
5,13,3334553,213.35,1.976
6,9,3309287.15,211.73,1.9287
2,14,3307707.4,211.63,1.9507
7,9,3267108.25,209.03,1.9015
4,7,3268025.4,207.52,1.8907
4,14,3242091.35,207.43,1.9148
7,13,3233659.3,206.89,1.9047
12,14,3207808.5,205.24,1.8955
6,13,3114795.23,203.44,1.852
8,13,3177831.4,203.32,1.8764
27,4,3080418,203.02,2.583
10,8,3288023.45,202.12,1.8641
6,12,3085442.52,201.52,1.8381
7,3,3022669.25,201.41,1.9168
3,13,3145122.85,201.23,1.8621
11,4,2979668.4,200.49,2.591
26,4,3032442,199.86,2.545
5,14,3121621.35,199.72,1.8532
2,16,3081403.1,197.15,1.8478
9,14,3067748.3,196.28,1.8158
3,5,3127210.05,195.66,1.8616
4,6,3037476.15,192.88,1.7609
3,8,3023914.65,192.02,1.7314
4,10,2975375.4,191.73,1.7229
6,10,2972225.35,190.16,1.7086
6,14,2964899.75,189.69,1.7547
2,3,3026862.85,189.38,1.7501
6,7,2994118.6,184.62,1.4534
