P:N1,P:N2,净利润,年化收益率%
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
2,1,0,0
2,2,0,0
2,3,1149341.11,103.73
2,4,306259.76,27.48
2,5,565481.64,48.24
2,6,242658.99,20.7
2,7,-664454.25,-56.69
2,8,-641120.24,-54.7
2,9,-359305.01,-30.65
2,10,-6087.05,-0.51
2,11,-254567.1,-21.48
2,12,-33843.26,-2.89
2,13,-144058.75,-12.29
2,14,-535634.34,-46.46
2,15,-550340.27,-48.82
2,16,-689442.57,-62.22
2,17,-889928.69,-79.85
2,18,-612355.18,-55.26
2,19,-479983.38,-44.61
2,20,-256474.56,-23.69
2,21,-436334.64,-41.29
2,22,-646821.22,-62.95
2,23,-216155.16,-20.82
2,24,-512120.38,-48.95
2,25,-512120.38,-48.95
2,26,-512120.38,-48.95
2,27,-512120.38,-48.95
2,28,-612986.06,-58.59
2,29,-702094.35,-67.11
2,30,-849363.71,-81.18
2,31,-415707.94,-40.34
2,32,-415707.94,-40.34
2,33,-532486.3,-51.37
2,34,307854.14,30.15
2,35,168812.29,16.74
2,36,330026.4,32.12
2,37,330026.4,32.12
2,38,330026.4,32.12
2,39,168812.29,16.74
2,40,112422.93,11.22
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
3,1,0,0
3,2,-2122828.32,-192.54
3,3,0,0
3,4,343830.54,29.33
3,5,167686.36,14.31
3,6,-364742.84,-31.12
3,7,-485559.95,-41.43
3,8,-21351.59,-1.82
3,9,-1314933.09,-112.18
3,10,-532119.51,-44.91
3,11,-982549.01,-82.92
3,12,-929346,-78.43
3,13,-1110432.61,-94.74
3,14,-1313456.49,-113.93
3,15,-1325987.59,-117.63
3,16,-1138483.27,-102.75
3,17,-917117.49,-82.29
3,18,-546946.13,-49.36
3,19,-627553.38,-58.32
3,20,-584192.2,-53.97
3,21,-820668.4,-77.65
3,22,-821001.14,-78.47
3,23,-512120.38,-48.95
3,24,-612986.06,-58.59
3,25,-612986.06,-58.59
3,26,-612986.06,-58.59
3,27,-604740.19,-57.8
3,28,-604740.19,-57.8
3,29,-421031.53,-40.86
3,30,-451015.84,-43.77
3,31,-348308.08,-33.6
3,32,-405679.38,-39.14
3,33,-405679.38,-39.14
3,34,-348334.94,-33.6
3,35,-478181.39,-46.13
3,36,421758.42,40.8
3,37,421758.42,40.8
3,38,421758.42,40.8
3,39,421758.42,40.8
3,40,112422.93,11.22
3,41,0,0
3,42,0,0
3,43,0,0
3,44,0,0
3,45,0,0
3,46,0,0
3,47,0,0
3,48,0,0
3,49,0,0
3,50,0,0
4,1,0,0
4,2,-1975052.09,-179.14
4,3,-1190856.75,-105.04
4,4,0,0
4,5,689883.15,58.22
4,6,668065.19,57
4,7,-12097.75,-1.03
4,8,-535362.66,-45.67
4,9,-247636.08,-21.13
4,10,194116.19,16.38
4,11,-725771.89,-61.25
4,12,-590768.24,-49.86
4,13,-801093.01,-67.61
4,14,-1093925.77,-94.88
4,15,-1394303.76,-123.69
4,16,-1595311.45,-143.97
4,17,-862549.69,-77.84
4,18,-82812.99,-7.47
4,19,-391743.65,-36.41
4,20,-234263.51,-21.64
4,21,-590905.65,-55.91
4,22,-812855.21,-77.69
4,23,-604740.19,-57.8
4,24,-719608.77,-68.18
4,25,-978229.76,-92.36
4,26,-719608.77,-68.18
4,27,-604740.19,-57.8
4,28,-604740.19,-57.8
4,29,-820198.03,-77.93
4,30,-1007340.56,-95.71
4,31,-474734.29,-45.8
4,32,-474734.29,-45.8
4,33,-474734.29,-45.8
4,34,307854.14,30.15
4,35,168812.29,16.74
4,36,358390.58,34.88
4,37,358390.58,34.88
4,38,358390.58,34.88
4,39,358390.58,34.88
4,40,112422.93,11.22
4,41,0,0
4,42,0,0
4,43,0,0
4,44,0,0
4,45,0,0
4,46,0,0
4,47,0,0
4,48,0,0
4,49,0,0
4,50,0,0
5,1,0,0
5,2,-2377856.23,-200.61
5,3,522743.34,44.36
5,4,-629468.24,-55.52
5,5,0,0
5,6,-394282.74,-33.64
5,7,-172819.8,-14.99
5,8,-895648.9,-79
5,9,-469480.89,-40.72
5,10,-361047.96,-30.47
5,11,-393245.48,-33.37
5,12,-919714.65,-77.62
5,13,-871418.44,-73.54
5,14,38062.46,3.3
5,15,-185410.24,-16.45
5,16,-490924.14,-44.3
5,17,-477942.65,-43.13
5,18,-341433.97,-30.81
5,19,-772142.7,-71.76
5,20,-729880.97,-67.43
5,21,-841230.79,-79.42
5,22,-1186344.79,-112
5,23,-978229.76,-92.36
5,24,-978229.76,-92.36
5,25,-1073796.48,-100.77
5,26,-1131692.51,-106.21
5,27,-1131692.51,-106.21
5,28,-1002972.63,-94.13
5,29,-992963,-93.52
5,30,-624465.68,-60.24
5,31,-536080.73,-51.72
5,32,382702.72,37.25
5,33,382702.72,37.25
5,34,382702.72,37.25
5,35,168812.29,16.74
5,36,358390.58,34.88
5,37,358390.58,34.88
5,38,358390.58,34.88
5,39,358390.58,34.88
5,40,112422.93,11.22
5,41,0,0
5,42,0,0
5,43,0,0
5,44,0,0
5,45,0,0
5,46,0,0
5,47,0,0
5,48,0,0
5,49,0,0
5,50,0,0
6,1,0,0
6,2,-1867980.45,-158.51
6,3,-1920355.95,-160.29
6,4,1648749.26,140.66
6,5,1251798.69,106.8
6,6,0,0
6,7,-168187.92,-14.84
6,8,-1247379.35,-110.03
6,9,-205429.2,-17.15
6,10,293359.13,24.89
6,11,-393245.48,-33.37
6,12,-392547.44,-33.13
6,13,-745781.4,-63.63
6,14,38062.46,3.3
6,15,-185410.24,-16.45
6,16,-550569.3,-49.69
6,17,-296879.4,-26.19
6,18,-524606.33,-47.34
6,19,-830913.3,-77.22
6,20,-788826.49,-72.87
6,21,-849526.64,-80.2
6,22,-1186344.79,-112
6,23,-953767.54,-90.05
6,24,-1131692.51,-106.21
6,25,-1131692.51,-106.21
6,26,-1131692.51,-106.21
6,27,-1131692.51,-106.21
6,28,-1131692.51,-106.21
6,29,287719.08,28.18
6,30,148927.35,14.77
6,31,241910,23.84
6,32,279665.05,27.39
6,33,279665.05,27.39
6,34,279665.05,27.39
6,35,168812.29,16.74
6,36,386754.75,37.64
6,37,386754.75,37.64
6,38,386754.75,37.64
6,39,386754.75,37.64
6,40,112422.93,11.22
6,41,0,0
6,42,0,0
6,43,0,0
6,44,0,0
6,45,0,0
6,46,0,0
6,47,0,0
6,48,0,0
6,49,0,0
6,50,0,0
7,1,0,0
7,2,-2279525.3,-193.36
7,3,797049.79,67.27
7,4,178630.32,15.24
7,5,1352880.66,114.17
7,6,419659.65,35.8
7,7,0,0
7,8,1113015.55,91.94
7,9,636789.48,53.45
7,10,397474.04,33.54
7,11,527009.3,44.72
7,12,-67167.52,-5.67
7,13,-449637.6,-38.36
7,14,-422586.19,-36.65
7,15,-650256.79,-57.68
7,16,-550569.3,-49.69
7,17,-296879.4,-26.19
7,18,359383.1,32.43
7,19,-73323.22,-6.81
7,20,619471.1,57.23
7,21,199075.3,18.84
7,22,-439276.83,-42.63
7,23,-953767.54,-90.05
7,24,-1073796.48,-100.77
7,25,-1131692.51,-106.21
7,26,-204836.29,-19.61
7,27,-204836.29,-19.61
7,28,538364.06,51.44
7,29,287719.08,28.18
7,30,148927.35,14.77
7,31,241910,23.84
7,32,279665.05,27.39
7,33,279665.05,27.39
7,34,279665.05,27.39
7,35,168812.29,16.74
7,36,307854.14,30.15
7,37,307854.14,30.15
7,38,307854.14,30.15
7,39,307854.14,30.15
7,40,112422.93,11.22
7,41,0,0
7,42,0,0
7,43,0,0
7,44,0,0
7,45,0,0
7,46,0,0
7,47,0,0
7,48,0,0
7,49,0,0
7,50,0,0
8,1,0,0
8,2,-2541452.49,-214.42
8,3,868218.24,73.27
8,4,446053.01,38.06
8,5,1190345.76,101.56
8,6,726066.06,61.28
8,7,-3716651.13,-308.59
8,8,0,0
8,9,632155.43,53.06
8,10,20275.25,1.71
8,11,942470.15,79.97
8,12,-213112.4,-17.99
8,13,-200865.76,-17.14
8,14,-303253.1,-26.3
8,15,-522727.8,-46.37
8,16,-1011742.69,-91.31
8,17,460710.68,40.64
8,18,292628.91,26.41
8,19,-73323.22,-6.81
8,20,139065,12.85
8,21,-36708.96,-3.47
8,22,-381673.04,-37.04
8,23,-182551.33,-17.48
8,24,-719466.47,-68.36
8,25,-892581.28,-84.07
8,26,-336708.75,-32.48
8,27,397296.2,38.43
8,28,397296.2,38.43
8,29,287719.08,28.18
8,30,148927.35,14.77
8,31,241910,23.84
8,32,279665.05,27.39
8,33,279665.05,27.39
8,34,279665.05,27.39
8,35,168812.29,16.74
8,36,374598.67,36.46
8,37,374598.67,36.46
8,38,374598.67,36.46
8,39,374598.67,36.46
8,40,112422.93,11.22
8,41,0,0
8,42,0,0
8,43,0,0
8,44,0,0
8,45,0,0
8,46,0,0
8,47,0,0
8,48,0,0
8,49,0,0
8,50,0,0
9,1,0,0
9,2,-372484.58,-36.25
9,3,-390869.55,-38.04
9,4,191829.61,18.79
9,5,1265009.19,106.76
9,6,-628992.38,-60.1
9,7,-3470850.5,-291.26
9,8,-3664735.9,-307.53
9,9,0,0
9,10,362157.64,30.56
9,11,35606.54,2.99
9,12,383088.85,32.33
9,13,263592.95,22.25
9,14,-191190.04,-16.58
9,15,-418860.64,-37.16
9,16,-603995.78,-54.51
9,17,-97401.36,-8.59
9,18,413779.91,37.34
9,19,-14552.63,-1.35
9,20,205064.59,18.94
9,21,-28413.11,-2.69
9,22,-373527.11,-36.25
9,23,-194932.51,-18.66
9,24,-600663.15,-57.41
9,25,-834685.24,-78.61
9,26,-495449.26,-47.8
9,27,397296.2,38.43
9,28,397296.2,38.43
9,29,287719.08,28.18
9,30,148927.35,14.77
9,31,241910,23.84
9,32,279665.05,27.39
9,33,64587.84,6.49
9,34,64587.84,6.49
9,35,168812.29,16.74
9,36,374598.67,36.46
9,37,374598.67,36.46
9,38,168812.29,16.74
9,39,168812.29,16.74
9,40,112422.93,11.22
9,41,0,0
9,42,0,0
9,43,0,0
9,44,0,0
9,45,0,0
9,46,0,0
9,47,0,0
9,48,0,0
9,49,0,0
9,50,0,0
10,1,0,0
10,2,-437252.17,-42.56
10,3,-335677.75,-32.53
10,4,-2605957.06,-218.68
10,5,-2606867.55,-219.94
10,6,-2606867.55,-219.94
10,7,-2659555.25,-223.18
10,8,-3547378.95,-299.28
10,9,-3014947.82,-254.36
10,10,0,0
10,11,1128437.05,94.72
10,12,322044.39,27.18
10,13,16631.44,1.42
10,14,-191190.04,-16.58
10,15,-826607.55,-73.33
10,16,-1011742.69,-91.31
10,17,-749429.35,-66.11
10,18,-311082.5,-28.07
10,19,-15544.35,-1.44
10,20,26542.46,2.45
10,21,-204836.29,-19.38
10,22,-531792.39,-51.61
10,23,-558354.75,-53.05
10,24,-777362.51,-73.86
10,25,-1023357.81,-96.04
10,26,-361471.13,-34.87
10,27,-403883.1,-38.96
10,28,350286.53,34.09
10,29,287719.08,28.18
10,30,148927.35,14.77
10,31,241910,23.84
10,32,64587.84,6.49
10,33,64587.84,6.49
10,34,64587.84,6.49
10,35,168812.29,16.74
10,36,168812.29,16.74
10,37,168812.29,16.74
10,38,168812.29,16.74
10,39,168812.29,16.74
10,40,112422.93,11.22
10,41,0,0
10,42,0,0
10,43,0,0
10,44,0,0
10,45,0,0
10,46,0,0
10,47,0,0
10,48,0,0
10,49,0,0
10,50,0,0
11,1,0,0
11,2,-2578052.07,-212.93
11,3,-335677.75,-32.53
11,4,-2659555.25,-223.18
11,5,-628992.38,-60.1
11,6,-628992.38,-60.1
11,7,-2659555.25,-223.18
11,8,-628992.38,-60.1
11,9,-584643.64,-56.13
11,10,-3342565.44,-280.5
11,11,0,0
11,12,285250.91,24.07
11,13,125189.1,10.57
11,14,-598936.95,-51.95
11,15,-826607.55,-73.33
11,16,771534.26,69.63
11,17,971875.85,85.73
11,18,578967.4,52.25
11,19,-232755.51,-21.63
11,20,788133.61,72.81
11,21,538364.06,50.94
11,22,-705542.38,-68.07
11,23,-616600.61,-58.58
11,24,-777362.51,-73.86
11,25,350286.53,34.09
11,26,350286.53,34.09
11,27,350286.53,34.09
11,28,350286.53,34.09
11,29,287719.08,28.18
11,30,148927.35,14.77
11,31,241910,23.84
11,32,64587.84,6.49
11,33,168812.29,16.74
11,34,168812.29,16.74
11,35,168812.29,16.74
11,36,112422.93,11.22
11,37,112422.93,11.22
11,38,112422.93,11.22
11,39,112422.93,11.22
11,40,112422.93,11.22
11,41,0,0
11,42,0,0
11,43,0,0
11,44,0,0
11,45,0,0
11,46,0,0
11,47,0,0
11,48,0,0
11,49,0,0
11,50,0,0
12,1,0,0
12,2,-2742883.6,-226.54
12,3,397296.2,38.43
12,4,-628992.38,-60.1
12,5,-628992.38,-60.1
12,6,-628992.38,-60.1
12,7,-628992.38,-60.1
12,8,-628992.38,-60.1
12,9,549386.8,45.87
12,10,-625123.39,-60.02
12,11,320180.31,26.88
12,12,0,0
12,13,-52211.14,-4.41
12,14,-598936.95,-51.95
12,15,36650.58,3.25
12,16,-148484.56,-13.4
12,17,906643.25,79.97
12,18,629979.07,56.85
12,19,741449.1,68.91
12,20,788133.61,72.81
12,21,538364.06,50.94
12,22,168812.29,16.68
12,23,-616600.61,-58.58
12,24,-569732.3,-55.11
12,25,350286.53,34.09
12,26,350286.53,34.09
12,27,386754.75,37.64
12,28,386754.75,37.64
12,29,287719.08,28.18
12,30,148927.35,14.77
12,31,241910,23.84
12,32,382702.72,37.25
