P:N1,P:N2,净利润,年化收益率%
4,14,8903470.61,138.21
9,6,8384497.19,137.41
3,14,8594459.45,134.21
5,13,8470112.88,133.87
9,7,7623714.7,124.94
14,13,7813650.02,123.5
4,13,7625331.36,120.52
5,14,7659646.49,118.9
15,9,7467563.54,118.03
6,7,7013032,117.57
6,14,7517510.86,116.7
2,14,7505507.47,116.51
10,11,6914560.05,115.92
7,8,6895476.95,115.6
11,12,7722032.14,115.08
15,10,7269577.4,114.9
5,11,6842942.65,114.72
9,11,7387140.21,114.67
14,11,7190976.79,113.66
8,14,7299244.83,113.31
8,6,7875108.94,112.3
3,13,7042732.08,111.31
14,9,6946272.71,109.79
7,4,7054999.14,109.52
23,17,7894045.69,109.03
7,14,7010477.41,108.83
19,17,8183661.39,108.27
20,19,8013697.13,107.31
2,16,8195814.04,107.14
23,20,7684584.27,106.14
19,16,8012472.16,106
23,19,7608580.54,105.09
28,17,7433961.14,104.65
20,17,7740687.69,103.66
29,17,7328488.9,103.17
30,17,7328488.9,103.17
13,16,7761391.24,102.68
3,17,7753307.72,102.57
19,15,7747423.54,102.5
37,7,7176222.58,102.34
29,16,7174870.98,102.32
30,16,7174870.98,102.32
28,16,7216383.79,102.25
20,18,7634969.14,102.24
25,19,7354127.31,101.58
38,7,7074807.55,101.55
39,7,7074807.55,101.55
3,16,7748951.45,101.3
30,19,7141712.86,101.19
29,19,7054851.41,100.61
27,20,7090182.01,100.46
30,18,7128417.55,100.35
25,23,7260106.98,100.28
29,20,7058346.2,100.01
30,20,7053020.71,99.93
27,19,7048949.19,99.87
27,22,7042803.38,99.79
28,22,7042803.38,99.79
23,21,7221246.1,99.74
25,20,7207901.36,99.56
22,21,7207479.84,99.55
32,17,6945053.58,99.04
19,18,7477212.8,98.92
13,15,7467401.88,98.79
28,18,6926230.67,98.77
29,18,6926230.67,98.77
29,21,7013994.03,98.74
31,17,7001728.86,98.57
28,19,6906990.3,98.5
4,16,7500415.3,98.05
23,18,7067148.47,97.61
28,20,6886398.05,97.57
21,19,7050858.21,97.39
23,16,7050255.9,97.38
29,15,6871681.23,97.36
30,14,6871681.23,97.36
31,16,6915184.59,97.35
32,16,6915184.59,97.35
22,18,7043736.78,97.29
22,19,7023871.71,97.01
32,19,6844937.82,96.98
26,23,6839728.21,96.91
31,20,6838213.26,96.89
22,20,6982827.94,96.45
2,17,7282506.29,96.34
23,22,6974290.04,96.33
21,20,6966950.15,96.23
4,17,7269018.53,96.17
6,15,7262216.99,96.08
4,15,7251583.88,94.79
3,15,7236686.95,94.6
3,18,7106408.56,94.01
2,15,7118651.79,93.06
8,15,7116902.54,93.03
6,16,7107178.31,92.91
11,18,6938237.2,91.79
7,16,6999862.18,91.5
6,17,6881320.7,91.04
7,15,6951653.53,90.87
12,17,6836255.2,90.44
