#,P:N1,P:N2,净利润,年化收益率%
1*,7,6,3995366.31,344.43
2,7,4,3940089.31,333.49
3,9,4,3921282.86,334.95
4,11,3,3878242.50,331.27
5,11,4,3878242.50,331.27
6,8,4,3845043.36,331.48
7,8,6,3834365.77,330.56
8,8,5,3823910.55,329.65
9,7,5,3786859.94,326.46
10,11,5,3773295.00,322.31
11,9,6,3665703.60,313.12
12,9,7,3665703.60,313.12
13,11,8,3509152.95,299.74
14,12,10,3508686.82,299.70
15,13,9,3503234.10,299.24
16,15,9,3500328.06,301.76
17,14,8,3489783.34,300.85
18,14,9,3489783.34,300.85
19,14,10,3489783.34,300.85
20,15,8,3489783.34,300.85
21,13,7,3487342.05,297.88
22,13,8,3487342.05,297.88
23,14,7,3473966.25,299.49
24,13,10,3462769.84,298.52
25,12,9,3378240.19,293.96
26,12,8,3362498.06,292.59
27,13,6,3362498.06,292.59
28,2,11,3353679.77,289.12
29,14,11,3342157.19,288.12
30,15,10,3342157.19,288.12
31,10,11,3316350.95,280.70
32,12,7,3299529.56,287.11
33,3,10,3289965.98,281.02
34,12,11,3286724.77,278.19
35,2,9,3216467.39,274.74
36,3,11,3213792.91,277.06
37,4,10,3202440.83,273.55
38,10,9,3178423.96,276.57
39,4,11,3167720.25,273.08
40,8,7,3157547.49,305.73
41,2,10,3143784.77,271.02
42,3,12,3128361.38,274.78
43,6,7,3099972.58,267.24
44,2,8,3094033.64,264.29
45,7,8,3065144.05,261.82
46,15,11,3054909.79,265.82
47,9,8,3034238.21,302.52
48,6,8,2968344.01,253.55
49,4,5,2966739.35,253.41
50,14,6,2955341.66,288.93
51,5,10,2949006.25,254.23
52,4,12,2927593.80,257.15
53,13,5,2924457.11,285.91
54,14,5,2924457.11,285.91
55,15,3,2924457.11,285.91
56,19,3,2916735.98,292.52
57,19,6,2916735.98,292.52
58,20,3,2916735.98,292.52
59,20,4,2916735.98,292.52
60,21,3,2916735.98,292.52
61,22,3,2916735.98,292.52
62,23,3,2916735.98,292.52
63,24,3,2916735.98,292.52
64,30,29,2916735.98,292.52
65,17,23,2903867.41,283.90
66,17,24,2903867.41,283.90
67,18,22,2903867.41,283.90
68,18,23,2903867.41,283.90
69,19,22,2903867.41,283.90
70,20,22,2903867.41,283.90
71,21,22,2903867.41,283.90
72,11,20,2896146.27,283.14
73,11,21,2896146.27,283.14
74,12,18,2896146.27,283.14
75,20,17,2896146.27,283.14
76,20,18,2896146.27,283.14
77,3,31,2895678.50,288.71
78,3,32,2895678.50,288.71
79,10,31,2895678.50,288.71
80,10,32,2895678.50,288.71
81,11,28,2895678.50,288.71
82,11,29,2895678.50,288.71
83,11,30,2895678.50,288.71
84,11,31,2895678.50,288.71
85,11,32,2895678.50,288.71
86,12,28,2895678.50,288.71
87,12,29,2895678.50,288.71
88,20,12,2890998.85,282.64
89,20,13,2890998.85,282.64
90,20,14,2890998.85,282.64
91,20,15,2890998.85,282.64
92,20,16,2890998.85,282.64
93,20,19,2890998.85,282.64
94,21,12,2890998.85,282.64
95,21,17,2890998.85,282.64
96,21,18,2890998.85,282.64
97,21,19,2890998.85,282.64
98,22,11,2890998.85,282.64
99,23,10,2890998.85,282.64
100,23,11,2890998.85,282.64
101,16,14,2890481.10,279.87
102,17,13,2890481.10,279.87
103,18,13,2890481.10,279.87
104,19,4,2890481.10,279.87
105,19,5,2890481.10,279.87
106,19,12,2890481.10,279.87
107,19,13,2890481.10,279.87
108,19,14,2890481.10,279.87
109,19,15,2890481.10,279.87
110,19,16,2890481.10,279.87
111,19,17,2890481.10,279.87
112,19,18,2890481.10,279.87
113,34,4,2884285.09,276.61
114,2,31,2874888.90,285.62
115,13,32,2874888.90,288.32
116,16,9,2874888.90,285.62
117,16,10,2874888.90,285.62
118,16,11,2874888.90,285.62
119,16,12,2874888.90,285.62
120,17,7,2874888.90,285.62
121,17,8,2874888.90,285.62
122,17,9,2874888.90,285.62
123,17,10,2874888.90,285.62
