#,P:N1,P:N2,净利润,年化收益率%
1*,13,16,13933536.47,76.74
2,12,17,13446055.78,74.05
3,11,18,13108411.75,72.19
4,11,16,13022624.86,70.87
5,11,17,12942083.89,71.28
6,17,10,12715239.00,82.17
7,7,8,12338256.53,84.04
8,12,15,12090796.74,65.02
9,14,16,11765829.19,67.65
10,14,15,11289787.32,62.18
11,7,6,11050290.30,75.39
12,39,37,10920853.73,63.32
13,12,18,10841170.01,63.94
14,8,9,10788839.16,73.61
15,12,16,10725212.32,59.07
16,38,35,10644592.04,62.09
17,13,14,10582230.45,67.18
18,39,35,10576169.49,61.69
19,7,9,10480814.79,72.08
20,17,7,10451540.63,66.48
21,19,16,10444861.56,57.52
22,38,36,10431868.61,60.85
23,13,17,10420040.74,61.46
24,39,38,10255692.34,59.82
25,11,19,10220198.13,60.28
26,13,15,10161881.39,55.96
27,19,15,10094918.28,55.60
28,5,14,10007537.24,64.67
29,9,6,9947879.13,67.76
30,13,20,9868423.37,57.46
31,40,38,9843460.90,57.41
32,29,6,9839194.70,59.95
33,40,37,9826835.80,57.32
34,29,2,9807716.24,61.83
35,40,36,9774409.30,56.67
36,29,3,9768189.63,59.83
37,2,16,9725293.70,52.92
38,12,19,9691951.26,57.16
39,4,14,9682446.55,62.57
40,39,31,9659697.38,56.01
41,11,15,9650192.59,52.51
42,3,14,9636716.65,62.65
43,12,22,9635760.56,57.58
44,40,35,9633203.71,56.19
45,7,4,9627168.46,62.21
46,41,37,9612322.29,56.07
47,38,37,9588772.54,55.60
48,15,9,9588513.56,63.09
49,42,35,9588318.18,55.59
50,8,6,9574218.82,56.84
51,29,5,9551033.26,58.20
52,41,34,9531833.04,55.60
53,15,10,9514314.19,62.60
54,40,34,9514060.74,55.49
55,41,35,9510375.78,55.14
56,14,17,9509820.48,56.09
57,13,22,9479635.80,56.64
58,39,34,9464300.57,54.87
59,38,31,9429089.57,54.67
60,41,36,9417066.74,54.60
61,39,36,9402872.73,54.52
62,39,33,9396067.19,54.48
63,40,39,9384264.86,55.40
64,19,17,9374861.49,51.63
65,5,11,9361171.04,64.67
66,12,13,9345815.70,59.68
67,11,13,9322368.19,60.97
68,2,19,9318999.00,51.95
69,38,34,9318229.37,54.03
70,39,32,9302713.69,53.94
71,13,10,9293232.66,61.15
72,38,33,9292283.71,53.88
73,10,18,9280033.59,51.11
74,14,20,9244771.24,53.83
75,42,37,9242862.21,53.91
76,10,22,9211519.55,55.04
77,2,14,9183685.71,59.35
78,23,3,9180968.50,63.77
79,7,18,9170936.09,50.51
80,35,34,9168446.47,53.39
81,6,14,9141522.18,59.07
82,13,18,9119055.15,53.79
83,42,36,9108159.89,53.12
84,11,14,9101557.79,58.82
85,41,40,9100923.74,54.05
86,9,11,9080642.36,58.68
87,5,13,9069070.94,59.67
88,28,5,9051183.25,55.15
89,9,15,9041620.51,49.20
90,12,21,8993425.48,52.37
91,12,23,8993040.85,54.81
92,10,19,8989220.20,53.02
93,15,11,8986485.94,59.13
94,2,10,8970512.91,61.10
95,14,13,8935281.29,58.79
96,41,33,8914361.55,51.68
97,41,39,8898038.96,52.53
98,23,2,8891906.97,59.33
99,15,17,8891138.15,52.44
100,7,20,8881119.04,52.38
