#,P:N1,P:N2,净利润,年化收益率%
1*,7,3,2207897.44,197.68
2,7,4,2130565.05,190.75
3,9,4,2103440.70,189.73
4,9,5,2017586.44,181.99
5,6,7,2017411.14,183.08
6,6,8,2009640.81,181.27
7,8,5,1979211.34,178.52
8,8,6,1883953.85,169.93
9,11,8,1850491.91,166.91
10,5,8,1841068.45,167.31
11,7,8,1747369.00,157.61
12,5,7,1740740.19,157.01
13,9,6,1720109.45,155.15
14,3,4,1667878.84,143.08
15,7,5,1638803.99,146.72
16,11,7,1634316.34,148.52
17,9,7,1576546.24,142.20
18,9,8,1572137.72,142.87
19,4,6,1537391.47,136.14
20,2,3,1530632.02,130.29
21,14,11,1525479.02,141.83
22,15,14,1525479.02,141.83
23,19,15,1509341.63,140.33
24,16,15,1502832.38,139.73
25,17,14,1502832.38,139.73
26,17,15,1502832.38,139.73
27,11,9,1463738.55,134.03
28,7,2,1463418.58,137.12
29,19,16,1440557.25,133.94
30,19,17,1440557.25,133.94
31,17,16,1421858.77,132.20
32,18,15,1421858.77,132.20
33,5,6,1416870.41,125.47
34,18,14,1409302.50,131.03
35,18,16,1406741.34,130.79
36,19,18,1403846.36,131.53
37,14,13,1395184.48,130.72
38,14,12,1383290.43,129.61
39,11,10,1382374.92,126.58
40,4,5,1361350.13,117.70
41,21,3,1341565.24,125.70
42,18,17,1337681.83,124.37
43,20,7,1335337.13,125.12
44,20,8,1335337.13,125.12
45,9,16,1333153.48,124.91
46,13,14,1306043.14,122.37
47,18,8,1306032.51,123.33
48,3,5,1305726.31,113.79
49,13,15,1303091.66,122.09
50,2,4,1298600.41,111.40
51,4,7,1294140.90,117.44
52,7,17,1288048.50,120.68
53,21,19,1264107.00,119.37
54,21,20,1264107.00,119.37
55,23,19,1252113.00,118.23
56,20,10,1237120.50,116.82
57,20,14,1237120.50,116.82
58,20,15,1237120.50,116.82
59,20,16,1237120.50,116.82
60,20,17,1237120.50,116.82
61,20,18,1237120.50,116.82
62,20,19,1237120.50,116.82
63,21,8,1237120.50,116.82
64,21,9,1237120.50,116.82
65,21,10,1237120.50,116.82
66,21,11,1237120.50,116.82
67,21,12,1237120.50,116.82
68,21,13,1237120.50,116.82
69,21,14,1237120.50,116.82
70,21,15,1237120.50,116.82
71,21,16,1237120.50,116.82
72,21,17,1237120.50,116.82
73,21,18,1237120.50,116.82
74,22,3,1237120.50,116.82
75,22,4,1237120.50,116.82
76,22,7,1237120.50,116.82
77,22,8,1237120.50,116.82
78,22,9,1237120.50,116.82
79,22,10,1237120.50,116.82
80,22,11,1237120.50,116.82
81,22,12,1237120.50,116.82
82,22,13,1237120.50,116.82
83,22,14,1237120.50,116.82
84,22,15,1237120.50,116.82
85,22,16,1237120.50,116.82
86,22,17,1237120.50,116.82
87,22,18,1237120.50,116.82
88,22,19,1237120.50,116.82
89,23,2,1237120.50,116.82
90,23,3,1237120.50,116.82
