#,P:N1,P:N2,净利润,年化收益率%
1*,14,2,3057937.42,235.82
2,15,3,2959678.69,225.07
3,9,2,2840407.50,222.96
4,11,12,2756449.00,204.83
5,12,15,2666165.25,203.94
6,16,15,2666165.25,203.94
7,4,3,2646779.40,234.14
8,17,10,2563341.90,198.41
9,2,15,2542352.40,196.79
10,2,16,2542352.40,196.79
11,3,15,2542352.40,196.79
12,3,16,2542352.40,196.79
13,4,15,2542352.40,196.79
14,6,16,2542352.40,196.79
15,7,15,2542352.40,196.79
16,7,16,2542352.40,196.79
17,8,15,2542352.40,196.79
18,8,16,2542352.40,196.79
19,9,15,2542352.40,196.79
20,9,16,2542352.40,196.79
21,10,15,2542352.40,196.79
22,10,16,2542352.40,196.79
23,11,15,2542352.40,196.79
24,11,16,2542352.40,196.79
25,17,15,2542352.40,196.79
26,17,16,2542352.40,196.79
27,13,14,2535809.44,192.84
28,15,13,2532392.44,192.58
29,15,14,2532392.44,192.58
30,17,7,2529758.70,195.81
31,17,5,2487779.70,192.56
32,17,6,2487779.70,192.56
33,7,4,2475173.40,191.59
34,12,14,2424036.38,185.42
35,16,13,2424036.38,185.42
36,16,14,2424036.38,185.42
37,10,4,2418669.35,188.34
38,19,10,2416567.83,189.31
39,10,6,2410194.94,186.56
40,5,15,2395828.20,187.68
41,5,16,2395828.20,187.68
42,6,15,2395828.20,187.68
43,13,16,2395828.20,187.68
44,14,15,2395828.20,187.68
45,18,15,2395828.20,187.68
46,18,16,2395828.20,187.68
47,19,15,2395828.20,187.68
48,19,16,2395828.20,187.68
49,17,11,2395425.90,185.42
50,19,7,2383384.42,186.71
51,10,5,2365134.68,184.17
52,14,13,2346370.65,180.54
53,19,6,2341905.17,183.46
54,11,4,2333601.02,182.81
55,9,5,2331651.43,181.56
56,4,16,2322833.29,179.80
57,13,10,2319468.94,182.80
58,14,10,2319468.94,182.80
59,15,10,2319468.94,182.80
60,16,10,2319468.94,182.80
61,8,14,2303072.10,178.27
62,9,14,2303072.10,178.27
63,17,12,2303072.10,178.27
64,17,14,2303072.10,178.27
65,4,5,2298918.09,203.37
66,7,13,2290465.80,177.29
67,8,13,2290465.80,177.29
68,4,14,2289730.73,177.23
69,16,7,2286485.44,180.20
70,7,3,2285828.94,227.37
71,12,13,2285431.42,174.82
72,3,14,2276324.02,176.20
73,7,14,2269870.31,175.70
74,8,12,2267066.05,175.48
75,9,12,2267066.05,175.48
76,19,11,2250650.83,176.31
77,14,9,2224641.38,175.33
78,15,8,2224641.38,175.33
79,15,9,2224641.38,175.33
80,16,8,2224641.38,175.33
81,16,9,2224641.38,175.33
82,10,14,2212807.09,171.28
83,11,14,2212807.09,171.28
84,3,13,2163548.55,169.49
85,4,13,2163548.55,169.49
86,5,13,2163548.55,169.49
87,6,13,2163548.55,169.49
88,9,13,2159396.48,169.16
89,10,13,2159396.48,169.16
90,19,12,2159396.48,169.16
91,19,13,2159396.48,169.16
92,19,14,2159396.48,169.16
93,13,11,2154551.44,169.80
94,14,11,2154551.44,169.80
95,15,11,2154551.44,169.80
96,16,11,2154551.44,169.80
97,6,14,2139476.32,167.60
98,10,12,2135996.73,167.33
99,5,14,2122868.02,166.30
100,42,2,2118719.50,177.96
101,8,11,2097668.44,165.32
102,7,12,2063846.81,162.65
103,13,12,2063846.81,162.65
104,14,12,2063846.81,162.65
105,15,12,2063846.81,162.65
106,16,12,2063846.81,162.65
107,12,16,2056549.24,161.10
108,30,11,2008317.08,164.25
109,31,11,2008317.08,164.25
110,4,12,2006963.81,158.17
111,6,12,2006963.81,158.17
112,23,20,2001503.70,161.66
113,24,21,2001503.70,161.66
114,26,21,2001503.70,161.66
115,9,6,1997797.04,167.61
116,13,15,1987738.50,155.71
117,11,13,1950772.31,152.82
118,2,13,1942698.15,152.18
119,28,13,1873234.65,153.20
120,29,13,1873234.65,153.20
121,30,13,1873234.65,153.20
122,24,20,1869261.64,152.88
123,25,21,1869261.64,152.88
124,27,21,1869261.64,152.88
125,28,14,1869261.64,152.88
126,2,5,1868784.94,164.92
127,2,17,1865284.65,152.55
128,3,17,1865284.65,152.55
129,4,17,1865284.65,152.55
130,5,17,1865284.65,152.55
131,6,17,1865284.65,152.55
132,7,17,1865284.65,152.55
133,8,17,1865284.65,152.55
134,9,17,1865284.65,152.55
135,10,17,1865284.65,152.55
136,11,17,1865284.65,152.55
137,12,17,1865284.65,152.55
138,14,16,1865284.65,152.55
139,23,16,1865284.65,152.55
140,23,17,1865284.65,152.55
141,24,15,1865284.65,152.55
142,24,16,1865284.65,152.55
143,24,17,1865284.65,152.55
144,25,14,1865284.65,152.55
145,25,15,1865284.65,152.55
146,25,16,1865284.65,152.55
147,25,17,1865284.65,152.55
148,27,16,1865284.65,152.55
149,27,17,1865284.65,152.55
150,28,17,1865284.65,152.55
151,29,16,1865284.65,152.55
152,29,17,1865284.65,152.55
153,2,14,1863639.03,144.25
154,29,12,1833504.52,149.95
155,30,12,1833504.52,149.95
156,31,12,1833504.52,149.95
157,9,11,1814128.60,140.42
158,20,21,1794273.68,147.67
159,22,21,1794273.68,147.67
160,23,21,1794273.68,147.67
161,11,24,1770561.83,145.72
162,16,23,1770561.83,145.72
163,16,24,1770561.83,145.72
164,17,23,1770561.83,145.72
165,20,23,1770561.83,145.72
166,44,13,1770561.83,145.72
167,44,14,1770561.83,145.72
168,44,24,1770561.83,145.72
169,44,11,1754769.73,144.42
170,44,12,1754769.73,144.42
171,10,2,1748044.35,145.71
172,17,24,1716159.15,142.14
173,18,23,1716159.15,142.14
174,18,24,1716159.15,142.14
175,21,23,1716159.15,142.14
176,21,24,1716159.15,142.14
177,22,23,1716159.15,142.14
178,11,23,1708305.23,141.49
179,12,22,1708305.23,141.49
180,12,23,1708305.23,141.49
181,41,23,1708305.23,141.49
182,42,20,1708305.23,141.49
183,42,21,1708305.23,141.49
184,42,22,1708305.23,141.49
185,42,23,1708305.23,141.49
186,43,14,1708305.23,141.49
187,43,15,1708305.23,141.49
188,43,16,1708305.23,141.49
189,43,17,1708305.23,141.49
190,43,18,1708305.23,141.49
191,43,19,1708305.23,141.49
192,43,20,1708305.23,141.49
193,19,23,1700451.30,140.84
194,19,24,1692597.38,140.19
195,22,24,1692597.38,140.19
196,23,24,1692597.38,140.19
197,12,24,1688670.41,139.87
198,13,24,1688670.41,139.87
199,14,24,1688670.41,139.87
200,15,18,1688670.41,139.87
201,15,22,1688670.41,139.87
202,15,23,1688670.41,139.87
203,15,24,1688670.41,139.87
204,16,17,1688670.41,139.87
205,16,18,1688670.41,139.87
206,16,22,1688670.41,139.87
207,25,24,1688670.41,139.87
208,26,24,1688670.41,139.87
209,27,24,1688670.41,139.87
210,28,24,1688670.41,139.87
211,29,24,1688670.41,139.87
212,30,24,1688670.41,139.87
213,31,24,1688670.41,139.87
214,32,24,1688670.41,139.87
215,33,24,1688670.41,139.87
216,34,24,1688670.41,139.87
217,35,24,1688670.41,139.87
218,36,24,1688670.41,139.87
219,37,24,1688670.41,139.87
220,38,24,1688670.41,139.87
221,39,24,1688670.41,139.87
222,40,24,1688670.41,139.87
223,41,24,1688670.41,139.87
224,42,24,1688670.41,139.87
225,43,12,1688670.41,139.87
226,43,24,1688670.41,139.87
227,13,22,1674012.60,139.54
228,13,23,1674012.60,139.54
229,30,17,1670110.65,139.22
230,30,18,1670110.65,139.22
231,31,16,1670110.65,139.22
232,31,17,1670110.65,139.22
233,32,16,1670110.65,139.22
234,33,15,1670110.65,139.22
235,33,16,1670110.65,139.22
236,34,14,1670110.65,139.22
237,34,15,1670110.65,139.22
238,35,12,1670110.65,139.22
239,35,13,1670110.65,139.22
240,35,14,1670110.65,139.22
241,35,15,1670110.65,139.22
242,36,11,1670110.65,139.22
243,36,12,1670110.65,139.22
244,37,10,1670110.65,139.22
245,20,24,1662306.75,138.57
246,2,20,1646698.95,137.27
247,2,23,1642797.00,136.94
248,6,21,1642797.00,136.94
249,6,22,1642797.00,136.94
250,6,23,1642797.00,136.94
251,14,22,1642797.00,136.94
252,14,23,1642797.00,136.94
253,43,21,1642797.00,136.94
254,43,22,1642797.00,136.94
255,43,23,1642797.00,136.94
256,44,15,1642797.00,136.94
257,44,16,1642797.00,136.94
258,44,17,1642797.00,136.94
259,44,18,1642797.00,136.94
260,44,19,1642797.00,136.94
261,44,20,1642797.00,136.94
262,44,21,1642797.00,136.94
263,44,22,1642797.00,136.94
264,44,23,1642797.00,136.94
265,45,15,1642797.00,136.94
266,45,16,1642797.00,136.94
267,45,17,1642797.00,136.94
268,45,18,1642797.00,136.94
269,45,19,1642797.00,136.94
270,45,20,1642797.00,136.94
271,45,21,1642797.00,136.94
272,2,18,1634993.10,136.29
273,3,18,1634993.10,136.29
274,4,18,1634993.10,136.29
275,5,18,1634993.10,136.29
276,6,18,1634993.10,136.29
277,7,18,1634993.10,136.29
278,8,18,1634993.10,136.29
279,9,18,1634993.10,136.29
280,10,18,1634993.10,136.29
281,11,18,1634993.10,136.29
282,12,18,1634993.10,136.29
283,13,18,1634993.10,136.29
284,14,18,1634993.10,136.29
285,10,21,1631091.15,135.96
286,11,21,1631091.15,135.96
287,12,21,1631091.15,135.96
288,13,21,1631091.15,135.96
289,14,21,1631091.15,135.96
290,15,21,1631091.15,135.96
291,16,21,1631091.15,135.96
292,17,21,1631091.15,135.96
293,18,21,1631091.15,135.96
294,19,20,1631091.15,135.96
295,19,21,1631091.15,135.96
296,21,20,1631091.15,135.96
297,29,21,1627189.20,135.64
298,31,21,1627189.20,135.64
299,31,22,1627189.20,135.64
300,32,21,1627189.20,135.64
301,33,21,1627189.20,135.64
302,34,21,1627189.20,135.64
