P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.47,10,4106713.28,182.75,2.3733
0.42,9,4089137.93,181.96,2.1117
0.43,9,4089137.93,181.96,2.1117
0.44,9,4089137.93,181.96,2.1117
0.45,9,4089137.93,181.96,2.1117
0.46,9,4089137.93,181.96,2.1117
0.47,8,4089137.93,181.96,2.1117
0.47,9,4089137.93,181.96,2.1117
0.51,9,4086096.03,181.83,2.275
0.52,9,4086096.03,181.83,2.275
0.36,12,4225011.35,179.85,2.5406
0.37,12,4225011.35,179.85,2.5406
0.38,12,4225011.35,179.85,2.5406
0.39,12,4225011.35,179.85,2.5406
0.4,12,4225011.35,179.85,2.5406
0.53,10,3930805.38,174.92,2.489
0.54,10,3930805.38,174.92,2.489
0.55,10,3930805.38,174.92,2.489
0.56,10,3930805.38,174.92,2.489
0.57,10,3930805.38,174.92,2.489
0.58,8,3930805.38,174.92,2.489
0.58,9,3930805.38,174.92,2.489
0.58,10,3930805.38,174.92,2.489
0.59,8,3930805.38,174.92,2.489
0.6,8,3930805.38,174.92,2.489
0.61,8,3930805.38,174.92,2.489
0.62,8,3930805.38,174.92,2.489
0.63,8,3930805.38,174.92,2.489
0.64,8,3930805.38,174.92,2.489
0.65,8,3930805.38,174.92,2.489
0.89,6,3800941.63,172.84,2.8206
0.89,7,3800941.63,172.84,2.8206
0.9,6,3800941.63,172.84,2.8206
0.9,7,3800941.63,172.84,2.8206
0.91,6,3800941.63,172.84,2.8206
0.91,7,3800941.63,172.84,2.8206
0.92,6,3800941.63,172.84,2.8206
0.92,7,3800941.63,172.84,2.8206
0.66,7,3877593.33,172.55,2.3462
0.67,7,3877593.33,172.55,2.3462
1.44,3,3454659.73,169.92,2.7178
1.45,3,3454659.73,169.92,2.7178
1.46,3,3454659.73,169.92,2.7178
1.47,3,3454659.73,169.92,2.7178
1.48,3,3454659.73,169.92,2.7178
1.49,3,3454659.73,169.92,2.7178
1.5,3,3454659.73,169.92,2.7178
1.51,3,3454659.73,169.92,2.7178
1.52,3,3454659.73,169.92,2.7178
0.48,9,3814201.15,169.73,2.0652
0.49,9,3814201.15,169.73,2.0652
0.5,9,3814201.15,169.73,2.0652
0.38,11,4009006.55,163.96,2.2779
0.39,11,4009006.55,163.96,2.2779
0.4,11,4009006.55,163.96,2.2779
0.41,11,4009006.55,163.96,2.2779
0.73,2,3671069.57,162.98,1.3417
0.74,2,3671069.57,162.98,1.3417
2.15,2,3652521.9,162.53,2.4467
2.16,2,3652521.9,162.53,2.4467
2.17,2,3652521.9,162.53,2.4467
2.18,2,3652521.9,162.53,2.4467
2.19,2,3652521.9,162.53,2.4467
2.2,2,3652521.9,162.53,2.4467
2.21,2,3652521.9,162.53,2.4467
2.22,2,3652521.9,162.53,2.4467
0.78,7,3526102.78,160.34,2.6106
0.79,7,3526102.78,160.34,2.6106
0.8,7,3526102.78,160.34,2.6106
0.81,6,3526102.78,160.34,2.6106
0.81,7,3526102.78,160.34,2.6106
0.82,6,3526102.78,160.34,2.6106
0.82,7,3526102.78,160.34,2.6106
0.83,6,3526102.78,160.34,2.6106
0.83,7,3526102.78,160.34,2.6106
0.84,6,3526102.78,160.34,2.6106
0.84,7,3526102.78,160.34,2.6106
0.85,6,3526102.78,160.34,2.6106
0.85,7,3526102.78,160.34,2.6106
0.86,6,3526102.78,160.34,2.6106
0.86,7,3526102.78,160.34,2.6106
0.87,6,3526102.78,160.34,2.6106
0.87,7,3526102.78,160.34,2.6106
0.88,6,3526102.78,160.34,2.6106
0.88,7,3526102.78,160.34,2.6106
0.75,2,3576208.9,158.77,1.379
0.76,2,3576208.9,158.77,1.379
0.42,11,3537776.4,157.43,1.8979
0.43,11,3537776.4,157.43,1.8979
0.39,5,3606408.32,157.31,1.5168
0.51,7,3465394.15,157.13,1.8484
0.52,7,3465394.15,157.13,1.8484
0.61,7,3489594.33,155.28,2.0686
0.62,7,3489594.33,155.28,2.0686
0.63,7,3489594.33,155.28,2.0686
0.64,7,3489594.33,155.28,2.0686
0.65,7,3489594.33,155.28,2.0686
0.38,10,3737111.67,152.84,2.082
0.39,10,3737111.67,152.84,2.082
0.4,10,3737111.67,152.84,2.082
0.41,10,3737111.67,152.84,2.082
0.43,5,3420448.2,149.2,1.4018
0.44,5,3420448.2,149.2,1.4018
0.45,5,3420448.2,149.2,1.4018
0.98,5,3226553.65,146.72,2.0811
1,4,3226553.65,146.72,2.0811
1.01,4,3226553.65,146.72,2.0811
1.02,4,3226553.65,146.72,2.0811
0.68,2,3283070.57,145.76,1.1474
0.69,2,3283070.57,145.76,1.1474
0.7,2,3283070.57,145.76,1.1474
0.71,2,3283070.57,145.76,1.1474
0.72,2,3283070.57,145.76,1.1474
0.42,10,3265881.53,145.33,1.6968
0.43,10,3265881.53,145.33,1.6968
0.44,10,3265881.53,145.33,1.6968
0.5,7,3193499.28,144.81,1.6513
