P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.01,1,-37991250.22,-3545.82,-31.8135
0.01,2,-35721557.7,-3211.78,-23.8827
0.01,3,-36505829.48,-3407.18,-29.3928
0.01,4,-33845598.03,-3043.11,-21.9593
0.01,5,-32482120,-3031.64,-24.753
0.01,6,-30283849.07,-2722.87,-20.4671
0.01,7,-32290216.6,-3013.73,-25.1575
0.01,8,-23888772.15,-2147.88,-16.9422
0.01,9,-24739985.43,-2309.04,-21.0816
0.01,10,-25332885.15,-2364.38,-22.3723
0.01,11,-23227833.25,-2167.91,-20.0734
0.01,12,-26161268.82,-2441.7,-21.9516
0.01,13,-23708374.22,-2212.76,-19.4058
0.01,14,-20897944.43,-1950.46,-16.9133
0.01,15,-17814271.8,-1662.65,-14.5588
0.01,16,-17544467.63,-1637.47,-14.679
0.01,17,-16672525.12,-1556.09,-13.8379
0.01,18,-14183967.1,-1323.83,-11.8437
0.01,19,-16309097.08,-1522.17,-14.6669
0.01,20,-16297395.53,-1521.08,-15.1044
0.01,21,-13861828.9,-1293.76,-13.1243
0.01,22,-14928518.03,-1393.32,-13.9631
0.01,23,-12586155.4,-1174.7,-12.274
0.01,24,-11924282.8,-1112.92,-11.7555
0.01,25,-12069101.8,-1126.44,-11.8524
0.01,26,-11613460.85,-1083.91,-11.3575
0.01,27,-11207627.65,-1046.04,-11.0682
0.01,28,-10818321.7,-1009.7,-10.6097
0.01,29,-9937578.9,-927.5,-9.9276
0.01,30,-11795378.58,-1100.89,-12.0276
0.02,1,-37991250.22,-3545.82,-31.8135
0.02,2,-35721557.7,-3211.78,-23.8827
0.02,3,-30482322.95,-2844.99,-23.4975
0.02,4,-26519297.9,-2384.39,-17.9053
0.02,5,-25038036.6,-2336.86,-18.2902
0.02,6,-22839765.68,-2053.56,-15.2042
0.02,7,-24846133.2,-2318.95,-18.5647
0.02,8,-20255063.2,-1821.16,-13.1354
0.02,9,-21641915.8,-2019.89,-17.3767
0.02,10,-21129823.8,-1972.1,-17.3208
0.02,11,-19024771.9,-1775.63,-15.5159
0.02,12,-19668936,-1835.75,-16.0186
0.02,13,-17216041.4,-1606.82,-14.0748
0.02,14,-18470194.7,-1723.87,-15.2837
0.02,15,-15386522.08,-1436.06,-13.0493
0.02,16,-15535109,-1449.93,-12.6097
0.02,17,-14663166.5,-1368.55,-11.8424
0.02,18,-13644239.83,-1273.45,-11.0717
0.02,19,-14574679.88,-1360.29,-12.1713
0.02,20,-14562978.33,-1359.2,-12.4435
0.02,21,-12127411.7,-1131.88,-10.6003
0.02,22,-13194100.83,-1231.44,-11.3847
0.02,23,-11899554.78,-1110.62,-10.6644
0.02,24,-11237682.18,-1048.84,-10.1521
0.02,25,-12069101.8,-1126.44,-11.8524
0.02,26,-12948891.93,-1208.55,-12.921
0.02,27,-12543058.73,-1170.68,-12.6258
0.02,28,-12153752.78,-1134.34,-12.135
0.02,29,-11273009.98,-1052.14,-11.4514
0.02,30,-11795378.58,-1100.89,-12.0276
0.03,1,-32303977.6,-3038.69,-24.6778
0.03,2,-29088055.05,-2615.35,-18.897
0.03,3,-26701740.65,-2492.14,-17.8881
0.03,4,-23696169.7,-2130.56,-15.1916
0.03,5,-23990220.03,-2239.07,-17.3684
0.03,6,-20686957.38,-1860,-13.6812
0.03,7,-22006724.28,-2053.94,-15.4786
0.03,8,-18463470.85,-1660.08,-11.5202
0.03,9,-19850323.45,-1852.68,-15.0225
0.03,10,-20443223.18,-1908.02,-15.8187
0.03,11,-18338171.28,-1711.55,-14.1265
0.03,12,-18982335.38,-1771.67,-14.6039
0.03,13,-16529440.78,-1542.73,-12.7538
0.03,14,-17783594.08,-1659.79,-13.8804
0.03,15,-14699921.45,-1371.98,-11.7106
0.03,16,-15535109,-1449.93,-12.6097
0.03,17,-14663166.5,-1368.55,-11.8424
0.03,18,-13644239.83,-1273.45,-11.0717
0.03,19,-14574679.88,-1360.29,-12.1713
0.03,20,-14562978.33,-1359.2,-12.4435
0.03,21,-12127411.7,-1131.88,-10.6003
0.03,22,-13194100.83,-1231.44,-11.3847
0.03,23,-13234985.85,-1235.25,-12.0701
