#,P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
13609,1.61,1,-15148807.40,-92.04,-1.8219
13610,1.62,1,-15148807.40,-92.04,-1.8219
13611,1.63,1,-15148807.40,-92.04,-1.8219
13612,0.24,14,-15174779.35,-92.20,-1.8555
13613,0.21,21,-15343935.08,-93.22,-1.8984
13614,0.29,11,-15545289.15,-94.45,-1.9751
13615,0.2,26,-15563696.45,-94.56,-1.8285
13616,0.35,7,-15568715.70,-90.07,-1.7537
13617,0.25,13,-15750488.57,-95.69,-1.8821
13618,0.45,5,-15764921.13,-105.90,-1.4251
13619,0.4,7,-15784782.73,-95.90,-2.0180
13620,0.5,4,-15823845.33,-105.81,-1.6762
13621,0.19,35,-15841599.13,-109.16,-2.0301
13622,0.66,4,-15901909.90,-96.61,-1.4252
13623,0.42,6,-16004140.03,-97.23,-2.0368
13624,0.18,40,-16024452.35,-110.42,-2.4811
13625,0.16,38,-16218198.65,-99.50,-1.9624
13626,0.16,39,-16318530.00,-109.11,-2.1546
13627,0.2,24,-16331872.45,-99.23,-1.8871
13628,0.18,41,-16488697.13,-113.62,-2.5651
13629,0.32,8,-16500562.57,-110.33,-1.9403
13630,0.21,24,-16703036.08,-101.48,-1.9681
13631,0.67,3,-16717930.35,-109.34,-1.4946
13632,0.13,50,-16731433.22,-101.65,-2.1575
13633,0.29,10,-16822923.20,-102.21,-2.0753
13634,1.55,1,-16828609.97,-102.24,-1.8267
13635,0.14,48,-16830285.25,-112.54,-1.9859
13636,0.2,25,-16839591.97,-102.31,-1.9297
13637,0.19,40,-16885166.73,-116.36,-2.5006
13638,0.38,7,-16895488.10,-102.65,-2.1302
13639,0.18,39,-16930545.95,-116.67,-2.4858
13640,0.13,49,-16954443.55,-103.01,-2.0902
13641,0.19,39,-16987469.83,-117.06,-2.4666
13642,0.39,7,-17101862.15,-103.90,-2.0958
13643,0.23,15,-17128811.60,-118.03,-2.1118
13644,0.18,36,-17172160.70,-118.33,-2.1891
13645,0.13,47,-17392719.10,-113.86,-2.1629
13646,0.17,36,-17536384.20,-117.26,-2.3041
13647,0.17,41,-17572431.08,-117.50,-2.5831
13648,0.17,40,-17672024.83,-118.16,-2.5110
13649,0.28,11,-17691514.63,-107.49,-2.0317
13650,0.17,38,-17714971.08,-118.45,-2.4239
13651,0.19,36,-17866291.85,-123.12,-2.3539
13652,0.97,2,-17876489.80,-108.61,-1.9203
13653,0.98,2,-17876489.80,-108.61,-1.9203
13654,0.99,2,-17876489.80,-108.61,-1.9203
13655,0.17,50,-17876827.68,-131.13,-2.5987
13656,1,2,-17936963.40,-108.98,-1.9380
13657,1.01,2,-17936963.40,-108.98,-1.9380
13658,0.18,37,-17961825.48,-123.77,-2.4269
13659,0.17,39,-17972761.73,-120.17,-2.4847
13660,0.17,30,-18025732.67,-120.53,-2.1780
13661,0.16,40,-18060919.70,-120.76,-2.3909
13662,0.17,48,-18134565.68,-133.02,-2.6175
13663,0.17,49,-18134565.68,-133.02,-2.6175
13664,0.17,43,-18208381.63,-121.75,-2.5251
13665,0.15,41,-18215532.62,-121.80,-2.1840
13666,0.61,4,-18225035.65,-110.73,-1.7078
13667,0.95,2,-18268784.50,-110.99,-1.9437
13668,0.96,2,-18268784.50,-110.99,-1.9437
13669,0.13,48,-18403412.27,-111.81,-2.2097
13670,0.18,35,-18426381.05,-126.98,-2.3337
13671,0.12,50,-18452759.72,-112.11,-2.1610
13672,0.19,38,-18455180.53,-127.17,-2.6002
13673,0.23,16,-18489706.20,-124.21,-2.0171
13674,0.9,2,-18496885.82,-112.38,-1.9590
13675,0.16,41,-18535968.23,-123.94,-2.4342
13676,0.46,4,-18557050.50,-107.36,-1.6066
13677,0.23,14,-18564096.60,-127.92,-2.2024
13678,0.88,2,-18630999.62,-113.19,-2.0018
13679,0.65,4,-18679269.00,-113.49,-1.6313
13680,0.36,7,-18725069.90,-108.33,-1.9179
