P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.01,1,-28563647.32,-2721.67,-34.4643
0.01,2,-29330509.87,-2667.24,-31.0018
0.01,3,-25557446.07,-2331.85,-26.8639
0.01,4,-27968596.7,-2543.39,-29.1664
0.01,5,-24824705.1,-2265,-24.9482
0.01,6,-26950174.4,-2450.78,-26.8158
0.01,7,-23151359.2,-2112.32,-22.9764
0.01,8,-25223537.3,-2293.77,-24.6576
0.01,9,-22189963.65,-2024.6,-21.4449
0.01,10,-24193246.85,-2200.07,-23.0521
0.01,11,-18398211.05,-1678.65,-15.7782
0.01,12,-20502445.22,-1864.44,-17.1545
0.01,13,-17313735.65,-1579.7,-14.8571
0.01,14,-18964079.8,-1724.55,-15.9699
0.01,15,-15100392.15,-1377.75,-13.2932
0.01,16,-16351770.25,-1491.93,-14.6428
0.01,17,-15593374.3,-1422.73,-13.9895
0.01,18,-15110707.15,-1378.7,-13.6453
0.01,19,-13389644.82,-1221.67,-12.4371
0.01,20,-13120175.65,-1197.08,-12.3257
0.01,21,-12876534.85,-1174.85,-12.0844
0.01,22,-12228447.85,-1115.72,-11.6362
0.01,23,-12552210.8,-1145.26,-12.1903
0.01,24,-11866307,-1082.68,-11.5894
0.01,25,-11614396.85,-1059.69,-11.3952
0.01,26,-10537046.85,-961.4,-10.5118
0.01,27,-10232231.48,-933.59,-10.3018
0.01,28,-9858203.2,-899.46,-9.7223
0.01,29,-8437256.75,-769.81,-8.8085
0.01,30,-8982881.27,-819.6,-8.8976
0.01,31,-7500046.38,-684.3,-8.1334
0.01,32,-7353068.5,-670.89,-7.9594
0.01,33,-6862254.25,-626.11,-7.5637
0.01,34,-4745225.4,-432.95,-5.7859
0.01,35,-5804374.15,-529.59,-6.4608
0.01,36,-3874668,-353.52,-4.81
0.01,37,-4445030.68,-405.56,-5.2346
0.01,38,-2341555.95,-213.64,-3.0677
0.01,39,-2834119.75,-258.58,-3.7891
0.01,40,-3155551,-287.91,-4.2487
0.01,41,-1779357.1,-162.35,-2.5361
0.01,42,-2297531.95,-209.63,-3.1812
0.01,43,-451463.2,-41.19,-0.7549
0.01,44,-1503975.65,-137.22,-2.247
0.01,45,243653.2,22.23,0.3187
0.01,46,-108661.25,-9.91,-0.2323
0.01,47,1133473.7,100.55,1.8393
0.01,48,837633.1,76.43,1.416
0.01,49,-509911.35,-52.53,-2.7235
0.01,50,-537588,0,-2.7019
0.02,1,-28563647.32,-2721.67,-34.4643
0.02,2,-28943987.9,-2632.09,-30.789
0.02,3,-25928782.15,-2365.73,-27.2489
0.02,4,-25029367.35,-2276.11,-21.9747
0.02,5,-21885475.75,-1996.82,-19.053
0.02,6,-23385139.42,-2126.59,-19.6735
0.02,7,-19527415.97,-1781.67,-17.196
0.02,8,-21599594.07,-1964.21,-18.5284
0.02,9,-18786290.82,-1714.05,-16.1403
0.02,10,-20789574.02,-1890.55,-17.4475
0.02,11,-15765359.27,-1438.43,-13.0592
0.02,12,-17869593.45,-1625.02,-14.3245
0.02,13,-14680883.87,-1339.48,-12.2481
0.02,14,-16331228.02,-1485.12,-13.2798
0.02,15,-12467540.37,-1137.53,-10.7924
0.02,16,-13718918.48,-1251.71,-11.9674
0.02,17,-12960522.53,-1182.51,-11.3856
0.02,18,-12477855.37,-1138.48,-11.0636
0.02,19,-10756793.05,-981.45,-9.9178
0.02,20,-10487323.87,-956.86,-9.7904
0.02,21,-10243683.07,-934.63,-9.5734
0.02,22,-9595596.07,-875.5,-9.1391
0.02,23,-10343482.35,-943.74,-9.793
0.02,24,-9657578.55,-881.15,-9.2445
0.02,25,-10502341.35,-958.23,-10.5889
0.02,26,-10537046.85,-961.4,-10.5118
0.02,27,-10232231.48,-933.59,-10.3018
0.02,28,-9232397.57,-842.36,-9.1426
0.02,29,-8437256.75,-769.81,-8.8085
0.02,30,-8982881.27,-819.6,-8.8976
0.02,31,-7500046.38,-684.3,-8.1334
0.02,32,-7353068.5,-670.89,-7.9594
0.02,33,-6862254.25,-626.11,-7.5637
0.02,34,-5276468.53,-481.42,-6.1321
0.02,35,-5804374.15,-529.59,-6.4608
0.02,36,-5242603.05,-478.33,-6.1144
0.02,37,-4445030.68,-405.56,-5.2346
0.02,38,-2341555.95,-213.64,-3.0677
0.02,39,-2834119.75,-258.58,-3.7891
0.02,40,-3155551,-287.91,-4.2487
0.02,41,-1779357.1,-162.35,-2.5361
0.02,42,-2297531.95,-209.63,-3.1812
0.02,43,-451463.2,-41.19,-0.7549
0.02,44,-1503975.65,-137.22,-2.247
0.02,45,243653.2,22.23,0.3187
0.02,46,-108661.25,-9.91,-0.2323
0.02,47,149047.45,13.6,0.1764
0.02,48,837633.1,76.43,1.416
0.02,49,-509911.35,-52.53,-2.7235
0.02,50,-537588,0,-2.7019
0.03,1,-28177125.35,-2570.87,-34.3339
0.03,2,-26004758.55,-2364.81,-23.0385
0.03,3,-22304838.92,-2035.09,-20.096
0.03,4,-20509019.87,-1871.24,-18.4465
0.03,5,-21421032.27,-1954.45,-18.6335
0.03,6,-18604963.77,-1697.51,-15.5198
0.03,7,-17579278.07,-1603.93,-14.6121
0.03,8,-16367298.72,-1493.35,-13.3326
0.03,9,-16617882.52,-1516.21,-13.7022
0.03,10,-18621165.72,-1693.36,-14.9103
0.03,11,-15765359.27,-1438.43,-13.0592
0.03,12,-17869593.45,-1625.02,-14.3245
0.03,13,-14680883.87,-1339.48,-12.2481
0.03,14,-16331228.02,-1485.12,-13.2798
0.03,15,-12467540.37,-1137.53,-10.7924
0.03,16,-13718918.48,-1251.71,-11.9674
0.03,17,-12960522.53,-1182.51,-11.3856
0.03,18,-12477855.37,-1138.48,-11.0636
0.03,19,-10756793.05,-981.45,-9.9178
0.03,20,-10487323.87,-956.86,-9.7904
0.03,21,-10243683.07,-934.63,-9.5734
0.03,22,-9595596.07,-875.5,-9.1391
0.03,23,-10343482.35,-943.74,-9.793
0.03,24,-9657578.55,-881.15,-9.2445
0.03,25,-10502341.35,-958.23,-10.5889
0.03,26,-9384136.45,-856.21,-9.1548
0.03,27,-9514571.2,-868.11,-9.3407
0.03,28,-9232397.57,-842.36,-9.1426
0.03,29,-8437256.75,-769.81,-8.8085
0.03,30,-7703163.98,-702.83,-8.3852
0.03,31,-7500046.38,-684.3,-8.1334
0.03,32,-7353068.5,-670.89,-7.9594
0.03,33,-6862254.25,-626.11,-7.5637
0.03,34,-5624128.15,-513.14,-6.5448
0.03,35,-5804374.15,-529.59,-6.4608
0.03,36,-5242603.05,-478.33,-6.1144
0.03,37,-4445030.68,-405.56,-5.2346
0.03,38,-2341555.95,-213.64,-3.0677
0.03,39,-2834119.75,-258.58,-3.7891
0.03,40,-3155551,-287.91,-4.2487
0.03,41,-1779357.1,-162.35,-2.5361
0.03,42,-2297531.95,-209.63,-3.1812
0.03,43,-451463.2,-41.19,-0.7549
0.03,44,-1503975.65,-137.22,-2.247
