P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.99,5,10155697,123.57,2.5129
1,5,10155697,123.57,2.5129
1.01,5,10155697,123.57,2.5129
1.02,5,10155697,123.57,2.5129
1,4,9892672.1,120.37,2.1276
1.01,4,9892672.1,120.37,2.1276
1.02,4,9892672.1,120.37,2.1276
0.98,4,9817614.15,119.46,2.1483
0.99,4,9817614.15,119.46,2.1483
0.96,4,9545376.2,116.15,2.0992
0.97,4,9545376.2,116.15,2.0992
0.96,5,9341010.7,113.66,2.1489
0.43,8,9328496.72,113.51,1.8806
0.98,5,9309071.08,113.27,2.2384
0.97,5,9036833.13,109.96,2.1768
1.73,1,8967955.13,109.12,1.3202
1.74,1,8967955.13,109.12,1.3202
1.75,1,8967955.13,109.12,1.3202
1.76,1,8967955.13,109.12,1.3202
1.77,1,8967955.13,109.12,1.3202
1.78,1,8967955.13,109.12,1.3202
1.79,1,8967955.13,109.12,1.3202
1.8,1,8967955.13,109.12,1.3202
1.81,1,8967955.13,109.12,1.3202
1.82,1,8967955.13,109.12,1.3202
1.83,1,8967955.13,109.12,1.3202
1.84,1,8967955.13,109.12,1.3202
1.85,1,8967955.13,109.12,1.3202
1.86,1,8967955.13,109.12,1.3202
1.03,4,8899408.85,108.29,2.0296
1.89,1,8830704.92,107.45,1.2092
0.43,7,8807592.7,107.17,1.68
1.03,3,8706567.45,105.94,1.9334
0.52,4,7797841.08,104.42,1.1795
1.69,1,8518642.07,103.65,1.2536
1.7,1,8518642.07,103.65,1.2536
1.71,1,8518642.07,103.65,1.2536
1.72,1,8518642.07,103.65,1.2536
0.93,5,8500954.6,103.44,1.9767
0.94,5,8500954.6,103.44,1.9767
0.95,5,8500954.6,103.44,1.9767
0.51,7,8480531.03,103.19,1.9382
0.52,7,8480531.03,103.19,1.9382
2.24,2,7341328.1,101.32,2.2243
2.25,2,7341328.1,101.32,2.2243
2.26,2,7341328.1,101.32,2.2243
2.27,2,7341328.1,101.32,2.2243
2.28,2,7341328.1,101.32,2.2243
2.29,2,7341328.1,101.32,2.2243
2.3,2,7341328.1,101.32,2.2243
2.31,2,7341328.1,101.32,2.2243
2.32,2,7341328.1,101.32,2.2243
2.33,2,7341328.1,101.32,2.2243
2.34,2,7341328.1,101.32,2.2243
2.35,2,7341328.1,101.32,2.2243
2.36,2,7341328.1,101.32,2.2243
2.37,2,7341328.1,101.32,2.2243
2.38,2,7341328.1,101.32,2.2243
2.39,2,7341328.1,101.32,2.2243
2.4,2,7341328.1,101.32,2.2243
2.41,2,7341328.1,101.32,2.2243
2.42,2,7341328.1,101.32,2.2243
2.43,2,7341328.1,101.32,2.2243
1.3,2,8149239.8,100.13,1.699
1.31,2,8149239.8,100.13,1.699
1.32,2,8149239.8,100.13,1.699
1.33,2,8149239.8,100.13,1.699
1.34,2,8149239.8,100.13,1.699
1.35,2,8149239.8,100.13,1.699
1.36,2,8149239.8,100.13,1.699
1.37,2,8149239.8,100.13,1.699
1.38,2,8149239.8,100.13,1.699
1.39,2,8149239.8,100.13,1.699
1.4,2,8149239.8,100.13,1.699
1.41,2,8149239.8,100.13,1.699
0.5,7,8208636.15,99.88,1.8806
0.56,7,8130459.32,98.93,1.8229
0.53,4,7387878.57,98.93,1.0744
0.54,4,7387878.57,98.93,1.0744
1.2,2,7996073.87,98.25,1.4948
1.21,2,7996073.87,98.25,1.4948
1.22,2,7996073.87,98.25,1.4948
1.23,2,7996073.87,98.25,1.4948
1.24,2,7996073.87,98.25,1.4948
1.25,2,7996073.87,98.25,1.4948
0.45,11,8054588.23,98.01,1.9537
0.46,11,8054588.23,98.01,1.9537
0.47,11,8054588.23,98.01,1.9537
0.42,8,8051468.22,97.97,1.5781
0.91,5,8040573,97.84,1.9083
0.92,5,8040573,97.84,1.9083
0.42,7,8010020.32,97.46,1.5341
1.88,1,7981386.57,97.12,1.0929
0.55,7,7932361.52,96.52,1.7741
0.4,8,7908861.1,96.23,1.3426
0.41,8,7908861.1,96.23,1.3426
0.62,7,7813686.98,95.08,1.7537
0.74,3,7810601.4,95.04,1.1159
2.23,2,6793008.47,93.75,2.0101
1.87,1,7565782.57,92.06,1.0505
0.93,4,7547879.37,91.84,1.5805
0.94,4,7547879.37,91.84,1.5805
0.95,4,7547879.37,91.84,1.5805
1.68,1,7507337.97,91.35,1.1138
1.18,2,7367738.47,90.53,1.3988
1.19,2,7367738.47,90.53,1.3988
2.16,2,6550902.43,90.41,1.7507
2.17,2,6550902.43,90.41,1.7507
2.18,2,6550902.43,90.41,1.7507
2.19,2,6550902.43,90.41,1.7507
2.2,2,6550902.43,90.41,1.7507
2.21,2,6550902.43,90.41,1.7507
2.22,2,6550902.43,90.41,1.7507
0.36,12,7416424.88,90.24,1.6324
0.48,5,7410138.97,90.17,1.2516
1.26,2,7318417.67,89.92,1.4136
1.27,2,7318417.67,89.92,1.4136
1.28,2,7318417.67,89.92,1.4136
1.29,2,7318417.67,89.92,1.4136
0.84,3,7383342.45,89.84,1.3792
0.85,3,7383342.45,89.84,1.3792
0.86,3,7383342.45,89.84,1.3792
0.48,8,7362591.18,89.59,1.7453
0.96,3,7354194.32,89.48,1.6654
0.97,3,7354194.32,89.48,1.6654
0.89,5,7348684.2,89.42,1.7456
0.9,5,7348684.2,89.42,1.7456
0.58,7,7270041.72,88.46,1.6129
0.59,7,7270041.72,88.46,1.6129
0.61,7,7253868.98,88.26,1.6212
1.08,4,7142101.1,87.76,1.9512
0.44,11,7150535.6,87.01,1.7698
0.76,3,7145876.08,86.95,1.104
0.73,5,7109049.82,86.5,1.6982
0.43,6,7092302.53,86.3,0.9257
0.91,4,7087497.77,86.24,1.5241
0.92,4,7087497.77,86.24,1.5241
0.83,5,7078574.32,86.13,1.6881
0.84,5,7078574.32,86.13,1.6881
0.85,5,7078574.32,86.13,1.6881
0.86,5,7078574.32,86.13,1.6881
0.87,5,7078574.32,86.13,1.6881
0.88,5,7078574.32,86.13,1.6881
1.02,3,6968556.93,84.79,1.6757
0.83,3,6897938.47,83.93,1.2733
2.15,2,6065498.45,83.71,1.5358
0.35,9,6878148.63,83.69,1.2222
0.78,5,6841167.18,83.24,1.6291
0.79,5,6841167.18,83.24,1.6291
0.8,5,6841167.18,83.24,1.6291
0.81,5,6841167.18,83.24,1.6291
0.82,5,6841167.18,83.24,1.6291
0.43,9,6814271.55,82.92,1.6401
0.44,9,6814271.55,82.92,1.6401
0.47,8,6814271.55,82.92,1.6401
0.75,3,6757865.38,82.23,1.0368
0.48,10,6757755.35,82.23,1.5928
0.72,5,6721050.83,81.78,1.6099
0.51,5,6708836.4,81.63,1.2435
0.52,5,6708836.4,81.63,1.2435
0.47,6,6699720.07,81.52,1.1869
0.48,6,6699720.07,81.52,1.1869
0.42,9,6611461.48,80.45,1.633
0.57,10,6497005.8,79.83,1.7856
0.58,10,6497005.8,79.83,1.7856
0.53,7,6556868.52,79.78,1.6088
0.54,7,6556868.52,79.78,1.6088
1.9,1,6548320.47,79.68,0.9047
1.91,1,6548320.47,79.68,0.9047
1.66,1,6520468.47,79.34,1.0134
1.67,1,6520468.47,79.34,1.0134
1.17,2,6412730.75,78.79,1.2396
0.74,5,6399956.13,77.87,1.5106
0.75,5,6399956.13,77.87,1.5106
0.76,5,6399956.13,77.87,1.5106
0.77,5,6399956.13,77.87,1.5106
0.88,4,6395608.97,77.82,1.3872
0.89,4,6395608.97,77.82,1.3872
0.9,4,6395608.97,77.82,1.3872
0.36,9,6383883.22,77.68,1.1824
0.37,9,6383883.22,77.68,1.1824
0.45,6,6369928.07,77.51,1.1074
0.46,6,6369928.07,77.51,1.1074
0.49,5,6352221.72,77.29,1.2517
1.06,4,6253712.78,76.84,1.6897
1.07,4,6253712.78,76.84,1.6897
0.38,8,6294609.45,76.59,1.071
0.64,5,6276455.92,76.37,1.3322
0.65,5,6276455.92,76.37,1.3322
0.66,5,6276455.92,76.37,1.3322
0.35,12,6264084.02,76.22,1.4902
1.92,1,6248707.22,76.03,0.8635
1.93,1,6248707.22,76.03,0.8635
0.93,3,6224718.32,75.74,1.3598
0.94,3,6224718.32,75.74,1.3598
0.95,3,6224718.32,75.74,1.3598
0.49,7,6201805.15,75.46,1.5145
0.37,12,6193701,75.36,1.4191
0.38,12,6193701,75.36,1.4191
0.82,3,6171609.17,75.1,1.1351
0.44,8,6157337.52,74.92,1.5552
0.98,3,6084981.7,74.04,1.521
0.99,3,6084981.7,74.04,1.521
1,3,6084981.7,74.04,1.521
1.01,3,6084981.7,74.04,1.521
0.38,9,6076410.32,73.94,1.2769
2.12,2,5352049.45,73.86,1.2836
2.13,2,5352049.45,73.86,1.2836
2.14,2,5352049.45,73.86,1.2836
1.14,2,5669061,73.64,0.9306
0.6,7,6047317.85,73.58,1.3929
1.06,3,5984882.7,73.54,1.6223
0.89,7,5928882.45,72.85,1.7649
0.9,7,5928882.45,72.85,1.7649
0.91,7,5928882.45,72.85,1.7649
0.92,7,5928882.45,72.85,1.7649
