P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
1.01,5,9878471.05,71.99,1.1929
1.02,5,9878471.05,71.99,1.1929
0.89,7,9477141.13,69.75,1.5968
0.9,7,9477141.13,69.75,1.5968
0.91,7,9477141.13,69.75,1.5968
1.33,2,9258228.15,68.14,0.9844
1.34,2,9258228.15,68.14,0.9844
0.99,5,9300247.08,67.78,1.072
1,5,9300247.08,67.78,1.072
0.88,7,9202302.28,67.72,1.5585
1.31,2,9134572.27,67.23,0.9657
0.91,5,9098793.93,66.31,1.0485
0.92,5,9098793.93,66.31,1.0485
0.47,11,9060441.65,66.03,0.9398
1.32,2,8928375,65.71,0.9392
1.01,4,8828948.85,64.35,0.9485
1.02,4,8828948.85,64.35,0.9485
0.86,7,8701894.08,64.04,1.3945
0.87,7,8701894.08,64.04,1.3945
0.92,7,8387137.7,61.72,1.3469
0.98,5,8453621.15,61.61,0.9394
0.85,7,8354010.53,61.48,1.3525
0.9,5,8406905.13,61.27,0.9523
2.24,2,7379023.42,61,1.0978
2.25,2,7379023.42,61,1.0978
2.26,2,7379023.42,61,1.0978
2.27,2,7379023.42,61,1.0978
2.28,2,7379023.42,61,1.0978
2.29,2,7379023.42,61,1.0978
2.3,2,7379023.42,61,1.0978
2.31,2,7379023.42,61,1.0978
2.32,2,7379023.42,61,1.0978
2.33,2,7379023.42,61,1.0978
2.34,2,7379023.42,61,1.0978
2.35,2,7379023.42,61,1.0978
2.36,2,7379023.42,61,1.0978
2.37,2,7379023.42,61,1.0978
2.38,2,7379023.42,61,1.0978
0.46,11,8267585.23,60.25,0.8107
1,4,8250724.88,60.13,0.8566
0.97,5,8181383.2,59.63,0.9047
0.98,4,8175666.92,59.58,0.8551
0.99,4,8175666.92,59.58,0.8551
0.57,10,8065621.83,59.36,1.0461
0.58,10,8065621.83,59.36,1.0461
0.89,5,8090856.63,58.97,0.8683
0.96,5,8020151.88,58.45,0.8439
0.8,7,7923595.3,58.31,1.2428
0.81,7,7861489.93,57.86,1.2347
0.82,7,7861489.93,57.86,1.2347
0.83,7,7861489.93,57.86,1.2347
0.84,7,7861489.93,57.86,1.2347
0.62,7,7906925.7,57.63,0.8387
0.72,8,7824317.33,57.58,1.2065
0.45,11,7864190.53,57.31,0.7482
1.03,4,7835685.6,57.11,0.8973
0.86,5,7820746.75,57,0.8345
0.87,5,7820746.75,57,0.8345
0.88,5,7820746.75,57,0.8345
2.23,2,6830703.8,56.46,0.9908
1.03,3,7708870.7,56.18,0.7315
1.08,4,7625925.88,56.12,1.1826
0.89,6,7583993.98,55.81,1.0737
0.9,6,7583993.98,55.81,1.0737
0.91,6,7583993.98,55.81,1.0737
0.78,7,7563395.05,55.66,1.153
0.79,7,7563395.05,55.66,1.153
2.21,2,6588597.75,54.46,0.9016
2.22,2,6588597.75,54.46,0.9016
0.23,33,7441357,54.23,0.7912
0.96,4,7438020.07,54.21,0.7611
0.97,4,7438020.07,54.21,0.7611
0.86,6,7309155.13,53.79,1.0378
0.87,6,7309155.13,53.79,1.0378
0.88,6,7309155.13,53.79,1.0378
0.47,8,7311330,53.29,0.8715
0.92,6,7167800.95,52.75,1.0152
0.71,8,7155112.33,52.66,1.0411
0.74,7,7122184,52.42,1.0707
0.75,7,7122184,52.42,1.0707
0.76,7,7122184,52.42,1.0707
0.77,7,7122184,52.42,1.0707
0.93,5,7180095.78,52.33,0.7445
0.94,5,7180095.78,52.33,0.7445
0.95,5,7180095.78,52.33,0.7445
0.48,8,7080119.28,51.6,0.8019
0.91,4,6994473.22,50.98,0.65
0.92,4,6994473.22,50.98,0.65
1.41,2,6891899.38,50.72,0.6177
1.3,2,6885072.23,50.67,0.5685
2.2,2,6103928.65,50.46,0.7559
0.55,10,6836598.83,50.31,0.835
0.56,10,6836598.83,50.31,0.835
0.51,10,6755013.15,49.71,0.677
1.62,2,6705002.4,49.35,0.7542
0.7,8,6662591.73,49.03,0.9271
0.61,7,6706001.63,48.87,0.6392
0.54,10,6622120.85,48.74,0.8197
0.48,10,6671844.33,48.62,0.5636
0.52,10,6602184.95,48.59,0.6657
1.35,2,6530314.25,48.06,0.5453
1.36,2,6530314.25,48.06,0.5453
1.37,2,6530314.25,48.06,0.5453
1.38,2,6530314.25,48.06,0.5453
1.39,2,6530314.25,48.06,0.5453
1.4,2,6530314.25,48.06,0.5453
1.25,2,6516517.2,47.96,0.482
0.51,8,6477508.58,47.67,0.8327
1.23,2,6369209.72,46.87,0.4511
1.24,2,6369209.72,46.87,0.4511
0.9,4,6302584.42,45.93,0.5652
0.24,32,6266685.75,45.67,0.6805
0.24,33,6266685.75,45.67,0.6805
0.83,5,6229636.75,45.4,0.3972
0.84,5,6229636.75,45.4,0.3972
0.23,32,6227776.3,45.39,0.6733
0.85,5,6194741.72,45.15,0.393
0.52,8,6105841.55,44.94,0.781
1.07,4,6063727.15,44.63,0.8507
1.26,2,6054250.1,44.56,0.4498
1.27,2,6054250.1,44.56,0.4498
1.28,2,6054250.1,44.56,0.4498
