P:N1,P:N2,净利润,年化收益率%,夏普比率
4,13,20605241.52,216.09,1.9188
5,11,19482711.05,209.69,1.8069
17,42,19091793,201.51,1.6091
9,14,18912110.23,200.91,1.7026
10,12,18375694.07,200.41,1.7659
9,42,18738655.85,199.06,1.5946
4,14,18963162.67,198.87,1.764
10,43,18584075.1,198.71,1.5618
9,43,18697635.88,198.63,1.5965
29,11,18968433.22,197.65,2.0042
18,42,18684096.5,197.2,1.5812
29,12,18853293.17,196.45,1.9997
16,43,18718064.63,196.3,1.5771
15,42,18674260.7,195.84,1.5508
15,43,18640474.82,195.48,1.5536
19,42,18380412.1,195.26,1.5714
14,43,18618086.02,195.25,1.5518
21,42,18608448.43,195.15,1.5898
5,10,18079911.33,194.59,1.7875
17,41,18405839.78,194.27,1.5371
27,13,18546372.82,193.26,1.9223
16,42,18418745.43,193.16,1.5336
11,42,18046637.8,192.97,1.5172
10,14,18087157.9,192.14,1.7704
28,12,18409300.48,191.83,1.9447
9,13,18318000.18,190.88,1.6674
20,42,18197168.43,190.83,1.5559
10,41,17824072.97,190.59,1.5271
25,34,18263792.98,190.31,1.6243
13,43,18254799.7,190.22,1.4976
9,41,17902722.5,190.18,1.5437
17,46,17974843.15,189.72,1.5652
12,42,17965602.28,189.62,1.4975
19,45,17846170.38,189.58,1.5503
28,13,18180065.38,189.44,1.9254
20,45,18061189.42,189.41,1.5577
10,42,17712064.05,189.39,1.5127
17,45,17902156.3,188.95,1.5515
13,45,18117867.35,188.79,1.5223
14,42,17989796.05,188.66,1.4875
24,34,18059056.33,188.18,1.5976
18,45,17707845.5,188.11,1.5418
20,43,17928316.05,188.01,1.4911
7,45,17801849.5,187.89,1.5431
18,47,17680360.2,187.82,1.5472
5,14,18138642.68,187.81,1.6959
13,44,18016059.27,187.73,1.5082
14,45,17900625.13,187.72,1.5206
29,13,18013399.25,187.7,1.9168
27,41,17668005.07,187.69,1.505
17,43,17777857.25,187.64,1.4738
10,13,17662749.6,187.63,1.7385
11,41,17534530.3,187.49,1.4861
28,11,17967653.3,187.23,1.8942
17,47,17729502.35,187.13,1.557
22,41,17365725.63,186.91,1.4917
18,46,17565417.65,186.6,1.5342
21,36,17336148.1,186.59,1.5347
21,43,17778313.25,186.44,1.4985
28,14,17879248.45,186.3,1.87
10,44,17388657.27,185.93,1.4797
29,10,17834678.45,185.84,2.0012
29,8,17704096.1,185.66,1.9933
16,48,17589574.23,185.65,1.5467
21,44,17698840.63,185.61,1.5458
20,41,17696554.68,185.58,1.5182
24,33,17688575.35,185.5,1.5633
17,40,17574908.2,185.5,1.4725
21,45,17687570.35,185.49,1.5463
14,44,17663826.03,185.24,1.4933
4,30,17433439.85,185.2,1.4719
12,43,17534619.57,185.07,1.4753
17,50,17408685.05,184.93,1.5115
18,48,17397408.93,184.82,1.4993
3,34,17615812.38,184.74,1.5404
13,46,17692093.75,184.35,1.501
19,47,17342506.23,184.23,1.5289
19,48,17342131.3,184.23,1.495
23,32,17665481.47,184.08,1.5621
12,46,17439053.05,184.06,1.4828
21,41,17549901.13,184.04,1.5203
15,44,17547866.67,184.02,1.5013
27,12,17649596.42,183.91,1.8677
26,34,17644273.6,183.86,1.5886
18,43,17414177.9,183.8,1.4562
28,9,17615221.3,183.55,1.9412
13,48,17498747.48,183.51,1.5072
18,41,17365637.32,183.29,1.4782
22,44,17465227.78,183.16,1.5217
7,44,17350608.32,183.13,1.5009
27,34,17569631.33,183.08,1.5692
25,35,17563523.1,183.01,1.5746
16,46,17445255.68,182.95,1.52
28,34,17521081.7,182.57,1.5526
24,32,17387756.4,182.34,1.5449
30,12,17468640.32,182.03,1.9077
12,49,17331020.8,181.75,1.4997
25,33,17325873.25,181.7,1.551
40,16,17377450.03,181.08,1.6985
26,35,17368929.2,180.99,1.5647
