P:N1,P:N2,净利润,年化收益率%,夏普比率
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,0,0,0
1,7,0,0,0
1,8,0,0,0
1,9,0,0,0
1,10,0,0,0
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1,14,0,0,0
1,15,0,0,0
1,16,0,0,0
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
1,24,0,0,0
1,25,0,0,0
1,26,0,0,0
1,27,0,0,0
1,28,0,0,0
1,29,0,0,0
1,30,0,0,0
1,31,0,0,0
1,32,0,0,0
1,33,0,0,0
1,34,0,0,0
1,35,0,0,0
1,36,0,0,0
1,37,0,0,0
1,38,0,0,0
1,39,0,0,0
1,40,0,0,0
1,41,0,0,0
1,42,0,0,0
1,43,0,0,0
1,44,0,0,0
1,45,0,0,0
1,46,0,0,0
1,47,0,0,0
1,48,0,0,0
1,49,0,0,0
1,50,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,2054196.9,169.4,0.8236
2,4,-325479.15,-26.84,-0.1704
2,5,1263405.02,104.19,0.3929
2,6,-1294615.77,-99.62,-0.7154
2,7,-705904.02,-54.32,-0.3601
2,8,-54502.82,-4.19,-0.1244
2,9,944923.12,72.71,0.3045
2,10,3004051.72,231.16,1.2948
2,11,2500653.65,192.42,1.0725
2,12,3220187.62,247.79,1.3949
2,13,3280534.27,252.44,1.6107
2,14,2967941.8,228.38,1.4875
2,15,1324074.77,101.89,0.7402
2,16,1776233.82,136.68,0.9151
2,17,1299684.08,100.01,0.6403
2,18,1414817.38,108.87,0.6438
2,19,1111788.8,85.55,0.4887
2,20,-435346.33,-33.5,-0.3233
2,21,827343.68,63.66,0.3925
2,22,466954.57,35.93,0.1987
2,23,386810.03,29.76,0.1562
2,24,-43725.8,-3.36,-0.0766
2,25,-158477.95,-12.45,-0.1624
2,26,-76837.15,-6.04,-0.1155
2,27,-527782.52,-41.48,-0.3433
2,28,192680.98,15.14,0.0978
2,29,300158.3,23.59,0.1977
2,30,358928.9,28.21,0.2418
2,31,253719.68,19.94,0.1667
2,32,378189.45,31.04,0.2822
2,33,-478743.68,-43.13,-0.3756
2,34,-906189.05,-83.68,-0.7423
2,35,-1270800.7,-122.96,-1.1966
2,36,-328489.05,-31.78,-0.4127
2,37,-565804.22,-54.75,-0.6817
2,38,-532382.82,-50.31,-0.8646
2,39,-532382.82,-50.31,-1.0498
2,40,112113,11.07,0.369
2,41,0,0,0
2,42,0,0,0
2,43,0,0,0
2,44,0,0,0
2,45,0,0,0
2,46,0,0,0
2,47,0,0,0
2,48,0,0,0
2,49,0,0,0
2,50,0,0,0
3,1,0,0,0
3,2,-9270425.68,-749.2,-3.8163
3,3,0,0,0
3,4,196946.62,16.24,0.0571
3,5,-452898.98,-37.35,-0.238
3,6,-1229291.95,-103.49,-0.4873
3,7,358264.27,27.57,0.1344
3,8,1397138.6,107.51,0.5026
3,9,1467463.35,112.92,0.5058
3,10,2697313.25,207.56,1.0614
3,11,3387563.6,260.67,1.4527
3,12,2333257.33,179.54,0.9533
3,13,1716097,132.05,0.6858
3,14,1105230.45,85.05,0.6011
3,15,-52493.82,-4.04,0.0761
3,16,509391.67,39.2,0.3243
3,17,931430.77,73.2,0.4063
3,18,740385.38,56.97,0.3103
3,19,542463.82,41.74,0.2128
3,20,806181.88,63.36,0.3085
3,21,1342223.15,105.48,0.6799
3,22,969240.35,76.17,0.4821
3,23,145630.93,11.44,0.0559
3,24,248882.52,19.56,0.1179
3,25,-379159.1,-29.8,-0.2275
3,26,-174970.7,-13.75,-0.1096
3,27,-105345.45,-8.28,-0.0583
3,28,393211.75,30.9,0.2526
3,29,361377.68,28.4,0.242
3,30,378519.1,29.75,0.2565
3,31,253719.68,19.94,0.1667
3,32,845672.45,67.9,0.6075
3,33,-333979.18,-30.09,-0.2633
3,34,-680764.9,-62.86,-0.5538
3,35,-1207268.95,-116.81,-1.2236
3,36,-1135032.85,-109.82,-1.167
3,37,-528885.77,-51.17,-0.6427
3,38,-495014.15,-46.78,-0.9989
3,39,-495014.15,-46.78,-0.9989
3,40,130122,12.85,0.4329
3,41,0,0,0
3,42,0,0,0
3,43,0,0,0
3,44,0,0,0
3,45,0,0,0
3,46,0,0,0
3,47,0,0,0
3,48,0,0,0
3,49,0,0,0
3,50,0,0,0
4,1,0,0,0
4,2,-4772195.25,-389.21,-1.9049
4,3,-519469.5,-42.84,-0.349
4,4,0,0,0
4,5,-242918.93,-20.45,-0.1664
4,6,-853926.23,-65.71,-0.3636
4,7,-37888.77,-2.98,-0.1237
4,8,905039.6,69.64,0.2487
4,9,1822339.05,140.23,0.636
4,10,2412275.3,185.62,0.903
4,11,2424441,186.56,0.9976
4,12,2671461.88,205.57,1.1018
4,13,2384503.6,183.49,1.0377
4,14,1686349.53,129.76,0.8471
4,15,2011117.15,154.75,0.9988
4,16,2050919.75,161.18,0.9231
4,17,1374837.43,108.04,0.6283
4,18,22747.32,1.79,-0.0073
4,19,-50116.23,-3.94,-0.0492
4,20,-911527.23,-71.63,-0.562
4,21,90695.23,7.13,0.0314
4,22,-354617.82,-27.87,-0.2065
4,23,-932827.38,-73.31,-0.5445
4,24,-119052.63,-9.36,-0.0825
4,25,258498.63,20.31,0.1481
4,26,32785.82,2.58,0.0153
4,27,-159658.2,-12.55,-0.0978
4,28,461587.63,36.27,0.2881
4,29,437099.88,34.35,0.284
4,30,439548.65,34.54,0.2923
4,31,328641.47,25.83,0.2084
4,32,845672.45,67.9,0.6075
4,33,-333979.18,-30.09,-0.2633
