#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,28,11,36401889.85,276.46,2.1291
2,28,12,36244404.58,275.26,2.1383
3,29,11,36104793.53,274.20,2.1583
4,29,12,35880807.93,272.50,2.1514
5,28,13,35318051.53,268.23,2.0939
6,28,10,35192311.98,267.27,2.1220
7,27,13,35017276.88,265.94,2.0691
8,29,10,34971038.75,265.59,2.1575
9,29,13,34938465.25,265.34,2.0787
10,27,12,34764210.63,264.02,2.0656
11,30,12,34231546.78,259.98,2.0771
12,27,11,34202437.13,259.75,2.0060
13,28,14,34194514.00,259.69,2.0216
14,30,10,34128259.25,259.19,2.1434
15,30,11,33485986.78,254.31,2.0624
16,30,13,33443338.10,253.99,2.0094
17,29,14,33270593.80,252.68,1.9549
18,28,9,33047959.35,250.99,2.0584
19,29,8,33011179.00,250.71,2.0974
20,9,13,32940113.85,251.61,1.8017
21,26,10,32922605.47,250.03,2.0065
22,27,15,32733685.97,248.60,1.9629
23,27,14,32720544.27,248.50,1.9592
24,29,28,32615747.33,247.70,1.6997
25,29,15,32563491.80,247.31,1.9319
26,24,11,32487387.88,246.73,1.9108
27,24,10,32459692.95,246.52,1.9698
28,21,8,32406792.73,247.54,1.9222
29,23,10,32381931.20,245.93,1.9427
30,29,9,32374565.23,245.87,2.0497
31,27,10,32354710.93,245.72,1.9674
32,23,9,32289568.82,245.23,1.9425
33,26,13,32263903.37,245.03,1.9243
34,28,15,32176798.55,244.37,1.9030
35,26,11,32113333.27,243.89,1.9037
36,23,11,32110755.93,243.87,1.8910
37,23,12,32087659.07,243.69,1.8822
38,9,14,32021191.65,249.36,1.7520
39,21,10,31994975.55,242.99,1.9275
40,26,12,31991176.35,242.96,1.9128
41,31,10,31986331.10,242.92,2.0470
42,24,13,31971880.92,242.81,1.8850
43,13,14,31951736.50,242.66,1.7825
44,24,7,31887003.13,242.17,1.9556
45,28,8,31871613.08,242.05,2.0319
46,31,14,31781467.52,241.37,1.9426
47,20,10,31760326.70,241.21,1.9293
48,26,8,31615926.43,240.11,1.9493
49,33,12,31562824.82,239.71,1.9917
50,21,9,31438416.13,240.14,1.8760
51,24,9,31424775.42,238.66,1.9273
52,26,14,31341816.20,238.03,1.8788
53,23,13,31340514.13,238.02,1.8314
54,25,11,31223169.63,237.13,1.8595
55,23,8,31208448.50,237.02,1.8884
56,24,12,31198989.27,236.94,1.8477
57,22,8,31188725.47,238.23,1.8795
58,28,27,31143374.53,236.52,1.6050
59,31,11,31076282.93,236.01,1.9540
60,22,7,31061068.17,237.26,1.9127
61,14,15,31024482.18,235.62,1.7632
62,22,14,31014261.97,235.54,1.7738
63,24,8,31001697.12,235.45,1.8849
64,33,10,30957350.70,235.11,2.0249
65,25,13,30856336.47,234.34,1.8463
66,40,16,30811922.82,235.35,1.8250
67,22,9,30793457.17,235.21,1.8342
68,33,13,30636023.97,232.67,1.9131
69,30,9,30602789.83,232.42,2.0166
70,30,27,30595290.45,232.36,1.6364
71,31,12,30590492.22,232.32,1.9319
72,29,26,30586154.53,238.18,1.6280
73,26,15,30584316.85,232.28,1.8604
74,28,16,30473440.38,231.43,1.7727
75,23,7,30439534.80,232.51,1.8902
76,25,12,30437806.42,231.16,1.8199
77,9,12,30426921.82,236.86,1.7103
78,32,10,30370926.57,230.66,1.9886
79,29,27,30340915.28,230.43,1.6080
80,10,11,30315422.00,235.99,1.7567
81,26,9,30312965.88,230.22,1.9114
82,27,16,30300710.60,230.12,1.7788
83,33,11,30293679.52,230.07,1.9336
84,20,7,30286709.75,231.34,1.8579
85,20,11,30284185.60,230.00,1.8141
86,31,27,30263883.70,229.84,1.6221
87,40,12,30211187.00,229.44,1.8963
88,30,28,30129153.48,228.82,1.6257
89,25,9,30011616.80,227.93,1.8677
90,45,8,29952174.80,227.48,1.9364
91,27,9,29791877.25,226.26,1.8894
92,22,15,29788753.70,226.23,1.7201
93,40,10,29787963.00,226.23,1.9470
94,40,11,29769433.10,226.09,1.8888
95,40,13,29754075.45,227.27,1.8612
96,30,26,29744832.23,233.14,1.5947
97,25,10,29708838.23,225.63,1.8519
98,13,15,29692200.53,225.50,1.7234
99,30,29,29675392.10,226.67,1.5731
100,10,13,29658552.88,230.96,1.7618
