#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,2,4,18982340.77,128.56,1.0548
2,3,6,16754211.93,111.88,0.8802
3,2,3,15980181.14,123.81,0.8852
4,3,8,15238406.94,101.22,0.8298
5,4,6,14545647.77,97.13,0.7759
6,3,5,14302388.42,95.50,0.8073
7,28,49,14270614.89,72.17,0.6121
8,4,7,14170871.35,94.13,0.7805
9,29,49,14159745.45,71.61,0.6092
10,27,46,14139103.55,84.74,0.6262
11,4,5,13974735.39,93.32,0.7885
12,30,46,13790096.39,79.86,0.6125
13,28,46,13752766.03,81.26,0.6185
14,29,46,13749861.45,81.24,0.6165
15,27,45,13684422.14,82.02,0.6115
16,28,50,13681590.36,69.19,0.5984
17,2,8,13583105.21,90.70,0.7408
18,26,46,13434775.97,82.38,0.6150
19,26,44,13361456.21,81.93,0.6041
20,26,45,13343611.58,81.82,0.6032
21,29,48,13329270.14,77.20,0.5995
22,2,5,13308803.92,85.13,0.7752
23,24,50,13281351.53,69.51,0.5743
24,3,7,13280241.87,88.68,0.7112
25,27,44,13273580.85,81.40,0.6032
26,2,6,13255367.77,88.51,0.7138
27,8,7,13235269.17,84.76,0.6955
28,35,36,13193094.49,74.78,0.6195
29,30,45,13162513.58,76.23,0.5946
30,31,45,13157016.45,76.20,0.5945
31,30,47,13124232.16,76.01,0.5927
32,27,49,13119013.26,67.69,0.5874
33,29,45,13093182.55,77.36,0.5972
34,28,45,13012428.72,77.99,0.5928
35,29,47,12950430.47,76.52,0.5913
36,28,47,12937089.01,76.44,0.5912
37,28,44,12913115.16,77.40,0.5901
38,25,45,12887341.35,79.03,0.5967
39,23,50,12787433.65,68.47,0.5643
40,27,43,12774162.17,78.33,0.6069
41,34,40,12624901.37,73.12,0.5944
42,34,35,12617665.14,75.63,0.6090
43,27,48,12458603.98,73.61,0.5785
44,28,48,12458603.98,73.61,0.5785
45,35,40,12423171.15,71.95,0.5919
46,27,47,12414768.28,76.13,0.5779
47,34,41,12409330.44,71.87,0.5916
48,25,46,12392488.65,75.99,0.5533
49,32,36,12355252.42,75.76,0.6068
50,25,49,12325531.09,64.51,0.5433
51,24,49,12306831.93,65.90,0.5444
52,25,48,12254733.15,73.45,0.5479
53,26,48,12254733.15,73.45,0.5479
54,5,6,12240493.72,83.05,0.6390
55,26,47,12176852.11,72.98,0.5449
56,22,50,12173703.92,65.19,0.5405
57,3,4,12146068.26,77.70,0.7074
58,31,36,12134491.52,74.41,0.5976
59,32,43,12119112.24,70.19,0.5782
60,32,42,12088557.97,70.01,0.5769
61,33,42,12002813.25,69.51,0.5779
62,23,49,12000356.68,64.26,0.5358
63,23,48,11972496.97,73.42,0.5411
64,24,48,11972496.97,73.42,0.5411
65,24,47,11967711.31,73.39,0.5399
66,25,47,11865874.66,72.76,0.5372
67,33,36,11723711.67,70.27,0.5785
68,34,39,11657398.93,66.07,0.5478
69,34,36,11655356.55,69.86,0.5755
70,32,41,11650080.09,66.55,0.5506
71,33,39,11645107.20,66.52,0.5477
72,31,41,11621664.06,66.38,0.5498
73,33,35,11561515.95,70.90,0.5749
74,32,35,11542901.20,70.78,0.5740
75,31,33,11539920.12,65.92,0.5209
76,36,37,11537374.13,66.82,0.5776
77,4,8,11513653.80,76.48,0.6014
78,36,38,11513631.11,66.68,0.5632
79,35,38,11479798.79,66.48,0.5475
80,33,40,11472297.28,65.53,0.5430
81,31,42,11198959.88,63.97,0.5356
82,30,39,11171635.87,68.51,0.5290
83,9,5,11164039.68,90.60,0.9398
84,35,39,11155501.01,64.61,0.5404
85,33,41,11155224.40,64.60,0.5370
86,4,49,11126405.27,57.64,0.4871
87,35,37,11076316.44,62.78,0.5414
88,33,37,10978210.95,65.80,0.5429
89,31,32,10953232.52,62.57,0.5052
90,3,49,10935834.55,59.82,0.4879
91,33,34,10907508.63,66.89,0.5448
92,34,38,10814349.33,61.29,0.5128
93,32,37,10810760.57,66.29,0.5366
94,18,48,10675411.61,65.46,0.4699
95,6,23,10667557.91,73.96,0.5323
96,6,50,10661021.35,58.82,0.4875
97,24,23,10621639.47,71.93,0.6467
98,31,39,10611033.35,63.60,0.5098
99,21,46,10592390.59,64.95,0.4656
100,14,17,10571606.98,75.08,0.5910
