#,P:N1,P:N2,净利润,年化收益率%
1*,4,7,28897984.90,167.46
2,6,13,28150095.82,157.50
3,4,8,28141656.90,163.08
4,8,9,27541505.80,157.83
5,3,11,27523702.65,163.12
6,9,11,27378817.13,157.11
7,4,9,27135326.33,157.61
8,3,14,27089645.20,160.55
9,5,10,26406738.02,154.52
10,2,7,25969817.35,151.18
11,15,14,25625737.28,148.96
12,4,14,25570090.88,146.73
13,2,15,25332608.42,143.53
14,3,8,25158668.45,147.21
15,15,13,25097353.73,145.89
16,4,13,25077326.50,142.08
17,3,13,24993159.60,148.13
18,5,12,24947148.15,143.16
19,3,12,24877664.83,147.44
20,4,15,24851902.42,142.61
21,4,11,24757406.75,141.88
22,7,8,24675183.58,142.99
23,14,13,24597763.18,145.78
24,4,10,24525970.30,143.51
25,9,10,24484511.40,136.99
26,4,5,24391087.42,144.56
27,3,10,23982151.60,142.13
28,5,14,23870434.62,136.98
29,3,7,23810796.43,136.16
30,5,13,23794801.60,136.54
31,4,6,23765614.87,135.90
32,3,9,23757882.78,139.02
33,2,5,23604659.82,141.12
34,5,7,23600534.65,138.10
35,4,12,23437452.60,138.91
36,10,11,23407451.15,137.79
37,8,10,23264804.58,130.17
38,13,12,23145994.25,131.14
39,5,8,22984678.97,134.49
40,6,7,22916225.50,132.80
41,2,10,22915051.50,135.81
42,11,12,22752489.48,131.87
43,2,12,22682702.98,134.43
44,15,10,22667424.05,134.34
45,5,9,22641509.85,132.48
46,6,14,22632141.20,126.63
47,2,11,22631770.68,134.13
48,10,12,22577168.40,130.85
49,3,6,22536833.55,133.57
50,16,12,22489372.27,130.73
51,2,14,22469700.37,136.11
52,4,16,22250044.35,127.68
53,6,8,21965761.78,127.29
54,16,11,21911164.88,129.86
55,8,11,21789712.53,121.91
56,2,16,21720683.85,123.06
57,7,11,21701418.28,121.42
58,2,6,21660083.45,126.09
59,2,8,21572665.23,127.85
60,16,15,21567427.75,123.76
61,8,13,21546887.38,127.56
62,6,12,21520762.60,123.49
63,6,15,21449946.20,120.01
64,12,13,21414558.97,122.89
65,2,9,21410488.40,126.89
66,7,13,21399117.65,119.73
67,7,10,21151511.50,121.38
68,3,16,20996141.70,120.48
69,6,11,20960920.88,120.28
70,5,11,20921538.10,119.90
71,17,15,20910089.48,119.99
72,3,5,20882034.75,123.76
73,16,14,20868346.83,119.75
74,17,13,20837518.30,119.57
75,16,10,20824727.35,123.42
76,3,15,20487280.55,116.08
77,16,13,20418992.47,117.17
78,17,16,20415140.88,115.67
79,7,14,20346121.38,113.84
80,7,12,20277180.13,113.45
81,5,15,20273586.40,116.34
82,2,17,20053618.10,115.08
83,10,13,19968018.85,117.54
84,15,12,19911526.42,115.74
85,2,18,19845685.97,113.88
86,3,17,19777328.97,113.49
87,14,12,19700208.70,116.76
88,7,9,19665055.55,116.55
89,2,13,19639470.02,116.40
90,2,4,19625605.15,117.33
91,20,11,19448541.00,111.60
92,17,14,19416316.20,119.15
93,3,4,19383402.75,115.88
94,6,16,19379495.73,108.43
95,21,10,19346551.85,111.02
96,8,12,19287463.93,114.19
97,19,12,19173163.07,110.02
98,9,12,19122059.40,113.21
99,6,10,18977327.15,108.75
100,7,41,18830967.15,110.19
