P:N1,P:N2,净利润,年化收益率%
3,14,29127281.48,188.31
3,11,28527481.15,184.43
6,13,29792343.43,181.82
9,11,28780546.7,180.15
4,8,28280296.58,178.77
4,14,28517322.88,178.51
4,7,27957630.62,176.73
3,13,26995313.63,174.52
5,10,27098260.62,172.96
3,12,26669157.25,172.41
2,15,27846151.67,172.1
8,9,27237884.85,170.27
5,12,27018014.55,169.12
4,15,26798307.75,167.75
4,13,26828424.35,165.81
14,13,25620520.05,165.63
15,13,26072788.63,165.32
4,9,26041012.25,164.99
4,12,25501865.78,164.87
10,11,25640260.8,164.64
5,14,26274509.77,164.47
15,14,25728598.05,163.14
2,14,24670861,163.02
4,11,26043811.93,162.8
4,10,25491568.33,162.71
11,12,25330562.73,160.15
9,10,26152906.65,159.61
4,5,24474615.73,158.23
7,8,24914458.73,157.49
2,7,24665815.33,156.62
5,13,25019203.17,156.61
3,8,24518926.22,156.5
3,10,23826019.38,154.03
3,9,23941897.45,152.82
8,10,24970150.83,152.39
6,7,24068560.63,152.14
2,16,24437393.7,151.03
10,12,23763900.85,150.24
5,8,23486364.93,149.91
5,7,23446370.43,149.65
4,16,23628666.65,147.91
15,10,22860756.07,147.79
8,13,22856979.38,147.61
6,8,23245803.58,146.94
4,6,23490587.48,146.53
2,12,22519291.2,145.59
2,11,22446748.1,145.12
13,12,23461971.23,145
7,11,23681191.05,144.53
6,12,23083121.57,144.49
6,11,23038933.7,144.21
7,10,23022173.63,144.11
5,11,22992404.5,143.73
8,12,22176088.33,143.21
2,5,21825803.55,142.34
2,10,21853325.6,141.28
5,9,22040865.5,140.68
6,14,22994792.02,140.34
3,7,22464713.28,140.13
8,11,22942975.2,140.02
16,12,22041926.25,139.76
16,11,21463718.85,138.76
16,15,22015263.63,137.81
2,13,21316399.35,137.81
3,15,22242942.37,137.47
3,16,21818844.28,136.58
3,6,21117463.5,136.52
2,17,21733739.65,136.04
17,14,20252870.7,135.58
6,15,22147900.53,135.17
16,10,20901054.37,135.12
15,12,21285711.12,134.97
5,15,21514801.73,134.67
2,9,20770057.9,134.28
9,12,20679623.03,133.55
17,13,21331874.38,133.53
14,12,20618625.8,133.3
17,15,21281523.42,133.21
2,8,20587119.28,133.09
10,13,20548300.15,131.94
7,12,21553948.73,131.55
12,13,20993586.82,131.41
16,14,20945104.6,131.11
20,11,20863452,130.6
7,13,21302619.45,130.01
21,10,20740256.4,129.82
2,18,20713117.9,129.66
19,12,20665740.05,129.36
3,17,20588139.23,128.87
7,9,19932121.38,128.86
17,16,20843346.43,128.82
16,13,20550039.15,128.63
18,17,20299399.43,127.07
7,14,20722579.1,126.47
6,10,20053709.55,125.36
6,16,20471432.88,124.94
2,6,19611999.35,124.53
22,14,19912522.52,123.07
20,14,19645531.52,122.97
22,13,19463220.52,120.29
