#,P:N1,P:N2,净利润,年化收益率%
1*,39,14,34832319.88,196.74
2,39,6,34228095.93,198.35
3,39,15,33693820.05,190.31
4,39,16,33457843.48,188.97
5,39,10,33179411.40,175.09
6,39,13,32320761.35,182.55
7,39,17,32190116.33,181.81
8,38,16,31663353.10,178.84
9,39,19,31531578.35,155.00
10,39,18,31207291.58,153.40
11,32,33,30420328.68,152.04
12,38,15,30386628.13,171.63
13,38,6,30326300.45,175.74
14,39,5,30275174.23,175.44
15,39,7,29932151.10,157.96
16,46,15,29768346.00,168.14
17,41,4,29709475.78,172.17
18,34,7,29684688.45,156.65
19,12,15,29612397.27,167.26
20,50,3,29591428.82,181.60
21,9,25,29586195.38,148.74
22,41,5,29384017.68,170.28
23,34,9,29368163.80,154.98
24,7,17,29176168.30,149.47
25,44,15,29059176.77,164.13
26,3,34,29037475.75,142.74
27,46,16,28890094.87,163.18
28,7,18,28820482.80,147.64
29,49,3,28801801.60,176.75
30,34,8,28792462.73,151.94
31,49,7,28745474.85,151.70
32,37,9,28710152.70,151.51
33,39,21,28510886.43,140.15
34,3,33,28444381.43,139.82
35,43,19,28407534.25,139.64
36,34,6,28387408.47,171.96
37,5,30,28386077.35,139.54
38,44,17,28233391.10,159.47
39,31,33,28167087.33,134.23
40,46,4,28154752.70,163.16
41,2,32,28116412.30,140.52
42,9,18,28074874.55,141.14
43,38,17,27953806.18,157.89
44,38,18,27914060.28,137.22
45,40,4,27878527.90,161.56
46,2,31,27862659.78,139.26
47,39,9,27729369.23,146.33
48,37,22,27718432.85,139.35
49,43,20,27717557.30,136.25
50,45,15,27710544.82,156.51
51,46,18,27675819.97,136.05
52,26,27,27618143.80,132.81
53,46,45,27593465.25,135.64
54,46,17,27588158.72,155.82
55,5,15,27565985.65,141.22
56,4,23,27530826.00,139.30
57,45,16,27523766.32,155.46
58,39,20,27486807.65,135.12
59,43,18,27443010.30,134.90
60,10,28,27405881.00,136.97
61,46,3,27374143.10,158.63
62,10,30,27281367.03,131.19
63,2,33,27268348.55,136.29
64,9,46,27239430.52,123.83
65,8,18,27227759.40,136.88
66,37,7,27223993.63,143.67
67,43,5,27208325.00,157.67
68,11,29,27115576.08,127.73
69,11,30,27103075.47,124.81
70,32,16,27048227.85,136.85
71,39,22,27027145.38,132.86
72,33,16,27016181.03,138.40
73,40,36,27014824.23,132.80
74,44,20,27006526.38,132.76
75,44,19,26957520.98,132.51
76,32,34,26931395.95,128.34
77,11,31,26924079.47,123.98
78,3,36,26906757.23,132.26
79,3,37,26891728.35,132.19
80,6,18,26878766.55,137.70
81,44,18,26833516.25,131.90
82,39,8,26773298.90,141.29
83,9,26,26773119.68,134.60
84,28,13,26757239.47,137.07
85,10,16,26752798.87,151.10
86,42,20,26745268.40,131.47
87,40,7,26741166.15,141.12
88,9,32,26727584.62,123.08
89,22,2,26643540.05,162.39
90,39,12,26615621.55,150.33
91,48,7,26589681.88,140.32
92,5,31,26545082.63,130.49
93,37,18,26508406.33,130.31
94,45,17,26483175.35,149.58
95,2,46,26394349.60,121.46
96,10,29,26381647.15,131.85
97,38,20,26375118.18,129.65
98,10,31,26368727.75,121.42
99,5,17,26367497.50,135.08
100,37,6,26349954.48,152.70
