P:N1,P:N2,净利润,年化收益率%
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
2,1,0,0
2,2,0,0
2,3,1730124.85,158.81
2,4,-26910.27,-2.47
2,5,-740632.25,-69.15
2,6,-451958.32,-42.2
2,7,-9421.55,-0.88
2,8,-115437.27,-10.68
2,9,232041.48,21.46
2,10,-382500.45,-35.37
2,11,-199125.45,-18.42
2,12,7959.53,0.74
2,13,-480589.67,-44.45
2,14,-78407.07,-7.08
2,15,224173.52,20.25
2,16,-89265.3,-8.06
2,17,429022.75,37.06
2,18,605990.67,52.35
2,19,520050.73,44.93
2,20,352684.38,30.47
2,21,284081.75,24.54
2,22,1068066.05,92.27
2,23,1057071.55,91.32
2,24,986706.75,85.24
2,25,1308218.5,113.02
2,26,1405134.85,121.39
2,27,1745856.78,150.82
2,28,1582383.8,139.95
2,29,1357571.45,120.07
2,30,1102403.58,97.5
2,31,882747.98,79.98
2,32,340185.18,32.4
2,33,359694.93,34.26
2,34,388959.55,37.05
2,35,1269.97,0.12
2,36,-49601.28,-4.87
2,37,210374.48,20.66
2,38,233130.18,22.89
2,39,279906.78,27.49
2,40,535058.05,52.62
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
3,1,0,0
3,2,-1563832.58,-140.35
3,3,0,0
3,4,-185879.23,-16.68
3,5,-1504537.65,-140.48
3,6,-898198.95,-83.87
3,7,-269559.57,-25.17
3,8,-89089.85,-8.24
3,9,-199322.8,-18.43
3,10,-331933,-30.7
3,11,270826.7,25.05
3,12,280415.65,25.93
3,13,176589.85,16.33
3,14,-597994.35,-54.02
3,15,2652.08,0.24
3,16,-272737.2,-24.64
3,17,-113610.75,-10.26
3,18,95073.03,8.21
3,19,314066.95,27.13
3,20,691277.85,59.72
3,21,664646.88,57.42
3,22,502490.9,43.41
3,23,690502.55,59.65
3,24,624908.77,53.99
3,25,937716.18,81.01
3,26,922007.6,79.65
3,27,1262729.52,109.09
3,28,1103804.28,97.63
3,29,878991.93,77.74
3,30,994549.68,87.96
3,31,774894.07,70.21
3,32,269399.8,25.66
3,33,251841.03,23.99
3,34,255742.98,24.36
3,35,-106583.92,-10.41
3,36,-214833.85,-20.98
3,37,-9073.6,-0.89
3,38,233130.18,22.89
3,39,588284.65,57.85
3,40,535058.05,52.62
3,41,0,0
3,42,0,0
3,43,0,0
3,44,0,0
3,45,0,0
3,46,0,0
3,47,0,0
3,48,0,0
3,49,0,0
3,50,0,0
4,1,0,0
4,2,1447418.7,129.91
4,3,-146230.77,-13.42
4,4,0,0
4,5,-446999.97,-39.54
4,6,106686.75,9.44
4,7,416204.88,36.81
4,8,419088.3,37.07
4,9,172151.47,15.6
4,10,-107804.17,-9.77
4,11,-72851.42,-6.6
4,12,114072.43,10.34
4,13,-8540.4,-0.74
4,14,-435015.9,-37.58
4,15,-241415.85,-20.86
4,16,-67182.5,-5.8
4,17,7901.95,0.68
4,18,163111.47,14.09
4,19,539227.8,46.58
4,20,669401.85,57.83
4,21,891201.72,76.99
4,22,891201.72,76.99
4,23,880207.22,76.04
4,24,735929.4,63.58
4,25,835120.18,72.14
4,26,1005949.55,86.9
4,27,1292844.58,111.69
4,28,1103804.28,97.63
4,29,878991.93,77.74
4,30,994549.68,87.96
4,31,774894.07,70.21
4,32,269399.8,25.66
4,33,251841.03,23.99
4,34,255742.98,24.36
4,35,-218178.1,-21.3
4,36,-324978.75,-31.73
4,37,312440.58,30.68
4,38,283205.2,27.81
4,39,612997,60.28
4,40,612997,60.28
4,41,0,0
4,42,0,0
4,43,0,0
4,44,0,0
4,45,0,0
4,46,0,0
4,47,0,0
4,48,0,0
4,49,0,0
4,50,0,0
5,1,0,0
5,2,-1560799.42,-140.08
5,3,-932619.62,-83.7
5,4,-655570.8,-62.7
5,5,0,0
5,6,-220823.8,-20.42
5,7,-774043.8,-71.59
5,8,-879304.92,-81.32
5,9,-82659.18,-7.64
5,10,-236496.27,-21.93
5,11,-329235.23,-31.19
5,12,-661652.88,-62.68
5,13,-322102.4,-29.1
5,14,-509425.55,-46.02
5,15,-419419.65,-37.89
5,16,-932533.33,-84.24
5,17,20897.13,1.81
5,18,480540.68,41.51
5,19,697646.1,60.27
5,20,982036.35,84.84
5,21,529750.35,45.76
5,22,529750.35,45.76
5,23,343235.73,29.65
5,24,429592.53,37.11
5,25,751104.28,64.89
5,26,848020.63,73.26
5,27,1292844.58,111.69
5,28,1103804.28,97.63
5,29,761600.65,67.36
5,30,877158.4,77.58
5,31,658952.08,59.7
5,32,156356.35,14.89
5,33,138797.58,13.22
5,34,-10974.55,-1.07
5,35,-218178.1,-21.3
5,36,-267600.07,-26.13
5,37,154511.65,15.09
5,38,125276.28,12.23
5,39,111633.1,10.9
5,40,535058.05,52.62
5,41,0,0
5,42,0,0
5,43,0,0
5,44,0,0
5,45,0,0
5,46,0,0
5,47,0,0
5,48,0,0
5,49,0,0
5,50,0,0
6,1,0,0
6,2,969140.82,86.98
6,3,754850,69.29
6,4,967705.03,88.83
6,5,1470254.65,139.2
6,6,0,0
6,7,946484.73,83.71
6,8,-201133,-17.79
6,9,362357.1,32.05
6,10,-190054.03,-17.22
6,11,-440277.6,-39.89
6,12,-700176.55,-60.49
6,13,-800526.7,-69.16
6,14,-318201.58,-27.49
6,15,-322299.53,-27.84
6,16,-283288,-24.47
6,17,99148.82,8.57
6,18,-81011.2,-7
6,19,682558.63,58.97
6,20,1060217.72,91.59
6,21,820629.65,70.89
6,22,419647.5,36.25
6,23,391061.8,33.78
6,24,171621.57,14.83
6,25,493133.32,42.6
6,26,361522.9,31.23
6,27,806346.85,69.66
6,28,618755.82,54.73
6,29,393943.48,34.84
6,30,509501.23,45.06
6,31,291294.9,26.39
6,32,-211300.82,-20.13
6,33,-228859.6,-21.8
6,34,-378631.72,-36.42
6,35,-643556.4,-61.9
6,36,-692228.75,-66.58
6,37,-242380.9,-23.31
6,38,-242380.9,-23.31
6,39,-256024.08,-24.62
6,40,535058.05,52.62
6,41,0,0
6,42,0,0
6,43,0,0
6,44,0,0
6,45,0,0
6,46,0,0
6,47,0,0
6,48,0,0
6,49,0,0
6,50,0,0
7,1,0,0
7,2,94996.13,8.72
7,3,1139060.6,104.55
7,4,248201.93,22.78
7,5,854759.88,79.81
7,6,686619.68,64.11
7,7,0,0
7,8,147249.5,13.02
7,9,241806.18,21.39
7,10,-638059.93,-57.81
7,11,-1043279.68,-94.52
7,12,-613539.2,-55.59
7,13,-173132.2,-14.96
7,14,488204.12,42.18
7,15,584206.2,50.47
7,16,741741.8,64.08
7,17,655469.67,56.63
7,18,1204586.15,104.06
7,19,600117.42,51.84
7,20,841358.35,72.68
7,21,712533.72,61.55
7,22,916642.98,79.19
7,23,966396.43,83.49
7,24,-69870.38,-6.04
7,25,125476.15,10.84
7,26,361522.9,31.23
7,27,806346.85,69.66
7,28,618755.82,54.73
7,29,333223.85,29.47
7,30,352133.3,31.14
7,31,231324.9,20.96
7,32,-269771.58,-25.7
7,33,-287330.35,-27.37
7,34,-436352.85,-41.97
7,35,-643556.4,-61.9
7,36,-692228.75,-66.58
7,37,-242380.9,-23.31
7,38,-242380.9,-23.31
7,39,-256024.08,-24.62
7,40,348841.55,35.23
7,41,0,0
7,42,0,0
7,43,0,0
7,44,0,0
7,45,0,0
7,46,0,0
7,47,0,0
7,48,0,0
7,49,0,0
7,50,0,0
8,1,0,0
8,2,-845204.07,-75.86
8,3,642791.75,59
8,4,1190659.6,109.29
8,5,747873.15,69.83
8,6,565068.6,52.76
8,7,100350.85,9.37
8,8,0,0
8,9,-65653.82,-5.81
8,10,120829.9,11.45
8,11,-234583.53,-20.27
8,12,18350.35,1.59
8,13,1029956.85,88.98
8,14,883037.35,76.28
8,15,903784.63,78.08
8,16,754798.32,65.21
8,17,733808.82,63.39
8,18,1326447.05,114.59
8,19,915761.83,79.11
8,20,942287.77,81.4
8,21,1009042.05,87.17
8,22,482984.7,41.72
8,23,598739.25,51.72
8,24,484496.4,41.85
8,25,111832.98,9.66
8,26,300053.65,25.92
8,27,766388.35,66.21
8,28,504809.6,44.65
8,29,279997.25,24.76
8,30,298906.7,26.44
8,31,178098.3,16.14
8,32,-322998.18,-30.77
8,33,-250901.8,-23.9
8,34,-401073.72,-38.43
8,35,-608277.28,-58.28
8,36,-658099.05,-63.06
8,37,-250779.93,-24.03
8,38,-250779.93,-24.03
8,39,-256024.08,-24.62
8,40,348841.55,35.23
8,41,0,0
8,42,0,0
8,43,0,0
8,44,0,0
8,45,0,0
8,46,0,0
8,47,0,0
8,48,0,0
8,49,0,0
8,50,0,0
9,1,0,0
9,2,950487.38,82.11
9,3,686256.22,61.99
9,4,543539.33,50.27
9,5,-69343.67,-6.41
9,6,3284.5,0.3
9,7,-109473.05,-10.12
9,8,-1663040.27,-153.8
9,9,0,0
9,10,-20482.65,-1.85
9,11,300643.67,27.16
9,12,1034933.5,93.49
9,13,1116013.8,96.41
9,14,800346.02,69.14
9,15,1018902.3,88.02
9,16,1502434.27,129.79
9,17,1323515.85,114.34
9,18,1143534.63,98.79
9,19,1147732.52,99.15
9,20,779200.95,67.31
9,21,785725.13,67.88
9,22,565855.7,48.88
9,23,376239.53,32.5
9,24,323465.93,27.94
9,25,594852.63,51.39
9,26,320814.03,27.71
9,27,807414.6,69.75
9,28,597913.02,52.88
9,29,373100.67,33
9,30,392010.13,34.67
9,31,270052.3,24.47
9,32,-233343.03,-22.23
9,33,-250901.8,-23.9
9,34,-401073.72,-38.43
9,35,-608277.28,-58.28
9,36,-574540.85,-55.05
9,37,-207901.38,-19.92
9,38,-207901.38,-19.92
9,39,-309250.68,-29.63
9,40,322928.6,0
9,41,0,0
9,42,0,0
9,43,0,0
9,44,0,0
9,45,0,0
9,46,0,0
9,47,0,0
9,48,0,0
9,49,0,0
9,50,0,0
10,1,0,0
10,2,1760873.47,152.12
10,3,1126768.25,101.78
10,4,1551059.78,143.45
10,5,328968.05,30.42
10,6,487859.88,45.12
10,7,-131895.17,-12.2
10,8,-1020444.15,-94.37
10,9,-1315710.27,-121.68
10,10,0,0
10,11,1351063.4,122.04
10,12,1138020.15,102.8
10,13,1028990.8,92.95
10,14,1134386.47,98
10,15,1386157.5,119.75
10,16,1272538.87,109.93
10,17,953519.27,82.37
10,18,1259636.78,108.82
10,19,972715.75,84.03
10,20,725149.95,62.64
10,21,785725.13,67.88
10,22,404825.23,34.97
10,23,323012.93,27.9
10,24,270239.33,23.35
10,25,511549.88,44.19
10,26,689105.47,59.53
10,27,807414.6,69.75
10,28,-83994.98,-7.43
10,29,-308807.33,-27.31
10,30,-200842.43,-17.76
10,31,-323899.7,-29.35
10,32,-829493.93,-79.01
10,33,-847052.7,-80.68
10,34,-998324.07,-95.66
10,35,-1205527.63,-115.51
10,36,-1256448.85,-120.39
10,37,-889809.38,-85.26
10,38,-889809.38,-85.26
10,39,-991158.68,-94.97
10,40,322928.6,0
10,41,0,0
10,42,0,0
10,43,0,0
10,44,0,0
10,45,0,0
10,46,0,0
10,47,0,0
10,48,0,0
10,49,0,0
10,50,0,0
11,1,0,0
11,2,-523092.2,-46.27
11,3,-366094.98,-32.38
11,4,-319321.6,-28.24
11,5,426294.55,39.42
11,6,-240162.15,-22.21
11,7,235078.88,21.74
11,8,-223646.62,-20.68
11,9,-321391.22,-29.72
11,10,-514117.47,-47.55
11,11,0,0
11,12,1198871.35,113.58
11,13,1047665.4,99.25
11,14,1195916.13,108.03
11,15,1556185.2,134.44
11,16,1153850.55,99.68
11,17,1111600.43,96.03
11,18,1071720.38,92.58
11,19,993705.25,85.84
11,20,723910.8,62.54
11,21,433586.63,37.46
11,22,351598.63,30.37
11,23,323012.93,27.9
11,24,364492.18,31.49
11,25,-170358.13,-14.72
11,26,7197.47,0.62
11,27,215661.5,18.63
11,28,5060.47,0.45
11,29,-219751.88,-19.44
11,30,-200842.43,-17.76
11,31,-323899.7,-29.35
11,32,-829493.93,-79.01
11,33,-827562.45,-78.82
11,34,-979083.7,-93.81
11,35,-1186287.25,-113.67
11,36,-1237458.35,-118.57
11,37,-880064.25,-84.33
11,38,-880064.25,-84.33
11,39,-991158.68,-94.97
11,40,0,0
11,41,0,0
11,42,0,0
11,43,0,0
11,44,0,0
11,45,0,0
11,46,0,0
11,47,0,0
11,48,0,0
11,49,0,0
11,50,0,0
12,1,0,0
12,2,-2655887.57,-224.22
12,3,-2910580.3,-257.43
12,4,-3575263.05,-316.22
12,5,-51264.3,-4.74
12,6,188506.75,17.43
12,7,-324797.45,-30.04
12,8,-43956.98,-4.07
12,9,-314964.28,-29.13
12,10,-646873.08,-59.82
12,11,-977795.03,-92.63
12,12,0,0
12,13,1207049.08,109.03
12,14,1154517.27,104.29
12,15,1430469.2,123.58
12,16,1132589.93,97.84
12,17,1111600.43,96.03
12,18,976172.63,84.33
12,19,611000.2,52.78
12,20,392645.25,33.92
12,21,268504.13,23.2
12,22,280339.03,24.22
12,23,285776.07,24.69
12,24,-317415.83,-27.42
12,25,-80203.23,-6.93
12,26,97352.38,8.41
12,27,215661.5,18.63
12,28,25300.35,2.24
12,29,-199512,-17.65
12,30,-180602.55,-15.97
12,31,-303909.7,-27.54
12,32,-810003.68,-77.15
12,33,-827562.45,-78.82
12,34,-979083.7,-93.81
12,35,-1382539.08,-132.47
12,36,-1431161.45,-137.13
12,37,-979464.53,-93.85
12,38,-979464.53,-93.85
12,39,-991158.68,-94.97
12,40,0,0
12,41,0,0
12,42,0,0
12,43,0,0
