P:N1,P:N2,净利润,年化收益率%
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
2,1,0,0
2,2,0,0
2,3,759298.3,68.39
2,4,-840056.2,-78.8
2,5,-30792.2,-2.75
2,6,97779.6,8.73
2,7,952525.6,85.03
2,8,910077.93,83.28
2,9,413920.95,38.4
2,10,-1152361,-106.91
2,11,-208548.42,-19.35
2,12,12497.23,1.16
2,13,-2165449.35,-200.89
2,14,-734564.52,-68.15
2,15,-725146.35,-65.5
2,16,6415.5,0.58
2,17,1503045.73,135.67
2,18,1680098.18,154.84
2,19,782509.27,72.12
2,20,998991.3,92.07
2,21,1770368.95,163.16
2,22,1810027.3,163.38
2,23,1139420.6,105.01
2,24,751577.15,69.27
2,25,1354754.72,124.86
2,26,634828.65,53.76
2,27,926501.47,78.47
2,28,1148155.65,97.24
2,29,1630816.63,138.11
2,30,2022372.83,171.27
2,31,1920571.95,162.65
2,32,1319508.75,118.13
2,33,984159.75,90.7
2,34,1188193.13,106.38
2,35,1170684.38,104.81
2,36,582127.43,55.28
2,37,596984.85,56.69
2,38,606889.8,57.63
2,39,601937.32,57.16
2,40,73860.6,0
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
3,1,0,0
3,2,209966.65,19.28
3,3,0,0
3,4,1800470.15,165.31
3,5,1265652.88,112.98
3,6,786942.95,71.08
3,7,933631.93,85.72
3,8,655545.45,60.19
3,9,-1088360.95,-102.44
3,10,842505.33,78.16
3,11,-464797.07,-43.12
3,12,-1311975.72,-121.71
3,13,-2092181.95,-194.09
3,14,-980601.12,-90.97
3,15,-502860.63,-46.34
3,16,-206086.72,-18.99
3,17,242760.95,22.37
3,18,342284.13,30.9
3,19,800880.2,72.29
3,20,1288477.92,116.3
3,21,1622182.8,146.43
3,22,1460674.25,131.85
3,23,1319550.48,119.11
3,24,370698.95,34.16
3,25,1531436.32,129.7
3,26,634828.65,53.76
3,27,720148.35,60.99
3,28,1148155.65,97.24
3,29,1781159.65,150.85
3,30,2022372.83,171.27
3,31,1920571.95,162.65
3,32,1319508.75,118.13
3,33,984159.75,90.7
3,34,1188193.13,106.38
3,35,1047091.2,96.5
3,36,582127.43,55.28
3,37,666319.5,63.27
3,38,677875.28,64.37
3,39,601937.32,57.16
3,40,73860.6,0
3,41,0,0
3,42,0,0
3,43,0,0
3,44,0,0
3,45,0,0
3,46,0,0
3,47,0,0
3,48,0,0
3,49,0,0
3,50,0,0
4,1,0,0
4,2,3877202.85,345.2
4,3,3065714.42,272.95
4,4,0,0
4,5,430956.77,38.47
4,6,-19683.98,-1.81
4,7,1059644.07,97.29
4,8,-665373.63,-61.09
4,9,-757686.92,-71.95
4,10,-790812.52,-73.36
4,11,-398112.22,-36.93
4,12,-1235197.65,-114.51
4,13,-1063318.15,-94.84
4,14,197528.35,18.31
4,15,330204.47,30.61
4,16,381614.35,35.17
4,17,1233055.63,113.64
4,18,1331605.3,122.72
4,19,1945649.13,179.32
4,20,2327234.33,214.48
4,21,2320837.52,213.89
4,22,1416891.03,130.58
4,23,885019.63,81.57
4,24,370698.95,34.16
4,25,1355274.45,114.78
4,26,1142762.02,96.78
4,27,738907.72,62.58
4,28,1203244.65,101.9
4,29,1781159.65,150.85
4,30,1929826.58,163.44
4,31,1920571.95,162.65
4,32,1319508.75,118.13
4,33,984159.75,90.7
4,34,1188193.13,106.38
4,35,1047091.2,96.5
4,36,842989.2,77.69
4,37,666319.5,63.27
4,38,606889.8,57.63
4,39,601937.32,57.16
4,40,73860.6,0
4,41,0,0
4,42,0,0
4,43,0,0
4,44,0,0
4,45,0,0
4,46,0,0
4,47,0,0
4,48,0,0
4,49,0,0
4,50,0,0
5,1,0,0
5,2,-450525.05,-39.06
5,3,4099137.63,375.5
5,4,4085890.23,374.29
5,5,0,0
5,6,-1249520.6,-114.72
5,7,-1365641.97,-121.9
5,8,149012.5,13.68
5,9,-1080782,-102.63
5,10,-1010492.1,-93.74
5,11,-704522.12,-65.31
5,12,-1249121.18,-115.8
5,13,-1900134.57,-169.48
5,14,-784953.32,-72.77
5,15,-622841.12,-57.74
5,16,375378.5,34.8
5,17,1053732.45,97.11
5,18,1619905.33,149.29
5,19,1577082.25,145.35
5,20,1941408.83,178.92
5,21,2550512.92,216
5,22,2690725.05,227.88
5,23,1482511.52,125.55
5,24,889201.37,75.31
5,25,1234466.63,104.55
5,26,948090.9,80.29
5,27,543986.47,46.07
5,28,971993.77,82.32
5,29,1566248.92,132.65
5,30,1929826.58,163.44
5,31,1920571.95,162.65
5,32,1319508.75,118.13
5,33,1103219.25,101.68
5,34,1188193.13,106.38
5,35,1047091.2,96.5
5,36,842989.2,77.69
5,37,666319.5,63.27
5,38,606889.8,57.63
5,39,601937.32,57.16
5,40,73860.6,0
5,41,0,0
5,42,0,0
5,43,0,0
5,44,0,0
5,45,0,0
5,46,0,0
5,47,0,0
5,48,0,0
5,49,0,0
5,50,0,0
6,1,0,0
6,2,2333511.03,210.81
6,3,1103919.48,98.54
6,4,2596206.38,231.75
6,5,1222021.33,109.08
6,6,0,0
6,7,1755238.48,156.68
6,8,760067.83,69.79
6,9,-528312.17,-50.17
6,10,386690.52,34.55
6,11,426943.48,38.15
6,12,-334779.85,-29.91
6,13,-1751826.3,-156.25
6,14,2009216.63,179.53
6,15,2273013.22,203.1
6,16,1794727.52,165.41
6,17,1993240.17,183.7
6,18,1816390.13,167.4
6,19,2358217.2,205.26
6,20,2399900.63,208.89
6,21,2733405.6,237.92
6,22,2690725.05,227.88
6,23,2315774.65,196.12
6,24,978968.87,82.91
6,25,1149421.58,97.34
6,26,760497.15,64.41
6,27,971993.77,82.32
6,28,971993.77,82.32
6,29,1701316.43,144.08
6,30,1929826.58,163.44
6,31,1920571.95,162.65
6,32,1319508.75,118.13
6,33,1103219.25,101.68
6,34,1188193.13,106.38
6,35,1047091.2,96.5
6,36,842989.2,77.69
6,37,666319.5,63.27
6,38,677875.28,64.37
6,39,601937.32,57.16
6,40,73860.6,0
6,41,0,0
6,42,0,0
6,43,0,0
6,44,0,0
6,45,0,0
6,46,0,0
6,47,0,0
6,48,0,0
6,49,0,0
6,50,0,0
7,1,0,0
7,2,-338114.32,-30.18
7,3,558352.22,49.84
7,4,-903702.3,-80.67
7,5,-117515.15,-10.49
7,6,-1824538.38,-162.87
7,7,0,0
7,8,1030474.1,94.61
7,9,931147.92,86.38
7,10,724006.05,67.12
7,11,-728562.95,-67.54
7,12,-998521.3,-92.57
7,13,-1526910.38,-136.19
7,14,-82522.35,-7.65
7,15,981939.25,91.03
7,16,1408157.38,125.82
7,17,1405612.97,129.54
7,18,2174651.65,200.42
7,19,1838199.15,169.41
7,20,2919079.8,247.22
7,21,2931873.4,248.3
7,22,2690725.05,227.88
7,23,2315774.65,196.12
7,24,1621321.38,137.31
7,25,1965085.88,166.42
7,26,1679460.52,142.23
7,27,1560786.73,132.18
7,28,1560786.73,132.18
7,29,1701316.43,144.08
7,30,1929826.58,163.44
7,31,1920571.95,162.65
7,32,1319508.75,118.13
7,33,1103219.25,101.68
7,34,1188193.13,106.38
7,35,866801.1,79.89
7,36,842989.2,77.69
7,37,596984.85,56.69
7,38,606889.8,57.63
7,39,601937.32,57.16
7,40,73860.6,0
7,41,0,0
7,42,0,0
7,43,0,0
7,44,0,0
7,45,0,0
7,46,0,0
7,47,0,0
7,48,0,0
7,49,0,0
7,50,0,0
8,1,0,0
8,2,380505.38,33.97
8,3,2933824.68,261.89
8,4,836536.75,74.67
8,5,1081022.7,96.5
8,6,610332.38,54.48
8,7,2462973.75,219.86
8,8,0,0
8,9,667297.55,61.91
8,10,478363.13,44.35
8,11,-1298251.38,-120.35
8,12,-764552,-70.88
8,13,-1334279.95,-119.01
8,14,1810507.37,167.84
8,15,1717880.7,159.26
8,16,1671174.58,154.02
8,17,2134116.47,180.74
8,18,2412559.13,204.32
8,19,2531297.7,214.37
8,20,2931873.4,248.3
8,21,2931873.4,248.3
8,22,2918338.8,247.15
8,23,2549891.65,215.95
8,24,1808915.13,153.2
8,25,1965085.88,166.42
8,26,1679460.52,142.23
8,27,1790571.77,151.64
8,28,1650042.08,139.74
8,29,1888910.18,159.97
8,30,2022372.83,171.27
8,31,1920571.95,162.65
8,32,1319508.75,118.13
8,33,1103219.25,101.68
8,34,1188193.13,106.38
8,35,866801.1,79.89
8,36,842989.2,77.69
8,37,596984.85,56.69
8,38,606889.8,57.63
8,39,601937.32,57.16
8,40,73860.6,0
8,41,0,0
8,42,0,0
8,43,0,0
8,44,0,0
8,45,0,0
8,46,0,0
8,47,0,0
8,48,0,0
8,49,0,0
8,50,0,0
9,1,0,0
9,2,-1651120.85,-147.39
9,3,1383989.95,123.54
9,4,625055.05,56.46
9,5,14672.78,1.34
9,6,277315.7,25.38
9,7,778451.25,71.23
9,8,550226.58,50.35
9,9,0,0
9,10,-681968.42,-63.27
9,11,-369410.13,-34.27
9,12,-663803.13,-61.54
9,13,818063.57,72.97
9,14,1999643.48,185.38
9,15,1551546.7,142.99
9,16,1534625.45,141.43
9,17,1441139.13,132.82
9,18,1220714.25,112.5
9,19,2857468.5,235.63
9,20,3173695.82,268.78
9,21,3173695.82,268.78
9,22,2918338.8,247.15
9,23,2549891.65,215.95
9,24,1808915.13,153.2
9,25,2147677.13,181.89
9,26,1864553.02,157.91
9,27,1790571.77,151.64
9,28,1837635.83,155.63
9,29,1888910.18,159.97
9,30,2031102.97,172.01
9,31,1920571.95,162.65
9,32,1319508.75,118.13
9,33,1103219.25,101.68
9,34,956946.15,88.19
9,35,866801.1,79.89
9,36,842989.2,77.69
9,37,596984.85,56.69
9,38,606889.8,57.63
9,39,601937.32,57.16
9,40,73860.6,0
9,41,0,0
9,42,0,0
9,43,0,0
9,44,0,0
9,45,0,0
9,46,0,0
9,47,0,0
9,48,0,0
9,49,0,0
9,50,0,0
10,1,0,0
10,2,-393955.68,-35.17
10,3,2073817.83,189.77
10,4,763254.53,69.84
10,5,-1148932.2,-105.49
10,6,-1520987.55,-139.65
10,7,218464.12,19.99
10,8,-558618.3,-51.12
10,9,252696.2,23.12
10,10,0,0
10,11,-1929112.33,-178.97
10,12,1491754.62,138.29
10,13,883868.75,78.84
10,14,1858888.05,171.32
10,15,1429357.83,131.73
10,16,1825446.58,164.77
10,17,1773115.67,160.05
10,18,1784674.75,161.09
10,19,2650687.63,239.26
10,20,3399244.37,287.88
10,21,2752177.75,233.08
10,22,2918338.8,247.15
10,23,2549891.65,215.95
10,24,1808915.13,153.2
10,25,2147677.13,181.89
10,26,1864553.02,157.91
10,27,1655504.27,140.2
10,28,1514974.58,128.3
10,29,1888910.18,159.97
10,30,2031102.97,172.01
10,31,1920571.95,162.65
10,32,1319508.75,118.13
10,33,1103219.25,101.68
10,34,956946.15,88.19
10,35,866801.1,79.89
10,36,842989.2,77.69
10,37,596984.85,56.69
10,38,606889.8,57.63
10,39,601937.32,57.16
10,40,73860.6,0
10,41,0,0
10,42,0,0
10,43,0,0
10,44,0,0
10,45,0,0
10,46,0,0
10,47,0,0
10,48,0,0
10,49,0,0
10,50,0,0
11,1,0,0
11,2,2074753.52,190.4
11,3,1492943.63,137.01
11,4,1908541.7,175.23
11,5,684382.88,62.84
11,6,986731.42,90.6
11,7,2255527.95,207.09
11,8,-363192.48,-33.69
11,9,209636.8,19.73
11,10,1063194.5,100.07
11,11,0,0
11,12,1710819.88,158.6
11,13,1160740.82,103.53
11,14,2072981.95,187.12
11,15,1816295.92,163.95
11,16,1652155.22,149.13
11,17,1105203.23,101.86
11,18,1770274.73,163.15
11,19,2199444.83,202.71
11,20,2432832.27,224.22
11,21,3156568.07,267.33
11,22,2918338.8,247.15
11,23,2549891.65,215.95
11,24,1808915.13,153.2
11,25,2147677.13,181.89
11,26,1864553.02,157.91
11,27,1843098.02,156.09
11,28,1514974.58,128.3
11,29,1701316.43,144.08
11,30,1853414.18,156.97
11,31,1920571.95,162.65
11,32,1319508.75,118.13
11,33,1103219.25,101.68
11,34,1188193.13,106.38
11,35,1047091.2,96.5
11,36,842989.2,77.69
11,37,596984.85,56.69
11,38,606889.8,57.63
11,39,601937.32,57.16
11,40,73860.6,0
11,41,0,0
11,42,0,0
11,43,0,0
11,44,0,0
11,45,0,0
11,46,0,0
11,47,0,0
11,48,0,0
11,49,0,0
11,50,0,0
12,1,0,0
12,2,-408149.85,-36.43
12,3,1013536.1,90.47
12,4,2519420.65,224.89
12,5,927047.52,82.75
12,6,-171816.85,-15.34
12,7,1272950.85,116.88
12,8,272297.98,25.26
12,9,973954.63,87.98
12,10,495386.45,46.63
12,11,420154.28,39.55
12,12,0,0
12,13,1528322.15,136.32
12,14,1911762.6,172.56
12,15,1788252.52,164.81
12,16,1624710.37,149.74
12,17,1719494.48,158.47
12,18,2193366.52,202.15
12,19,1979204.88,182.41
12,20,2053212.03,189.23
12,21,2912406.25,246.65
12,22,2369681.93,200.69
12,23,2549891.65,215.95
12,24,1808915.13,153.2
12,25,2147677.13,181.89
12,26,1864553.02,157.91
12,27,1843098.02,156.09
12,28,1702568.33,144.19
12,29,1566248.92,132.65
12,30,2022372.83,171.27
12,31,1920571.95,162.65
12,32,1319508.75,118.13
12,33,1103219.25,101.68
12,34,1188193.13,106.38
12,35,1047091.2,96.5
12,36,842989.2,77.69
12,37,596984.85,56.69
12,38,606889.8,57.63
12,39,601937.32,57.16
12,40,73860.6,0
12,41,0,0
12,42,0,0
12,43,0,0
12,44,0,0
12,45,0,0
12,46,0,0
