#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,9,10,6865268.54,557.43,3.9793
2,25,7,6713677.14,542.95,4.1014
3,25,8,6713677.14,542.95,4.1014
4,8,13,6566832.93,531.08,3.8125
5,7,13,6553846.51,532.15,4.0311
6,26,8,6518960.82,533.58,3.9714
7,6,13,6509555.57,528.55,3.8161
8,11,12,6495107.00,525.28,3.7877
9,12,13,6423054.39,521.53,4.1189
10,41,2,6397883.00,479.23,3.8611
11,41,3,6397883.00,479.23,3.8611
12,41,4,6397883.00,479.23,3.8611
13,10,13,6394825.80,517.17,3.7736
14,6,14,6365817.07,516.88,4.0441
15,7,12,6351772.87,515.74,3.9155
16,38,2,6339662.84,474.87,3.7845
17,39,2,6339662.84,474.87,3.7845
18,39,3,6339662.84,474.87,3.7845
19,8,11,6325937.62,511.59,3.6611
20,11,13,6303233.89,509.76,3.7651
21,42,4,6298455.31,471.78,3.8119
22,42,5,6298455.31,471.78,3.8119
23,42,8,6298455.31,471.78,3.8119
24,43,4,6298455.31,471.78,3.8119
25,43,5,6298455.31,471.78,3.8119
26,43,6,6298455.31,471.78,3.8119
27,11,14,6277541.59,507.68,4.0400
28,9,14,6267596.70,506.88,4.0187
29,9,13,6220087.12,503.03,3.8262
30,4,13,6218188.60,506.92,3.7613
31,10,12,6211486.05,502.34,3.6186
32,5,14,6201756.58,503.56,3.6893
33,13,14,6115448.47,494.57,3.8673
34,7,14,6084431.30,492.06,3.8486
35,4,12,6049088.06,493.13,3.5734
36,10,14,6038861.82,488.38,3.8254
37,12,14,6005586.06,485.69,3.8032
38,6,2,5982211.88,530.28,3.4358
39,6,10,5974964.96,485.14,3.5762
40,40,3,5934791.81,487.73,3.5714
41,40,4,5934791.81,487.73,3.5714
42,40,5,5934791.81,487.73,3.5714
43,40,6,5934791.81,487.73,3.5714
44,40,7,5934791.81,487.73,3.5714
45,40,8,5934791.81,487.73,3.5714
46,6,15,5927112.00,481.26,3.7685
47,40,9,5926657.74,487.07,3.5758
48,5,13,5912641.18,482.01,3.5153
49,11,15,5907461.81,477.75,3.8149
50,8,15,5897986.82,476.99,3.7946
51,8,12,5890026.39,476.34,3.4161
52,10,11,5857420.87,473.70,3.4508
53,5,11,5847095.69,476.67,3.5227
54,6,11,5818974.07,472.48,3.4970
55,5,16,5816827.65,472.30,3.6843
56,5,12,5806575.77,473.36,3.4975
57,14,15,5783814.24,467.75,3.7191
58,39,4,5753133.39,472.81,3.3957
59,39,5,5753133.39,472.81,3.3957
60,39,6,5753133.39,472.81,3.3957
61,39,7,5753133.39,472.81,3.3957
62,39,8,5753133.39,472.81,3.3957
63,39,9,5744999.32,472.14,3.3991
64,38,3,5737571.17,471.53,3.3860
65,38,6,5737571.17,471.53,3.3860
66,38,7,5737571.17,471.53,3.3860
67,38,8,5737571.17,471.53,3.3860
68,4,16,5734264.42,467.47,3.6225
69,38,9,5729437.11,470.86,3.3894
70,6,16,5717827.67,462.42,3.6563
71,7,16,5717827.67,462.42,3.6563
72,4,17,5717636.50,466.11,3.6776
73,36,9,5704067.74,468.77,3.3651
74,6,17,5701139.76,461.07,3.7124
75,41,5,5694160.83,467.96,3.4157
76,41,6,5694160.83,467.96,3.4157
77,41,7,5694160.83,467.96,3.4157
78,41,8,5694160.83,467.96,3.4157
79,41,9,5686026.76,467.29,3.4196
80,9,15,5683324.64,459.63,3.6118
81,10,15,5683324.64,459.63,3.6118
82,7,15,5675351.42,458.98,3.5984
83,9,12,5657833.46,457.56,3.3109
84,37,8,5643777.64,463.82,3.3160
85,5,15,5639176.82,457.88,3.5120
86,9,11,5636147.03,455.81,3.2509
87,37,9,5635643.58,463.15,3.3192
88,6,12,5633445.37,457.41,3.2850
89,8,14,5619373.50,454.45,3.3410
90,4,18,5615368.33,457.78,3.6171
