P:N1,P:N2,净利润,年化收益率%,夏普比率
4,35,20977970.56,165.01,1.2415
2,34,20234020.97,158.46,1.122
3,41,23279053.48,157.85,1.3916
3,34,19933170.62,156.79,1.0877
4,33,20162419.78,156.53,1.1297
2,38,21550389.44,156.42,1.2688
4,34,19845412.46,156.1,1.1247
3,38,21462992.63,155.79,1.2382
5,33,19984598.84,155.15,1.1481
2,33,19732527.89,154.53,1.0798
3,42,22771966.65,154.41,1.3605
13,17,19473528.25,153.86,1.1426
2,37,21163514.91,153.61,1.2324
2,40,21143224.99,153.47,1.2333
3,39,22626152.26,153.42,1.3219
2,39,21103443.35,153.18,1.2457
3,40,22526112.61,152.74,1.3132
4,38,22451003.21,152.23,1.3126
2,36,19436281.98,152.21,1.0601
4,36,22133930.67,151.64,1.279
2,35,19358588.9,151.61,1.076
3,35,20850653.11,151.34,1.1543
4,37,21886915.45,149.95,1.2953
5,32,19270462.52,149.6,1.0388
5,35,20441921.23,149.59,1.2238
3,48,22168600.5,149.55,1.3448
2,49,22124709.84,149.26,1.4338
4,39,21989611.44,149.11,1.2921
3,46,23441255.01,149.02,1.4313
3,47,21988890.87,148.34,1.3213
2,48,21984994.36,148.31,1.3616
3,37,20409266.44,148.14,1.1423
3,33,18802781.01,147.9,1.0219
4,31,18991654.09,147.44,1.0331
4,32,18977433.83,147.33,1.0531
5,34,20112103.94,147.18,1.2072
16,19,18457141.53,145.83,0.9799
19,4,18458545.03,145.49,1.1188
3,43,21422405.63,145.26,1.2771
3,36,19992614.77,145.12,1.0481
2,41,19732858.34,143.23,1.1155
4,40,21038938.7,142.66,1.2394
3,44,22436277.7,142.63,1.2924
3,45,22205137.14,141.16,1.2959
2,50,20917566.6,141.11,1.3646
3,49,20874933.7,140.83,1.2936
5,36,20576124.33,139.52,1.1908
49,37,20428976.98,137.82,1.248
3,50,19863516.91,136.79,1.2581
48,37,20088087.91,136.21,1.205
30,31,18833822.66,135.6,1.1083
50,46,20096441.25,135.57,1.2432
50,48,19905729.53,134.29,1.2365
47,40,19699321.93,133.58,1.1959
5,45,20967723.56,133.29,1.2212
50,47,19587248.33,132.14,1.2209
4,45,20746195.22,131.88,1.2092
4,48,19543888.52,131.85,1.1395
45,39,19434290.37,131.78,1.1176
5,44,19907570.7,131.61,1.1476
48,39,19376625.05,131.39,1.1422
42,40,19361904.99,131.29,1.122
47,38,19350709.14,131.21,1.1309
5,37,19341503.2,131.15,1.1478
47,39,19318549.26,130.99,1.1338
44,39,19284519.24,130.76,1.107
45,38,19228243.86,130.38,1.1005
46,42,19223533.49,130.35,1.1662
2,45,20475822.46,130.16,1.1974
49,45,19256573.81,129.91,1.1555
48,38,19152947.22,129.87,1.1394
50,45,19180972.04,129.4,1.1527
50,44,19150617.93,129.19,1.1404
50,43,19140378.34,129.12,1.1436
49,38,19120281.27,128.99,1.1565
46,38,19023091.9,128.99,1.091
50,49,19104335.18,128.88,1.1896
4,43,19041946.01,128.79,1.103
49,47,19002419.45,128.19,1.1493
44,38,18904454.93,128.19,1.0653
49,46,18922139.74,127.65,1.1397
49,44,18894619.68,127.47,1.13
50,42,18846150.83,127.14,1.1502
49,42,18803953.43,126.85,1.1453
44,40,18705098.53,126.83,1.0758
4,41,18690509.59,126.74,1.0611
49,39,18727260.55,126.34,1.1257
5,43,18668176.91,126.26,1.0826
6,47,18695829.8,126.13,1.0631
4,47,18693010.18,126.11,1.0622
5,42,18637023.34,126.05,1.0748
46,39,18551558.89,125.79,1.0581
4,46,19741257.92,125.49,1.1368
8,33,18516222.36,125.23,1.0408
4,44,18752983.07,123.98,1.0703
2,44,18662164.35,123.38,0.9924
2,46,19380671.3,123.2,1.1033
6,46,19136898.79,121.65,1.1035
6,45,18794302.4,119.47,1.0888
7,45,18487099.05,117.52,1.0483
