#,P:len1,P:len2,净利润,年化收益率%
1*,2,12,29600.70,2.44
2,2,13,29600.70,2.44
3,2,14,29600.70,2.44
4,2,6,-916274.30,-75.57
5,1,12,-987991.60,-81.48
6,1,13,-987991.60,-81.48
7,1,14,-987991.60,-81.48
8,2,7,-1025019.90,-84.54
9,23,1,-1209941.13,-117.76
10,23,2,-1209941.13,-117.76
11,23,3,-1209941.13,-117.76
12,23,4,-1209941.13,-117.76
13,23,5,-1209941.13,-117.76
14,23,6,-1209941.13,-117.76
15,23,7,-1209941.13,-117.76
16,23,8,-1209941.13,-117.76
17,23,9,-1209941.13,-117.76
18,23,10,-1209941.13,-117.76
19,23,11,-1209941.13,-117.76
20,23,12,-1209941.13,-117.76
21,23,13,-1209941.13,-117.76
22,23,14,-1209941.13,-117.76
23,23,15,-1209941.13,-117.76
24,23,16,-1209941.13,-117.76
25,23,17,-1209941.13,-117.76
26,23,18,-1209941.13,-117.76
27,23,19,-1209941.13,-117.76
28,23,20,-1209941.13,-117.76
29,23,21,-1209941.13,-117.76
30,23,22,-1209941.13,-117.76
31,23,23,-1209941.13,-117.76
32,23,24,-1209941.13,-117.76
33,23,25,-1209941.13,-117.76
34,23,26,-1209941.13,-117.76
35,23,27,-1209941.13,-117.76
36,23,28,-1209941.13,-117.76
37,23,29,-1209941.13,-117.76
38,23,30,-1209941.13,-117.76
39,23,31,-1209941.13,-117.76
40,23,32,-1209941.13,-117.76
41,23,33,-1209941.13,-117.76
42,23,34,-1209941.13,-117.76
43,23,35,-1209941.13,-117.76
44,23,36,-1209941.13,-117.76
45,23,37,-1209941.13,-117.76
46,23,38,-1209941.13,-117.76
47,23,39,-1209941.13,-117.76
48,23,40,-1209941.13,-117.76
49,23,41,-1209941.13,-117.76
50,23,42,-1209941.13,-117.76
51,23,43,-1209941.13,-117.76
52,23,44,-1209941.13,-117.76
53,23,45,-1209941.13,-117.76
54,23,46,-1209941.13,-117.76
55,23,47,-1209941.13,-117.76
56,23,48,-1209941.13,-117.76
57,23,49,-1209941.13,-117.76
58,23,50,-1209941.13,-117.76
59,24,1,-1209941.13,-117.76
60,24,2,-1209941.13,-117.76
61,24,3,-1209941.13,-117.76
62,24,4,-1209941.13,-117.76
63,24,5,-1209941.13,-117.76
64,24,6,-1209941.13,-117.76
65,24,7,-1209941.13,-117.76
66,24,8,-1209941.13,-117.76
67,24,9,-1209941.13,-117.76
68,24,10,-1209941.13,-117.76
69,24,11,-1209941.13,-117.76
70,24,12,-1209941.13,-117.76
71,24,13,-1209941.13,-117.76
72,24,14,-1209941.13,-117.76
73,24,15,-1209941.13,-117.76
74,24,16,-1209941.13,-117.76
75,24,17,-1209941.13,-117.76
76,24,18,-1209941.13,-117.76
77,24,19,-1209941.13,-117.76
78,24,20,-1209941.13,-117.76
79,24,21,-1209941.13,-117.76
80,24,22,-1209941.13,-117.76
81,24,23,-1209941.13,-117.76
82,24,24,-1209941.13,-117.76
83,24,25,-1209941.13,-117.76
84,24,26,-1209941.13,-117.76
85,24,27,-1209941.13,-117.76
86,24,28,-1209941.13,-117.76
87,24,29,-1209941.13,-117.76
88,24,30,-1209941.13,-117.76
89,24,31,-1209941.13,-117.76
90,24,32,-1209941.13,-117.76
91,24,33,-1209941.13,-117.76
92,24,34,-1209941.13,-117.76
93,24,35,-1209941.13,-117.76
94,24,36,-1209941.13,-117.76
95,24,37,-1209941.13,-117.76
96,24,38,-1209941.13,-117.76
97,24,39,-1209941.13,-117.76
98,24,40,-1209941.13,-117.76
99,24,41,-1209941.13,-117.76
100,24,42,-1209941.13,-117.76
101,24,43,-1209941.13,-117.76
102,24,44,-1209941.13,-117.76
103,24,45,-1209941.13,-117.76
104,24,46,-1209941.13,-117.76
105,24,47,-1209941.13,-117.76
106,24,48,-1209941.13,-117.76
107,24,49,-1209941.13,-117.76
108,24,50,-1209941.13,-117.76
109,25,1,-1209941.13,-117.76
110,25,2,-1209941.13,-117.76
111,25,3,-1209941.13,-117.76
112,25,4,-1209941.13,-117.76
113,25,5,-1209941.13,-117.76
114,25,6,-1209941.13,-117.76
115,25,7,-1209941.13,-117.76
116,25,8,-1209941.13,-117.76
117,25,9,-1209941.13,-117.76
118,25,10,-1209941.13,-117.76
119,25,11,-1209941.13,-117.76
120,25,12,-1209941.13,-117.76
121,25,13,-1209941.13,-117.76
122,25,14,-1209941.13,-117.76
123,25,15,-1209941.13,-117.76
124,25,16,-1209941.13,-117.76
125,25,17,-1209941.13,-117.76
126,25,18,-1209941.13,-117.76
127,25,19,-1209941.13,-117.76
128,25,20,-1209941.13,-117.76
129,25,21,-1209941.13,-117.76
130,25,22,-1209941.13,-117.76
131,25,23,-1209941.13,-117.76
132,25,24,-1209941.13,-117.76
133,25,25,-1209941.13,-117.76
134,25,26,-1209941.13,-117.76
135,25,27,-1209941.13,-117.76
136,25,28,-1209941.13,-117.76
137,25,29,-1209941.13,-117.76
138,25,30,-1209941.13,-117.76
139,25,31,-1209941.13,-117.76
140,25,32,-1209941.13,-117.76
141,25,33,-1209941.13,-117.76
142,25,34,-1209941.13,-117.76
143,25,35,-1209941.13,-117.76
144,25,36,-1209941.13,-117.76
145,25,37,-1209941.13,-117.76
146,25,38,-1209941.13,-117.76
147,25,39,-1209941.13,-117.76
148,25,40,-1209941.13,-117.76
149,25,41,-1209941.13,-117.76
150,25,42,-1209941.13,-117.76
151,25,43,-1209941.13,-117.76
152,25,44,-1209941.13,-117.76
153,25,45,-1209941.13,-117.76
154,25,46,-1209941.13,-117.76
155,25,47,-1209941.13,-117.76
156,25,48,-1209941.13,-117.76
157,25,49,-1209941.13,-117.76
158,25,50,-1209941.13,-117.76
159,26,1,-1209941.13,-117.76
160,26,2,-1209941.13,-117.76
161,26,3,-1209941.13,-117.76
162,26,4,-1209941.13,-117.76
163,26,5,-1209941.13,-117.76
164,26,6,-1209941.13,-117.76
165,26,7,-1209941.13,-117.76
166,26,8,-1209941.13,-117.76
167,26,9,-1209941.13,-117.76
168,26,10,-1209941.13,-117.76
169,26,11,-1209941.13,-117.76
170,26,12,-1209941.13,-117.76
171,26,13,-1209941.13,-117.76
172,26,14,-1209941.13,-117.76
173,26,15,-1209941.13,-117.76
174,26,16,-1209941.13,-117.76
175,26,17,-1209941.13,-117.76
176,26,18,-1209941.13,-117.76
177,26,19,-1209941.13,-117.76
178,26,20,-1209941.13,-117.76
179,26,21,-1209941.13,-117.76
180,26,22,-1209941.13,-117.76
181,26,23,-1209941.13,-117.76
182,26,24,-1209941.13,-117.76
183,26,25,-1209941.13,-117.76
184,26,26,-1209941.13,-117.76
185,26,27,-1209941.13,-117.76
186,26,28,-1209941.13,-117.76
187,26,29,-1209941.13,-117.76
188,26,30,-1209941.13,-117.76
189,26,31,-1209941.13,-117.76
190,26,32,-1209941.13,-117.76
191,26,33,-1209941.13,-117.76
192,26,34,-1209941.13,-117.76
193,26,35,-1209941.13,-117.76
194,26,36,-1209941.13,-117.76
195,26,37,-1209941.13,-117.76
196,26,38,-1209941.13,-117.76
197,26,39,-1209941.13,-117.76
198,26,40,-1209941.13,-117.76
199,26,41,-1209941.13,-117.76
200,26,42,-1209941.13,-117.76
201,26,43,-1209941.13,-117.76
202,26,44,-1209941.13,-117.76
203,26,45,-1209941.13,-117.76
204,26,46,-1209941.13,-117.76
205,26,47,-1209941.13,-117.76
206,26,48,-1209941.13,-117.76
207,26,49,-1209941.13,-117.76
