#,P:len1,P:len2,净利润,年化收益率%
1*,16,21,7282444.87,69.03
2,16,22,7282444.87,69.03
3,16,23,7282444.87,69.03
4,16,24,7282444.87,69.03
5,16,25,7282444.87,69.03
6,16,26,7282444.87,69.03
7,13,36,7111121.97,67.41
8,16,1,7105391.67,67.35
9,16,2,7105391.67,67.35
10,16,3,7105391.67,67.35
11,16,4,7105391.67,67.35
12,16,5,7105391.67,67.35
13,16,6,7105391.67,67.35
14,16,7,7105391.67,67.35
15,16,8,7105391.67,67.35
16,16,9,7105391.67,67.35
17,16,10,7105391.67,67.35
18,16,11,7105391.67,67.35
19,16,12,7105391.67,67.35
20,16,13,7105391.67,67.35
21,16,14,7105391.67,67.35
22,16,15,7105391.67,67.35
23,16,16,7105391.67,67.35
24,16,17,7105391.67,67.35
25,16,18,7105391.67,67.35
26,16,19,7105391.67,67.35
27,16,20,7105391.67,67.35
28,14,36,7058595.72,66.91
29,15,36,6982730.00,66.19
30,16,34,6960346.85,65.98
31,16,35,6960346.85,65.98
32,16,36,6960346.85,65.98
33,13,34,6683419.97,63.35
34,13,35,6683419.97,63.35
35,14,34,6630893.72,62.86
36,14,35,6630893.72,62.86
37,16,27,6574440.12,62.32
38,16,28,6574440.12,62.32
39,16,29,6574440.12,62.32
40,16,30,6574440.12,62.32
41,16,31,6574440.12,62.32
42,16,32,6574440.12,62.32
43,16,33,6574440.12,62.32
44,15,34,6555028.00,62.14
45,15,35,6555028.00,62.14
46,13,32,6297513.25,59.70
47,13,33,6297513.25,59.70
48,14,32,6244987.00,59.20
49,14,33,6244987.00,59.20
50,15,32,6169121.27,58.48
51,15,33,6169121.27,58.48
52,15,21,5897785.25,55.91
53,15,22,5897785.25,55.91
54,15,23,5897785.25,55.91
55,15,24,5897785.25,55.91
56,15,25,5897785.25,55.91
57,15,26,5897785.25,55.91
58,14,21,5838904.82,55.35
59,14,22,5838904.82,55.35
60,14,23,5838904.82,55.35
61,14,24,5838904.82,55.35
62,14,25,5838904.82,55.35
63,14,26,5838904.82,55.35
64,15,19,5720732.05,54.23
65,15,20,5720732.05,54.23
66,13,22,5667458.50,53.72
67,13,23,5667458.50,53.72
68,13,24,5667458.50,53.72
69,13,25,5667458.50,53.72
70,13,26,5667458.50,53.72
71,14,19,5661851.62,53.67
72,14,20,5661851.62,53.67
73,17,21,5574979.55,52.85
74,17,22,5574979.55,52.85
75,17,23,5574979.55,52.85
76,17,24,5574979.55,52.85
77,17,25,5574979.55,52.85
78,17,26,5574979.55,52.85
79,17,1,5397926.35,51.17
80,17,2,5397926.35,51.17
81,17,3,5397926.35,51.17
82,17,4,5397926.35,51.17
83,17,5,5397926.35,51.17
84,17,6,5397926.35,51.17
85,17,7,5397926.35,51.17
86,17,8,5397926.35,51.17
87,17,9,5397926.35,51.17
88,17,10,5397926.35,51.17
89,17,11,5397926.35,51.17
90,17,12,5397926.35,51.17
91,17,13,5397926.35,51.17
92,17,14,5397926.35,51.17
93,17,15,5397926.35,51.17
94,17,16,5397926.35,51.17
95,17,17,5397926.35,51.17
96,17,18,5397926.35,51.17
97,17,19,5397926.35,51.17
98,17,20,5397926.35,51.17
99,13,21,5384089.90,51.04
100,13,37,5358996.32,50.80
