#,P:len1,P:len2,净利润,年化收益率%
1*,16,26,867770.50,5.98
2,16,21,616791.45,4.25
3,16,22,616791.45,4.25
4,16,23,616791.45,4.25
5,16,24,616791.45,4.25
6,16,25,616791.45,4.25
7,16,34,545672.47,3.76
8,16,35,545672.47,3.76
9,16,1,439738.25,3.03
10,16,2,439738.25,3.03
11,16,3,439738.25,3.03
12,16,4,439738.25,3.03
13,16,5,439738.25,3.03
14,16,6,439738.25,3.03
15,16,7,439738.25,3.03
16,16,8,439738.25,3.03
17,16,9,439738.25,3.03
18,16,10,439738.25,3.03
19,16,11,439738.25,3.03
20,16,12,439738.25,3.03
21,16,13,439738.25,3.03
22,16,14,439738.25,3.03
23,16,15,439738.25,3.03
24,16,16,439738.25,3.03
25,16,17,439738.25,3.03
26,16,18,439738.25,3.03
27,16,19,439738.25,3.03
28,16,20,439738.25,3.03
29,16,36,244306.77,1.68
30,16,27,159765.75,1.10
31,16,28,159765.75,1.10
32,16,29,159765.75,1.10
33,16,30,159765.75,1.10
34,16,31,159765.75,1.10
35,16,32,159765.75,1.10
36,16,33,159765.75,1.10
37,15,36,-216231.13,-1.49
38,15,34,-342567.43,-2.36
39,15,35,-342567.43,-2.36
40,13,36,-614610.93,-4.24
41,14,36,-630465.23,-4.35
42,15,32,-728474.15,-5.02
43,15,33,-728474.15,-5.02
44,13,34,-740947.23,-5.11
45,13,35,-740947.23,-5.11
46,14,34,-756801.53,-5.22
47,14,35,-756801.53,-5.22
48,17,21,-899724.82,-6.20
49,17,22,-899724.82,-6.20
50,17,23,-899724.82,-6.20
51,17,24,-899724.82,-6.20
52,17,25,-899724.82,-6.20
53,17,26,-899724.82,-6.20
54,15,26,-999810.18,-6.89
55,17,1,-1076778.02,-7.42
56,17,2,-1076778.02,-7.42
57,17,3,-1076778.02,-7.42
58,17,4,-1076778.02,-7.42
59,17,5,-1076778.02,-7.42
60,17,6,-1076778.02,-7.42
61,17,7,-1076778.02,-7.42
62,17,8,-1076778.02,-7.42
63,17,9,-1076778.02,-7.42
64,17,10,-1076778.02,-7.42
65,17,11,-1076778.02,-7.42
66,17,12,-1076778.02,-7.42
67,17,13,-1076778.02,-7.42
68,17,14,-1076778.02,-7.42
69,17,15,-1076778.02,-7.42
70,17,16,-1076778.02,-7.42
71,17,17,-1076778.02,-7.42
72,17,18,-1076778.02,-7.42
73,17,19,-1076778.02,-7.42
74,17,20,-1076778.02,-7.42
75,13,32,-1126853.95,-7.77
76,13,33,-1126853.95,-7.77
77,14,32,-1142708.25,-7.88
78,14,33,-1142708.25,-7.88
79,17,34,-1221822.85,-8.42
80,17,35,-1221822.85,-8.42
81,15,21,-1250789.23,-8.62
82,15,22,-1250789.23,-8.62
83,15,23,-1250789.23,-8.62
84,15,24,-1250789.23,-8.62
85,15,25,-1250789.23,-8.62
86,15,19,-1427842.43,-9.84
87,15,20,-1427842.43,-9.84
88,13,26,-1443574.05,-9.95
89,16,37,-1507818.88,-10.40
90,17,36,-1523188.55,-10.50
91,17,37,-1523188.55,-10.50
92,14,26,-1548790.43,-10.68
93,17,27,-1607729.57,-11.08
94,17,28,-1607729.57,-11.08
95,17,29,-1607729.57,-11.08
96,17,30,-1607729.57,-11.08
97,17,31,-1607729.57,-11.08
98,17,32,-1607729.57,-11.08
99,17,33,-1607729.57,-11.08
100,15,27,-1707814.93,-11.77
