#,P:len1,P:len2,净利润,年化收益率%
1*,16,21,7709222.32,150.75
2,16,22,7709222.32,150.75
3,16,23,7709222.32,150.75
4,16,24,7709222.32,150.75
5,16,25,7709222.32,150.75
6,16,26,7709222.32,150.75
7,16,1,7532169.12,147.28
8,16,2,7532169.12,147.28
9,16,3,7532169.12,147.28
10,16,4,7532169.12,147.28
11,16,5,7532169.12,147.28
12,16,6,7532169.12,147.28
13,16,7,7532169.12,147.28
14,16,8,7532169.12,147.28
15,16,9,7532169.12,147.28
16,16,10,7532169.12,147.28
17,16,11,7532169.12,147.28
18,16,12,7532169.12,147.28
19,16,13,7532169.12,147.28
20,16,14,7532169.12,147.28
21,16,15,7532169.12,147.28
22,16,16,7532169.12,147.28
23,16,17,7532169.12,147.28
24,16,18,7532169.12,147.28
25,16,19,7532169.12,147.28
26,16,20,7532169.12,147.28
27,15,21,7281520.32,142.38
28,15,22,7281520.32,142.38
29,15,23,7281520.32,142.38
30,15,24,7281520.32,142.38
31,15,25,7281520.32,142.38
32,15,26,7281520.32,142.38
33,14,21,7146774.17,139.75
34,14,22,7146774.17,139.75
35,14,23,7146774.17,139.75
36,14,24,7146774.17,139.75
37,14,25,7146774.17,139.75
38,14,26,7146774.17,139.75
39,15,19,7104467.12,138.92
40,15,20,7104467.12,138.92
41,16,27,7001217.57,136.64
42,16,28,7001217.57,136.64
43,16,29,7001217.57,136.64
44,16,30,7001217.57,136.64
45,16,31,7001217.57,136.64
46,16,32,7001217.57,136.64
47,16,33,7001217.57,136.64
48,13,21,6975327.85,136.40
49,13,22,6975327.85,136.40
50,13,23,6975327.85,136.40
51,13,24,6975327.85,136.40
52,13,25,6975327.85,136.40
53,13,26,6975327.85,136.40
54,14,19,6969720.97,136.29
55,14,20,6969720.97,136.29
56,13,36,6906855.12,134.68
57,14,36,6854328.87,133.66
58,15,36,6854328.87,133.66
59,16,34,6854328.87,133.66
60,16,35,6854328.87,133.66
61,16,36,6854328.87,133.66
62,13,19,6798274.65,132.93
63,13,20,6798274.65,132.93
64,14,28,6630970.37,129.41
65,13,32,6626041.82,129.32
66,13,33,6626041.82,129.32
67,14,29,6573515.57,128.29
68,14,30,6573515.57,128.29
69,14,31,6573515.57,128.29
70,14,32,6573515.57,128.29
71,14,33,6573515.57,128.29
72,15,27,6573515.57,128.29
73,15,28,6573515.57,128.29
74,15,29,6573515.57,128.29
75,15,30,6573515.57,128.29
76,15,31,6573515.57,128.29
77,15,32,6573515.57,128.29
78,15,33,6573515.57,128.29
79,12,24,6488221.60,126.87
80,12,25,6488221.60,126.87
81,12,26,6488221.60,126.87
82,13,34,6479153.12,126.34
83,13,35,6479153.12,126.34
84,13,28,6459524.05,126.07
85,14,27,6438769.42,125.66
86,14,34,6426626.87,125.32
87,14,35,6426626.87,125.32
88,15,34,6426626.87,125.32
89,15,35,6426626.87,125.32
90,13,29,6402069.25,124.94
91,13,30,6402069.25,124.94
92,13,31,6402069.25,124.94
93,13,27,6267323.10,122.31
94,12,21,6036849.37,118.04
95,12,22,6036849.37,118.04
96,12,23,6036849.37,118.04
97,17,21,5957096.67,116.49
98,17,22,5957096.67,116.49
99,17,23,5957096.67,116.49
100,17,24,5957096.67,116.49
