#,P:len1,P:len2,净利润,年化收益率%
1*,1,11,387914.42,37.72
2,1,12,355011.65,34.52
3,1,13,290988.88,28.30
4,1,14,290988.88,28.30
5,1,15,290988.88,28.30
6,1,16,239564.60,23.30
7,1,17,239564.60,23.30
8,1,18,132911.30,12.92
9,4,6,-114797.93,-11.41
10,4,7,-114797.93,-11.41
11,4,8,-114797.93,-11.41
12,3,11,-129288.20,-12.74
13,4,9,-161258.32,-16.02
14,4,10,-161258.32,-16.02
15,4,11,-161258.32,-16.02
16,5,1,-181729.52,-18.06
17,5,2,-181729.52,-18.06
18,5,3,-181729.52,-18.06
19,5,4,-181729.52,-18.06
20,5,5,-181729.52,-18.06
21,5,6,-181729.52,-18.06
22,5,7,-181729.52,-18.06
23,5,8,-181729.52,-18.06
24,5,9,-181729.52,-18.06
25,5,10,-181729.52,-18.06
26,5,11,-181729.52,-18.06
27,5,12,-181729.52,-18.06
28,9,1,-184548.38,-18.13
29,9,2,-184548.38,-18.13
30,9,3,-184548.38,-18.13
31,9,4,-184548.38,-18.13
32,9,5,-184548.38,-18.13
33,9,6,-184548.38,-18.13
34,9,7,-184548.38,-18.13
35,9,8,-184548.38,-18.13
36,9,9,-184548.38,-18.13
37,9,10,-184548.38,-18.13
38,9,11,-184548.38,-18.13
39,9,12,-184548.38,-18.13
40,9,13,-184548.38,-18.13
41,9,14,-184548.38,-18.13
42,9,15,-184548.38,-18.13
43,9,16,-184548.38,-18.13
44,9,17,-184548.38,-18.13
45,9,18,-184548.38,-18.13
46,9,19,-184548.38,-18.13
47,9,20,-184548.38,-18.13
48,9,21,-184548.38,-18.13
49,9,22,-184548.38,-18.13
50,9,23,-184548.38,-18.13
51,9,24,-184548.38,-18.13
52,9,25,-184548.38,-18.13
53,9,26,-184548.38,-18.13
54,9,27,-184548.38,-18.13
55,6,1,-214962.90,-21.36
56,6,2,-214962.90,-21.36
57,6,3,-214962.90,-21.36
58,6,4,-214962.90,-21.36
59,6,5,-214962.90,-21.36
60,6,6,-214962.90,-21.36
61,6,7,-214962.90,-21.36
62,6,8,-214962.90,-21.36
63,6,9,-214962.90,-21.36
64,6,10,-214962.90,-21.36
65,6,11,-214962.90,-21.36
66,6,12,-214962.90,-21.36
67,3,12,-268844.27,-26.49
68,4,1,-278624.48,-27.68
69,4,2,-278624.48,-27.68
70,4,3,-278624.48,-27.68
71,4,4,-278624.48,-27.68
72,4,5,-278624.48,-27.68
73,2,11,-289791.40,-28.55
74,3,1,-293358.45,-28.90
75,3,2,-293358.45,-28.90
76,3,3,-293358.45,-28.90
77,3,4,-293358.45,-28.90
78,4,12,-300814.40,-29.89
79,3,6,-324482.05,-31.97
80,3,7,-324482.05,-31.97
81,3,8,-324482.05,-31.97
82,10,1,-364638.38,-35.82
83,10,2,-364638.38,-35.82
84,10,3,-364638.38,-35.82
85,10,4,-364638.38,-35.82
86,10,5,-364638.38,-35.82
87,10,6,-364638.38,-35.82
88,10,7,-364638.38,-35.82
89,10,8,-364638.38,-35.82
90,10,9,-364638.38,-35.82
91,10,10,-364638.38,-35.82
92,10,11,-364638.38,-35.82
93,10,12,-364638.38,-35.82
94,10,13,-364638.38,-35.82
95,10,14,-364638.38,-35.82
96,10,15,-364638.38,-35.82
97,10,16,-364638.38,-35.82
98,10,17,-364638.38,-35.82
99,10,18,-364638.38,-35.82
100,10,19,-364638.38,-35.82
101,10,20,-364638.38,-35.82
102,10,21,-364638.38,-35.82
103,10,22,-364638.38,-35.82
104,10,23,-364638.38,-35.82
105,10,24,-364638.38,-35.82
106,10,25,-364638.38,-35.82
107,10,26,-364638.38,-35.82
108,10,27,-364638.38,-35.82
109,2,12,-429347.48,-42.30
110,2,5,-443749.88,-43.72
111,7,1,-459485.10,-45.65
112,7,2,-459485.10,-45.65
113,7,3,-459485.10,-45.65
114,7,4,-459485.10,-45.65
115,7,5,-459485.10,-45.65
116,7,6,-459485.10,-45.65
117,7,7,-459485.10,-45.65
118,7,8,-459485.10,-45.65
119,7,9,-459485.10,-45.65
120,7,10,-459485.10,-45.65
121,7,11,-459485.10,-45.65
122,7,12,-459485.10,-45.65
123,2,6,-468493.50,-46.15
124,2,7,-468493.50,-46.15
125,2,8,-468493.50,-46.15
126,3,5,-488308.60,-48.11
127,5,13,-550924.22,-54.74
128,5,14,-550924.22,-54.74
129,5,15,-550924.22,-54.74
130,5,16,-550924.22,-54.74
131,5,17,-550924.22,-54.74
132,5,18,-550924.22,-54.74
133,5,19,-550924.22,-54.74
134,5,20,-550924.22,-54.74
135,5,21,-550924.22,-54.74
136,5,22,-550924.22,-54.74
137,5,23,-550924.22,-54.74
138,5,24,-550924.22,-54.74
139,5,25,-550924.22,-54.74
140,5,26,-550924.22,-54.74
141,5,27,-550924.22,-54.74
142,6,13,-584157.60,-58.04
143,6,14,-584157.60,-58.04
144,6,15,-584157.60,-58.04
145,6,16,-584157.60,-58.04
146,6,17,-584157.60,-58.04
147,6,18,-584157.60,-58.04
148,6,19,-584157.60,-58.04
149,6,20,-584157.60,-58.04
150,6,21,-584157.60,-58.04
151,6,22,-584157.60,-58.04
152,6,23,-584157.60,-58.04
153,6,24,-584157.60,-58.04
154,6,25,-584157.60,-58.04
155,6,26,-584157.60,-58.04
156,6,27,-584157.60,-58.04
157,3,9,-624015.85,-61.48
158,3,10,-624015.85,-61.48
159,3,13,-638038.97,-62.86
160,3,14,-638038.97,-62.86
161,3,15,-638038.97,-62.86
162,3,16,-638038.97,-62.86
163,3,17,-638038.97,-62.86
164,3,18,-638038.97,-62.86
165,3,19,-638038.97,-62.86
166,3,20,-638038.97,-62.86
167,3,21,-638038.97,-62.86
168,3,22,-638038.97,-62.86
169,3,23,-638038.97,-62.86
170,3,24,-638038.97,-62.86
171,3,25,-638038.97,-62.86
172,3,26,-638038.97,-62.86
173,3,27,-638038.97,-62.86
174,1,9,-664596.98,-64.63
175,1,10,-664596.98,-64.63
176,4,13,-670009.10,-66.57
177,4,14,-670009.10,-66.57
178,4,15,-670009.10,-66.57
179,4,16,-670009.10,-66.57
180,4,17,-670009.10,-66.57
181,4,18,-670009.10,-66.57
182,4,19,-670009.10,-66.57
183,4,20,-670009.10,-66.57
184,4,21,-670009.10,-66.57
185,4,22,-670009.10,-66.57
186,4,23,-670009.10,-66.57
187,4,24,-670009.10,-66.57
188,4,25,-670009.10,-66.57
189,4,26,-670009.10,-66.57
190,4,27,-670009.10,-66.57
191,1,19,-721565.75,-71.09
192,1,20,-721565.75,-71.09
193,1,21,-721565.75,-71.09
194,1,22,-721565.75,-71.09
195,1,23,-721565.75,-71.09
196,2,9,-784519.05,-77.29
197,2,10,-784519.05,-77.29
198,2,13,-798542.18,-78.67
199,2,14,-798542.18,-78.67
200,2,15,-798542.18,-78.67
201,2,16,-798542.18,-78.67
202,2,17,-798542.18,-78.67
203,2,18,-798542.18,-78.67
204,2,19,-798542.18,-78.67
205,2,20,-798542.18,-78.67
206,2,21,-798542.18,-78.67
207,2,22,-798542.18,-78.67
208,2,23,-798542.18,-78.67
209,2,24,-798542.18,-78.67
210,2,25,-798542.18,-78.67
211,2,26,-798542.18,-78.67
212,2,27,-798542.18,-78.67
213,7,13,-828679.80,-82.33
214,7,14,-828679.80,-82.33
215,7,15,-828679.80,-82.33
216,7,16,-828679.80,-82.33
217,7,17,-828679.80,-82.33
218,7,18,-828679.80,-82.33
219,7,19,-828679.80,-82.33
220,7,20,-828679.80,-82.33
221,7,21,-828679.80,-82.33
222,7,22,-828679.80,-82.33
223,7,23,-828679.80,-82.33
224,7,24,-828679.80,-82.33
225,7,25,-828679.80,-82.33
226,7,26,-828679.80,-82.33
227,7,27,-828679.80,-82.33
228,2,4,-856457.30,-84.38
229,6,36,-1325035.93,-131.65
230,6,37,-1325035.93,-131.65
231,6,38,-1325035.93,-131.65
232,6,39,-1325035.93,-131.65
233,6,40,-1325035.93,-131.65
234,6,41,-1325035.93,-131.65
235,6,42,-1325035.93,-131.65
236,6,43,-1325035.93,-131.65
237,6,44,-1325035.93,-131.65
238,6,45,-1325035.93,-131.65
239,6,46,-1325035.93,-131.65
240,6,47,-1325035.93,-131.65
241,6,48,-1325035.93,-131.65
242,6,49,-1325035.93,-131.65
243,6,50,-1325035.93,-131.65
244,7,36,-1325035.93,-131.65
