#,P:len1,P:len2,净利润,年化收益率%
1*,16,26,-557368.98,-3.52
2,16,34,-676479.35,-4.28
3,16,35,-676479.35,-4.28
4,16,21,-808348.03,-5.11
5,16,22,-808348.03,-5.11
6,16,23,-808348.03,-5.11
7,16,24,-808348.03,-5.11
8,16,25,-808348.03,-5.11
9,16,36,-977845.05,-6.18
10,16,1,-985401.23,-6.23
11,16,2,-985401.23,-6.23
12,16,3,-985401.23,-6.23
13,16,4,-985401.23,-6.23
14,16,5,-985401.23,-6.23
15,16,6,-985401.23,-6.23
16,16,7,-985401.23,-6.23
17,16,8,-985401.23,-6.23
18,16,9,-985401.23,-6.23
19,16,10,-985401.23,-6.23
20,16,11,-985401.23,-6.23
21,16,12,-985401.23,-6.23
22,16,13,-985401.23,-6.23
23,16,14,-985401.23,-6.23
24,16,15,-985401.23,-6.23
25,16,16,-985401.23,-6.23
26,16,17,-985401.23,-6.23
27,16,18,-985401.23,-6.23
28,16,19,-985401.23,-6.23
29,16,20,-985401.23,-6.23
30,16,27,-1062386.08,-6.71
31,16,28,-1062386.08,-6.71
32,16,29,-1062386.08,-6.71
33,16,30,-1062386.08,-6.71
34,16,31,-1062386.08,-6.71
35,16,32,-1062386.08,-6.71
36,16,33,-1062386.08,-6.71
37,15,36,-1438382.95,-9.09
38,15,34,-1564719.25,-9.89
39,15,35,-1564719.25,-9.89
40,14,36,-1852617.05,-11.71
41,15,32,-1950625.98,-12.33
42,15,33,-1950625.98,-12.33
43,14,34,-1978953.35,-12.51
44,14,35,-1978953.35,-12.51
45,17,21,-2324864.30,-14.69
46,17,22,-2324864.30,-14.69
47,17,23,-2324864.30,-14.69
48,17,24,-2324864.30,-14.69
49,17,25,-2324864.30,-14.69
50,17,26,-2324864.30,-14.69
51,14,32,-2364860.08,-14.95
52,14,33,-2364860.08,-14.95
53,13,36,-2368123.35,-14.97
54,15,26,-2424949.65,-15.33
55,17,34,-2443974.68,-15.45
56,17,35,-2443974.68,-15.45
57,13,34,-2494459.65,-15.77
58,13,35,-2494459.65,-15.77
59,17,1,-2501917.50,-15.81
60,17,2,-2501917.50,-15.81
61,17,3,-2501917.50,-15.81
62,17,4,-2501917.50,-15.81
63,17,5,-2501917.50,-15.81
64,17,6,-2501917.50,-15.81
65,17,7,-2501917.50,-15.81
66,17,8,-2501917.50,-15.81
67,17,9,-2501917.50,-15.81
68,17,10,-2501917.50,-15.81
69,17,11,-2501917.50,-15.81
70,17,12,-2501917.50,-15.81
71,17,13,-2501917.50,-15.81
72,17,14,-2501917.50,-15.81
73,17,15,-2501917.50,-15.81
74,17,16,-2501917.50,-15.81
75,17,17,-2501917.50,-15.81
76,17,18,-2501917.50,-15.81
77,17,19,-2501917.50,-15.81
78,17,20,-2501917.50,-15.81
79,15,21,-2675928.70,-16.91
80,15,22,-2675928.70,-16.91
81,15,23,-2675928.70,-16.91
82,15,24,-2675928.70,-16.91
83,15,25,-2675928.70,-16.91
84,17,36,-2745340.38,-17.35
85,17,27,-2829881.40,-17.89
86,17,28,-2829881.40,-17.89
87,17,29,-2829881.40,-17.89
88,17,30,-2829881.40,-17.89
89,17,31,-2829881.40,-17.89
90,17,32,-2829881.40,-17.89
91,17,33,-2829881.40,-17.89
92,16,37,-2842944.53,-17.97
93,15,19,-2852981.90,-18.03
94,15,20,-2852981.90,-18.03
95,17,37,-2858314.20,-18.06
96,13,32,-2880366.38,-18.20
97,13,33,-2880366.38,-18.20
98,15,27,-2929966.75,-18.52
99,15,28,-2929966.75,-18.52
100,15,29,-2929966.75,-18.52
