#,P:N1,P:N2,净利润,年化收益率%
1*,14,13,31036568.80,123.27
2,2,12,27951104.83,124.03
3,18,13,27807585.65,126.26
4,4,7,27756824.10,132.27
5,17,14,27703612.90,127.48
6,15,14,27435173.60,126.24
7,17,15,26814386.00,119.03
8,16,12,26679767.90,122.77
9,6,13,26621109.38,118.12
10,16,13,26519816.85,122.03
11,2,7,26232457.45,132.73
12,4,8,25979167.08,123.80
13,2,15,25589558.13,116.19
14,5,7,25386186.15,120.98
15,17,13,25360832.57,118.14
16,15,13,25280493.25,114.93
17,4,6,25258988.00,117.64
18,5,14,25228476.75,111.94
19,2,11,25093437.50,115.47
20,3,13,24760962.20,109.87
21,2,8,24733636.72,124.35
22,4,5,24662641.50,121.78
23,3,14,24618376.58,109.24
24,10,12,24589357.43,96.65
25,17,12,24556784.77,113.00
26,8,13,24552100.55,98.56
27,2,5,24312599.77,124.55
28,4,14,24094702.00,106.91
29,4,15,24070958.10,106.81
30,8,9,23955395.55,114.16
31,2,14,23846302.30,108.27
32,15,12,23805209.05,105.63
33,6,14,23712845.93,105.22
34,14,8,23575517.93,100.65
35,3,8,23560985.57,112.28
36,3,12,23542136.55,104.46
37,2,10,23400585.05,107.68
38,3,11,23323855.90,111.40
39,4,9,23297345.48,117.12
40,11,12,23279026.28,92.46
41,2,9,22902031.90,114.46
42,5,13,22828186.40,101.29
43,20,13,22757770.98,104.72
44,2,18,22724380.70,103.18
45,5,15,22664353.25,103.03
46,20,12,22452545.55,104.59
47,2,13,22280716.82,98.86
48,3,7,22264951.68,103.69
49,16,15,22081324.40,102.65
50,19,13,22074384.83,102.83
51,7,8,22050258.50,108.39
52,2,17,21768960.00,98.84
53,5,12,21669146.02,96.15
54,3,5,21631815.37,108.75
55,9,11,21610610.10,99.44
56,4,16,21605490.88,100.43
57,13,12,21508844.87,96.62
58,12,13,21441667.25,98.66
59,10,13,21396840.93,85.89
60,15,10,21366093.70,95.98
61,2,16,21353488.68,96.95
62,2,4,21301580.03,109.13
63,21,10,21261997.20,96.66
64,20,14,21198197.52,97.54
65,21,14,21047638.13,93.43
66,20,11,21029728.52,96.77
67,19,12,21006279.15,96.66
68,17,16,20821934.43,92.43
69,3,17,20784689.17,95.64
70,3,10,20768424.23,94.42
71,22,14,20650222.75,91.67
72,21,13,20640389.55,94.98
73,16,11,20590634.30,93.61
74,3,16,20449521.00,94.10
75,16,10,20430392.13,91.77
76,3,9,20383171.32,97.14
77,9,14,20366260.75,83.53
78,4,13,20358342.13,90.33
79,27,12,20293917.17,92.26
80,7,13,20260626.28,89.90
81,22,13,20215063.98,93.02
82,5,8,20146080.57,96.01
83,7,14,20032841.45,88.93
84,16,14,19917758.90,92.78
85,3,15,19807086.28,87.89
86,2,6,19795697.85,101.41
87,3,6,19759298.75,99.34
88,6,12,19662337.93,87.25
89,22,15,19595778.43,86.99
90,14,12,19561070.10,87.87
91,11,13,19512024.60,77.50
92,11,8,19492737.30,84.99
93,8,12,19386797.35,86.02
94,19,14,19339672.75,88.99
95,6,7,19298813.92,94.87
96,5,16,19261832.95,87.57
97,26,11,19242292.10,86.44
98,19,11,19059618.20,87.70
99,9,12,19028701.77,84.47
100,32,6,19013274.95,88.55
