P:N1,P:N2,净利润,年化收益率%
5,4,12774196.73,332.45
5,14,10632308.6,278.81
17,11,10148841.43,266.13
18,11,10072544.82,264.13
19,11,10072544.82,264.13
6,13,10234332.35,263.21
4,5,9896107.02,259.37
17,13,9599672.13,251.73
4,7,9320746.55,250.15
4,3,9510306.83,249.51
4,6,9236382.05,247.89
16,12,11073873.63,247.03
2,14,9417110.52,246.95
9,11,10442469.65,245.71
3,12,9656289.55,245.45
20,14,9328650.38,244.63
18,13,10964208.73,244.58
19,13,10964208.73,244.58
22,13,9245060.93,242.43
20,13,10860265.23,242.26
22,11,9224398.18,241.89
8,11,9223555.45,241.11
21,13,9183326.45,240.81
4,13,9180707.55,240.75
12,13,9104252.18,238.74
22,14,9062533.33,237.65
21,14,9059169.65,237.56
20,11,9046266.68,237.22
21,12,10624325.73,237
17,12,9020066.28,236.53
18,12,8946603.03,234.61
19,12,8946603.03,234.61
20,12,10491862.73,234.04
22,12,8917298,233.84
3,11,9161619.63,233.33
21,11,8883977.13,232.96
21,10,8878979.63,232.83
20,10,8752502.9,229.52
2,11,8648625.13,228.54
2,7,8888479.03,228
14,13,8626851.03,226.22
2,5,8937412.32,224.48
9,10,8557528.78,223.7
3,6,8436831.08,221.12
4,11,9649369.5,220.99
5,13,8586135,220.82
21,15,10144176.52,220.56
22,15,10021361.77,217.89
2,24,9493642.5,217.42
2,4,8258568.25,217.24
15,14,9724479.1,216.93
16,11,8260573.92,216.62
19,14,8259776.2,216.6
15,13,9701390.65,216.41
8,10,8267319.78,216.12
7,11,8260740.53,215.95
16,13,8185811.38,214.66
2,12,8535218.22,214.37
3,14,8398219.45,213.47
15,12,9554349.5,213.13
18,14,9527441.3,212.53
18,10,8018668.8,210.27
6,11,7963926.52,208.19
7,10,7865948.32,205.62
3,13,8033750.92,204.21
5,3,7909042.3,200.87
4,12,7886373.45,200.46
19,10,7644077.28,200.45
5,12,7638240.25,199.67
4,8,8544353.25,198.33
20,9,7558379.15,198.2
22,17,8945498.95,196.99
8,9,8625892.82,194.95
34,35,8038834.22,194.2
17,14,8637572.53,192.68
33,34,7975932.73,192.68
19,15,8670881.78,190.94
20,16,8748419.7,190.21
4,15,8583774.3,189.02
34,36,7780461.78,187.96
3,24,8110867.88,185.75
9,12,7892993.55,185.72
2,15,8511445.17,185.06
20,15,8477989.35,184.33
8,17,7828179.65,184.19
3,25,7437638.88,182.5
2,23,7914703.13,181.26
4,24,7850468.05,179.79
21,16,8164970.5,177.53
4,16,8060673.15,177.51
4,17,7787764.53,176.01
18,15,7844217.37,174.98
3,16,7906052.98,174.1
21,17,7873522.17,173.38
18,17,7785746.23,171.45
3,15,7843114.9,170.53
2,21,7600853.12,167.38
2,17,7564568.75,166.58
2,16,7572527.45,164.64
3,17,7404405.92,163.05
