P:N1,P:N2,净利润,年化收益率%
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
2,1,0,0
2,2,0,0
2,3,1075738.67,86.81
2,4,988963.92,78.33
2,5,2966044.05,234.93
2,6,3572697.95,275.43
2,7,2636920.63,211.76
2,8,3132328.75,251.54
2,9,4060609.05,321.62
2,10,3378085.27,267.56
2,11,2319891.3,183.75
2,12,1263285.6,101.45
2,13,261820.55,21.32
2,14,1990117.23,162.07
2,15,1876224.2,152.79
2,16,1574556,128.23
2,17,1097774.7,94.74
2,18,43932.1,3.79
2,19,-458969.4,-39.03
2,20,-1341249.7,-117.5
2,21,-1529356.08,-133.98
2,22,-1927858.15,-168.89
2,23,-2421662.55,-212.15
2,24,-2477685,-217.06
2,25,-3268051.72,-281.2
2,26,-3613914.65,-304.57
2,27,-3680426.5,-304.35
2,28,-3689932.2,-309.15
2,29,-1776975.25,-163.09
2,30,-371199,-34.62
2,31,-371199,-34.62
2,32,134070.08,12.5
2,33,297375.05,27.73
2,34,295974.93,28.05
2,35,225789.85,21.4
2,36,225789.85,21.4
2,37,-303522.95,-30.77
2,38,967345.5,98.07
2,39,-180167.8,-17.96
2,40,-242572.5,-23.86
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
3,1,0,0
3,2,-1242396.1,-104.7
3,3,0,0
3,4,2616531.18,201.72
3,5,3024472.17,233.17
3,6,965218.38,74.41
3,7,1645736.3,132.16
3,8,4579574.78,367.77
3,9,2891339.13,232.19
3,10,2433907.42,195.46
3,11,2019054.52,162.14
3,12,1950020.02,156.6
3,13,1720410.15,140.1
3,14,3338622.23,271.89
3,15,1374757.53,118.64
3,16,1073089.33,92.61
3,17,1313631.45,111.7
3,18,51304.63,4.36
3,19,-561368.25,-47.73
3,20,-1033910.75,-87.91
3,21,-1637987.65,-143.5
3,22,-2113501.2,-185.16
3,23,-3409660.03,-297.41
3,24,-2740366.55,-235.8
3,25,-2718177.65,-233.89
3,26,-3386955,-288.14
3,27,-4160984.25,-339.67
3,28,-3904433.02,-322.87
3,29,-1810558.55,-168.85
3,30,-547960.58,-51.1
3,31,-641064.08,-60.76
3,32,-594483.83,-55.44
3,33,-594483.83,-55.44
3,34,-417722.25,-38.96
3,35,350101.4,32.65
3,36,225789.85,21.4
3,37,-303522.95,-30.77
3,38,967345.5,98.07
3,39,490626.22,48.89
3,40,-242572.5,-23.86
3,41,0,0
3,42,0,0
3,43,0,0
3,44,0,0
3,45,0,0
3,46,0,0
3,47,0,0
3,48,0,0
3,49,0,0
3,50,0,0
4,1,0,0
4,2,-4001336.05,-339.71
4,3,2835362.93,240.72
4,4,0,0
4,5,2747060.95,211.78
4,6,5306923.72,426.18
4,7,4401615.45,353.48
4,8,2199697.5,176.65
4,9,2838171.3,227.92
4,10,2871265.63,230.58
4,11,1703062.57,136.77
4,12,576185.55,46.92
4,13,113548.47,9.25
4,14,1784734.05,145.34
4,15,1288464.78,111.19
4,16,1162288.38,96.01
4,17,1148493,94.87
4,18,51304.63,4.36
4,19,71911.72,6.11
4,20,-1033910.75,-87.91
4,21,-1637987.65,-143.5
4,22,-2113501.2,-185.16
4,23,-3409660.03,-297.41
4,24,-2740366.55,-235.8
4,25,-3593718.65,-307.66
4,26,-3854359.85,-327.9
4,27,-3830920.85,-326.99
4,28,-1991004.2,-185.68
4,29,-1991004.2,-185.68
4,30,-2037527.45,-190.02
4,31,-2037527.45,-190.02
4,32,-1857081.8,-173.19
4,33,-711249.15,-67.42
4,34,-1026020.4,-100.55
4,35,-853306.8,-83.62
4,36,-360181.65,-35.3
4,37,-557481.83,-55.67
4,38,838024.28,83.69
4,39,490626.22,48.89
4,40,-242572.5,-23.86
4,41,0,0
4,42,0,0
4,43,0,0
4,44,0,0
4,45,0,0
4,46,0,0
4,47,0,0
4,48,0,0
4,49,0,0
4,50,0,0
5,1,0,0
5,2,-869420.55,-70.8
5,3,772558.52,64.73
5,4,-2354034.95,-197.22
5,5,0,0
5,6,3575301.2,287.12
5,7,2923290.15,234.76
5,8,3682867.13,295.76
5,9,2911274.5,233.79
5,10,903445.57,72.55
5,11,-141390.55,-11.51
5,12,-611982.05,-49.84
5,13,-1858046.47,-160.35
5,14,1203559,99.41
5,15,1189815.88,98.28
5,16,1666480,137.65
5,17,1666427.75,137.65
5,18,1383496.35,112.67
5,19,110935.1,9.72
5,20,-1022551.2,-89.58
5,21,-1133646.1,-99.31
5,22,-2402799.52,-218.57
5,23,-2179452.28,-190.1
5,24,-2236025,-192.4
5,25,-3236640.5,-274.39
5,26,-3363611.5,-286.15
5,27,-3494773.25,-292.8
5,28,-3594469.9,-301.15
5,29,-1546779.1,-144.25
5,30,-2199882.15,-205.16
5,31,-2037527.45,-190.02
5,32,-2359868.65,-231.27
5,33,-2359868.65,-231.27
5,34,-2259982.7,-221.48
5,35,-1026020.4,-100.55
5,36,-537171.67,-53.55
5,37,-125362.72,-12.52
5,38,838024.28,83.69
5,39,490626.22,48.89
5,40,-242572.5,-23.86
5,41,0,0
5,42,0,0
5,43,0,0
5,44,0,0
5,45,0,0
5,46,0,0
5,47,0,0
5,48,0,0
5,49,0,0
5,50,0,0
6,1,0,0
6,2,1760677.52,143.38
6,3,3037840.05,264.76
6,4,2018902.05,173.49
6,5,-641315.35,-53.85
6,6,0,0
6,7,3153755.5,249.8
6,8,1684408.65,135.27
6,9,1203890,98.04
6,10,799876,65.14
6,11,-845364.33,-68.84
6,12,-527263.97,-42.94
6,13,-117992,-9.75
6,14,1707750.63,141.06
6,15,1707750.63,141.06
6,16,1480458.2,125.88
6,17,1914816.3,155.94
6,18,7736.72,0.68
6,19,110935.1,9.72
6,20,-1022551.2,-89.58
6,21,-1908376.52,-175.15
6,22,-1002833.7,-87.85
6,23,-2179452.28,-190.1
6,24,-3121760.9,-267.25
6,25,-3272322.75,-277.42
6,26,-3363611.5,-286.15
6,27,-3494773.25,-292.8
6,28,-3594469.9,-301.15
6,29,-1546779.1,-144.25
6,30,-2079814.9,-203.82
6,31,-2079814.9,-203.82
6,32,-2079814.9,-203.82
6,33,-2359868.65,-231.27
6,34,-2074025.25,-204.01
6,35,-2040106.3,-203.39
6,36,-622535.85,-62.03
6,37,-29354.85,-2.96
6,38,898080.15,93.55
6,39,490626.22,48.89
6,40,-242572.5,-23.86
6,41,0,0
6,42,0,0
6,43,0,0
6,44,0,0
6,45,0,0
6,46,0,0
6,47,0,0
6,48,0,0
6,49,0,0
6,50,0,0
7,1,0,0
7,2,-2017306,-169.01
7,3,-3937235.7,-329.87
7,4,-3961443.7,-331.9
7,5,226441.5,17.46
7,6,1720722.13,132.66
7,7,0,0
7,8,1230126.88,100.18
7,9,1203890,98.04
7,10,-1104561.67,-95.32
7,11,-794680.9,-65.64
7,12,502791.55,41.53
7,13,239689.38,19.8
7,14,1707750.63,141.06
7,15,1956139.18,159.3
7,16,2005573.18,163.33
7,17,1192794.9,104.5
7,18,-73553.9,-6.44
7,19,29644.47,2.6
7,20,-1022551.2,-89.58
7,21,-1206832.68,-105.73
7,22,-892637.8,-78.2
7,23,-3299519.7,-282.49
7,24,-3294511.65,-279.3
7,25,-3272322.75,-277.42
7,26,-3363611.5,-286.15
7,27,-3541296.5,-296.7
7,28,-3594469.9,-301.15
7,29,-2079814.9,-203.82
7,30,-2079814.9,-203.82
7,31,-2079814.9,-203.82
7,32,-1793971.5,-180.66
7,33,-1793971.5,-180.66
7,34,-2074025.25,-204.01
7,35,583729.65,58.16
7,36,898080.15,93.55
7,37,898080.15,93.55
7,38,898080.15,93.55
7,39,490626.22,48.89
7,40,-242572.5,-23.86
7,41,0,0
7,42,0,0
7,43,0,0
7,44,0,0
7,45,0,0
7,46,0,0
7,47,0,0
7,48,0,0
7,49,0,0
7,50,0,0
8,1,0,0
8,2,-2017306,-169.01
8,3,-1883660.63,-158.93
8,4,-1883660.63,-158.93
8,5,-1883660.63,-158.93
8,6,-4021600.45,-339.3
8,7,552871.95,42.62
8,8,0,0
8,9,1254573.43,103.63
8,10,1018661.43,84.14
8,11,351257.88,29.01
8,12,282223.38,23.31
8,13,407905.23,33.69
8,14,899984.6,73.29
8,15,2046843.8,166.69
8,16,935573.1,85.87
8,17,708143.98,64.99
8,18,-716568.5,-65.77
8,19,-613370.12,-56.29
8,20,-1095187.5,-95.95
8,21,-1206832.68,-105.73
8,22,-1410275.33,-127.41
8,23,-3299519.7,-282.49
8,24,-3294511.65,-279.3
8,25,-3318846,-281.36
8,26,-3410134.75,-290.11
8,27,-3541296.5,-296.7
8,28,-3911085.25,-327.68
8,29,-2079814.9,-203.82
8,30,-2079814.9,-203.82
8,31,-1793971.5,-180.66
8,32,-1793971.5,-180.66
8,33,0,0
8,34,0,0
8,35,898080.15,93.55
8,36,898080.15,93.55
8,37,898080.15,93.55
8,38,583729.65,58.16
8,39,490626.22,48.89
8,40,-242572.5,-23.86
8,41,0,0
8,42,0,0
8,43,0,0
8,44,0,0
8,45,0,0
8,46,0,0
8,47,0,0
8,48,0,0
8,49,0,0
8,50,0,0
9,1,0,0
9,2,-3900966.63,-326.83
9,3,-1883660.63,-158.93
9,4,-1883660.63,-158.93
9,5,-1883660.63,-158.93
9,6,-1646210.63,-126.91
9,7,-1753028.43,-136.97
9,8,-3972318.72,-310.38
9,9,0,0
9,10,1267049.98,103.18
9,11,599646.43,48.83
9,12,-1168337.7,-95.15
9,13,-1022532.9,-83.27
9,14,-810856.8,-66.03
9,15,-1127901.8,-103.52
9,16,-1127901.8,-103.52
9,17,-1127901.8,-103.52
9,18,-1159167.42,-106.39
9,19,42150.72,3.69
9,20,-1095187.5,-95.95
9,21,-2044944.78,-187.68
9,22,-1942670.23,-181.17
9,23,-3299519.7,-282.49
9,24,-3393761.25,-287.71
9,25,-3318846,-281.36
9,26,-3410134.75,-290.11
9,27,-4074332.3,-341.35
9,28,-4127505.7,-345.81
9,29,-2079814.9,-203.82
9,30,-1793971.5,-180.66
9,31,-1793971.5,-180.66
9,32,-1793971.5,-180.66
9,33,898080.15,93.55
9,34,898080.15,93.55
9,35,898080.15,93.55
9,36,583729.65,58.16
9,37,583729.65,58.16
9,38,583729.65,58.16
9,39,490626.22,48.89
9,40,-242572.5,-23.86
9,41,0,0
9,42,0,0
9,43,0,0
9,44,0,0
9,45,0,0
9,46,0,0
9,47,0,0
9,48,0,0
9,49,0,0
9,50,0,0
10,1,0,0
10,2,-2017306,-169.01
10,3,0,0
10,4,0,0
10,5,1832404.02,145.14
10,6,-31813.4,-2.52
10,7,-31813.4,-2.52
10,8,-31813.4,-2.52
10,9,-171847.8,-13.8
10,10,0,0
10,11,213668.08,19.61
10,12,-3320778.72,-304.77
10,13,-3004169.67,-275.72
10,14,-2932032.2,-269.1
10,15,-582854.87,-53.49
10,16,-1127901.8,-103.52
10,17,-486387.95,-42.61
10,18,42150.72,3.69
10,19,42150.72,3.69
10,20,-1926496.2,-176.81
10,21,-2274373.85,-212.1
10,22,-1942670.23,-181.17
10,23,-3299519.7,-282.49
10,24,-3341034.9,-283.24
10,25,-3318846,-281.36
10,26,-3943170.55,-335.46
10,27,-4074332.3,-341.35
10,28,-4127505.7,-345.81
10,29,-1793971.5,-180.66
10,30,-1793971.5,-180.66
10,31,-1793971.5,-180.66
10,32,0,0
10,33,583729.65,58.16
10,34,583729.65,58.16
10,35,583729.65,58.16
10,36,583729.65,58.16
10,37,583729.65,58.16
10,38,583729.65,58.16
10,39,490626.22,48.89
10,40,-242572.5,-23.86
10,41,0,0
10,42,0,0
10,43,0,0
10,44,0,0
10,45,0,0
10,46,0,0
10,47,0,0
10,48,0,0
10,49,0,0
10,50,0,0
11,1,0,0
11,2,0,0
11,3,0,0
11,4,1832404.02,145.14
11,5,1832404.02,145.14
11,6,-31813.4,-2.52
11,7,-31813.4,-2.52
11,8,-31813.4,-2.52
11,9,-171847.8,-13.8
11,10,-171847.8,-13.8
11,11,0,0
11,12,102832.27,9.44
11,13,-2331390.2,-204.24
11,14,-873585.7,-76.53
11,15,42150.72,3.69
11,16,42150.72,3.69
11,17,42150.72,3.69
11,18,-449974.05,-40.65
11,19,-955355.45,-89.09
11,20,-2153974.3,-200.88
11,21,-2274373.85,-212.1
11,22,-2145971.83,-200.13
11,23,-3346042.95,-286.48
11,24,-3341034.9,-283.24
11,25,-3851881.8,-326.55
11,26,-3943170.55,-335.46
11,27,-4074332.3,-341.35
11,28,-3841662.3,-321.86
11,29,-1793971.5,-180.66
11,30,-1793971.5,-180.66
11,31,0,0
11,32,583729.65,58.16
11,33,583729.65,58.16
11,34,583729.65,58.16
11,35,583729.65,58.16
11,36,639837.5,64.69
11,37,639837.5,64.69
11,38,639837.5,64.69
11,39,490626.22,48.89
11,40,-242572.5,-23.86
11,41,0,0
11,42,0,0
11,43,0,0
11,44,0,0
11,45,0,0
11,46,0,0
11,47,0,0
11,48,0,0
11,49,0,0
11,50,0,0
12,1,0,0
12,2,0,0
12,3,0,0
12,4,1832404.02,145.14
12,5,1832404.02,145.14
12,6,-31813.4,-2.52
12,7,-31813.4,-2.52
12,8,-31813.4,-2.52
12,9,-171847.8,-13.8
12,10,2487247.6,199.74
12,11,1874957.7,150.57
12,12,0,0
12,13,144158.83,12.63
12,14,-1114835.1,-100.72
12,15,-699483.4,-61.28
12,16,-873147.55,-76.49
12,17,-955355.45,-89.09
12,18,-955355.45,-89.09
12,19,-1740761.45,-162.34
12,20,-2153974.3,-200.88
12,21,-2371172.23,-218.06
12,22,-2037967.85,-190.06
