P:N1,P:N2,净利润,年化收益率%,夏普比率
4,6,17204758.98,121.48,0.817
4,9,17936631.83,119.81,0.8746
4,5,16721994.7,116.63,0.7569
7,10,15677092.5,112.3,0.819
6,8,15823450.73,110.16,0.8051
9,10,15188936.55,108.8,0.8033
8,11,15673045.82,107.1,0.7994
5,6,14779064.45,104.36,0.6653
8,9,15345661.97,103.9,0.8422
5,2,12658402.08,103.16,0.8404
2,6,16478126.77,103.1,0.7053
3,6,14753996.32,102.71,0.6643
3,5,16413704.27,102.7,0.7645
12,4,13064833.38,101.85,1.0325
5,9,14620333.02,101.78,0.7836
20,3,12629156.58,101.49,0.9202
19,3,14109515.23,99.63,1.0089
9,5,12389773.88,99.48,0.695
6,7,14012122.27,98.94,0.6035
4,7,14569926.6,97.32,0.7189
7,9,13156040.1,97.06,0.704
42,6,13228040.3,96.55,0.9469
8,10,13434878.5,96.24,0.7507
3,8,14372988.28,96,0.6896
3,9,14238040.58,95.1,0.6927
2,5,13918265.7,94.24,0.559
16,8,12851813.95,93.42,0.7845
6,9,13951595.02,93.35,0.7577
6,11,13504819.07,92.29,0.72
40,10,12592779.05,91.92,0.8944
20,11,13405092.35,91.74,0.7716
3,7,13172820.9,91.7,0.5736
41,11,12260779.07,89.49,0.8556
42,11,12201358.8,89.06,0.8524
42,10,12174218.88,88.86,0.8522
20,12,15765626,88.77,0.8156
9,12,16426563.35,88.69,0.7867
8,12,15521545.45,88.67,0.7389
20,13,15600845.13,87.85,0.8085
4,10,12584321.83,87.61,0.643
7,11,12796592.22,87.45,0.7114
9,11,13151156.68,86.3,0.7196
20,14,15270559.8,85.99,0.7804
42,14,13002492.82,85.23,0.9258
6,12,14401967.37,84.73,0.6496
19,14,15437688.3,84.51,0.7893
7,14,15644851.35,84.47,0.7859
19,13,15359433.2,84.08,0.7883
41,15,12686460.65,83.15,0.8985
15,4,12263304.52,83.03,0.9033
20,17,16782923.68,82.93,0.8721
20,15,17933692.95,82.28,0.8971
20,18,16612372.88,82.08,0.8449
14,10,12110388.93,82,0.7075
15,11,12365930.68,81.15,0.7182
19,15,18297979.93,80.51,0.912
42,15,12322776.25,79.16,0.8609
18,12,13803138.93,77.72,0.7522
19,17,16892689.55,77.51,0.8714
18,14,13535016.2,77.32,0.6996
5,12,13090558.1,77.01,0.6537
6,13,13007914.75,76.53,0.5888
19,12,13501554.9,76.03,0.7432
5,14,12757937.45,75.05,0.568
8,15,15122669.7,74.72,0.8053
14,12,13796846.4,74.5,0.73
19,16,16024878.35,73.53,0.8409
7,13,12808434.32,73.17,0.6616
7,12,12797521.95,73.11,0.6747
2,16,15209169.02,72.91,0.7789
18,16,15520831.2,72.25,0.8039
15,12,13267692.95,71.64,0.7164
21,19,14923778.95,71.54,0.7722
17,15,14909407.2,71.47,0.7626
15,14,13219963.75,71.38,0.689
16,15,14839066.92,70.09,0.7827
2,14,12800584.02,69.12,0.6165
8,16,13800699.58,68.19,0.7592
7,16,15449306.3,67.97,0.803
7,15,15171620.7,66.75,0.7982
18,15,13881575.88,66.54,0.724
17,16,13702942.85,65.69,0.7288
14,13,12164182.95,65.68,0.6668
5,16,13622170.83,65.3,0.7159
6,17,13135922.32,64.91,0.7205
12,15,13611279.5,64.29,0.7385
5,17,13948859.67,64,0.7579
10,16,13221916.15,63.38,0.6948
2,17,14011604.25,62.5,0.7357
19,18,12595943.88,62.24,0.68
8,17,12553566.8,62.03,0.7048
20,19,12855209.43,61.62,0.6993
9,16,12114874.57,59.86,0.6667
6,16,12067527.7,59.63,0.6621
10,15,12429469.78,59.58,0.6705
5,15,12365127.38,59.27,0.587
2,19,12854273.9,58.98,0.7193
2,18,12313391.27,56.5,0.6377
3,18,12505988.65,55.79,0.6837
4,18,12076005.15,55.41,0.6583
