P:N1,P:N2,净利润,年化收益率%,夏普比率
8,42,0,0,0
8,43,0,0,0
8,44,0,0,0
8,45,0,0,0
8,46,0,0,0
8,47,0,0,0
8,48,0,0,0
8,49,0,0,0
8,50,0,0,0
9,1,0,0,0
9,2,2280190.5,223.87,1.8264
9,3,1687524.5,159.97,1.4846
9,4,2069044.43,210.62,1.5666
9,5,2017981.22,191.3,1.4685
9,6,2017981.22,191.3,1.4685
9,7,659779.63,62.54,0.5385
9,8,322018.2,31.66,0.3246
9,9,0,0,0
9,10,1215459.05,115.23,0.8301
9,11,1319110.85,125.06,0.9015
9,12,921091.82,90.43,0.6639
9,13,78160.5,7.67,0.1557
9,14,271957.35,26.7,0.2733
9,15,209893.95,21.37,0.2617
9,16,120838.5,12.3,0.1964
9,17,120838.5,12.3,0.1964
9,18,337446.3,34.35,0.3533
9,19,-228379.32,-22.63,-0.0669
9,20,259181.27,25.68,0.2888
9,21,182219.77,18.05,0.2276
9,22,-18630.6,-1.83,0.0816
9,23,-619454.7,-56.76,-0.4343
9,24,-329137.6,-31.2,-0.1879
9,25,308823.65,29.28,0.3319
9,26,1706365.08,161.76,1.5231
9,27,1706365.08,161.76,1.5231
9,28,1706365.08,161.76,1.5231
9,29,1594770.9,162.2,1.696
9,30,1594770.9,162.2,1.696
9,31,1594770.9,162.2,1.696
9,32,1594770.9,162.2,1.696
9,33,1594770.9,162.2,1.696
9,34,1593321.63,162.05,1.7055
9,35,1541817,151.59,1.6143
9,36,1759988.25,179.01,1.9255
9,37,1722307.1,176.83,1.9041
9,38,1322926.5,140.14,1.5198
9,39,-103642.2,-10.51,-0.1899
9,40,-433807.42,-43.02,-1.7069
9,41,0,0,0
9,42,0,0,0
9,43,0,0,0
9,44,0,0,0
9,45,0,0,0
9,46,0,0,0
9,47,0,0,0
9,48,0,0,0
9,49,0,0,0
9,50,0,0,0
10,1,0,0,0
10,2,2309399.77,235.14,1.909
10,3,-1440557.33,-136.56,-1.1205
10,4,-1440557.33,-136.56,-1.1205
10,5,718550.22,68.12,0.5776
10,6,-2622647.02,-266.98,-2.2221
10,7,-2622647.02,-266.98,-2.2221
10,8,330563.93,32.5,0.331
10,9,603807.63,61.41,0.5126
10,10,0,0,0
10,11,629408.03,61.8,0.4795
10,12,659122.87,64.71,0.5011
10,13,-83762.27,-8.53,0.0553
10,14,4087.57,0.42,0.1043
10,15,120838.5,12.3,0.1964
10,16,248390.85,25.29,0.2879
10,17,-228379.32,-22.63,-0.0669
10,18,-228379.32,-22.63,-0.0669
10,19,-781882.82,-77.47,-0.4501
10,20,-602476.23,-59.67,-0.327
10,21,-679437.73,-67.3,-0.3882
10,22,410635.05,40.32,0.3921
10,23,-190189.05,-17.43,-0.1344
10,24,-807278.8,-76.53,-0.4505
10,25,1817959.25,172.33,1.5638
10,26,1160977.13,110.46,1.0944
10,27,1594770.9,162.2,1.696
10,28,1594770.9,162.2,1.696
10,29,1594770.9,162.2,1.696
10,30,1594770.9,162.2,1.696
10,31,1594770.9,162.2,1.696
10,32,1594770.9,162.2,1.696
10,33,1567304.25,154.09,1.6125
10,34,1593321.63,162.05,1.7055
10,35,1541817,151.59,1.6143
10,36,1759988.25,179.01,1.9255
10,37,1722307.1,176.83,1.9041
10,38,1322926.5,140.14,1.5198
10,39,-103642.2,-10.51,-0.1899
10,40,-433807.42,-43.02,-1.7069
10,41,0,0,0
10,42,0,0,0
10,43,0,0,0
10,44,0,0,0
10,45,0,0,0
10,46,0,0,0
10,47,0,0,0
10,48,0,0,0
10,49,0,0,0
10,50,0,0,0
11,1,0,0,0
11,2,0,0,0
11,3,2069044.43,210.62,1.5666
11,4,2069044.43,210.62,1.5666
11,5,-2622647.02,-266.98,-2.2221
11,6,-2622647.02,-266.98,-2.2221
11,7,-2622647.02,-266.98,-2.2221
11,8,357530.82,36.36,0.3501
11,9,603807.63,61.41,0.5126
11,10,-1191200.38,-113.34,-0.6309
11,11,0,0,0
11,12,370713.38,36.45,0.3266
11,13,-659984.85,-65.64,-0.3206
11,14,-1008297.2,-100.28,-0.5468
11,15,-781882.82,-77.47,-0.4501
11,16,-781882.82,-77.47,-0.4501
11,17,-781882.82,-77.47,-0.4501
11,18,-872895.45,-86.46,-0.5009
11,19,-765591.83,-75.17,-0.4308
11,20,-572134.1,-56.17,-0.315
11,21,410635.05,40.32,0.3921
11,22,-496771.8,-47.27,-0.2201
11,23,1400887.5,128.37,1.1027
11,24,1609263.65,152.55,1.3577
11,25,1817959.25,172.33,1.5638
11,26,1811243,177.83,1.6978
11,27,1594770.9,162.2,1.696
11,28,1594770.9,162.2,1.696
11,29,1594770.9,162.2,1.696
11,30,1594770.9,162.2,1.696
11,31,1567304.25,154.09,1.6125
11,32,1567304.25,154.09,1.6125
11,33,1567304.25,154.09,1.6125
11,34,1593321.63,162.05,1.7055
11,35,1541817,151.59,1.6143
11,36,1759988.25,179.01,1.9255
11,37,1722307.1,176.83,1.9041
11,38,1322926.5,140.14,1.5198
11,39,-103642.2,-10.51,-0.1899
11,40,-433807.42,-43.02,-1.7069
11,41,0,0,0
11,42,0,0,0
11,43,0,0,0
11,44,0,0,0
11,45,0,0,0
11,46,0,0,0
11,47,0,0,0
11,48,0,0,0
11,49,0,0,0
11,50,0,0,0
12,1,0,0,0
12,2,2309399.77,235.14,1.909
12,3,0,0,0
12,4,2069044.43,210.62,1.5666
12,5,-2622647.02,-266.98,-2.2221
12,6,-2622647.02,-266.98,-2.2221
12,7,-2622647.02,-266.98,-2.2221
12,8,376141.13,36.98,0.361
12,9,603807.63,61.41,0.5126
12,10,280623.88,27.55,0.2879
12,11,1067722.8,104.81,0.8029
12,12,0,0,0
12,13,-1083784.93,-107.38,-0.5839
12,14,-889988.07,-88.18,-0.4731
12,15,-564741.45,-55.95,-0.2937
12,16,-1110576.55,-110,-0.6631
12,17,-1371588.68,-134.66,-0.8617
12,18,-1133907.58,-111.33,-0.7006
12,19,-28000.02,-2.75,0.0566
12,20,1837829.7,180.44,1.4976
12,21,1658539,157.22,1.316
12,22,1544046.27,146.37,1.2376
12,23,1400887.5,128.37,1.1027
12,24,1609263.65,152.55,1.3577
12,25,1817959.25,172.33,1.5638
12,26,1631002.77,154.61,1.4507
12,27,1706365.08,161.76,1.5231
12,28,1594770.9,162.2,1.696
12,29,1594770.9,162.2,1.696
12,30,1594770.9,162.2,1.696
12,31,1567304.25,154.09,1.6125
12,32,1567304.25,154.09,1.6125
12,33,1567304.25,154.09,1.6125
12,34,1593321.63,162.05,1.7055
12,35,1541817,151.59,1.6143
12,36,1759988.25,179.01,1.9255
12,37,1722307.1,176.83,1.9041
12,38,1322926.5,140.14,1.5198
12,39,-103642.2,-10.51,-0.1899
12,40,-433807.42,-43.02,-1.7069
12,41,0,0,0
12,42,0,0,0
12,43,0,0,0
12,44,0,0,0
12,45,0,0,0
12,46,0,0,0
12,47,0,0,0
12,48,0,0,0
12,49,0,0,0
12,50,0,0,0
13,1,0,0,0
13,2,2309399.77,235.14,1.909
13,3,-1840301.25,-162.84,-1.0774
13,4,2069044.43,210.62,1.5666
13,5,-2622647.02,-266.98,-2.2221
13,6,-2622647.02,-266.98,-2.2221
13,7,-2622647.02,-266.98,-2.2221
13,8,799709.63,81.34,0.6511
13,9,614202.38,62.47,0.5262
13,10,1297388.3,127.35,0.9775
13,11,1209232.4,118.7,0.9129
13,12,1097165.2,107.7,0.8374
13,13,0,0,0
13,14,-3250289.42,-319.12,-2.1523
13,15,-3285252.92,-322.55,-2.4221
13,16,-3358096.88,-329.7,-2.6166
13,17,-28000.02,-2.75,0.0566
13,18,868729.6,82.35,0.7154
13,19,868729.6,82.35,0.7154
13,20,1544046.27,146.37,1.2376
13,21,1544046.27,146.37,1.2376
13,22,1544046.27,146.37,1.2376
13,23,1400887.5,128.37,1.1027
13,24,1609263.65,152.55,1.3577
13,25,1817959.25,172.33,1.5638
13,26,1631002.77,154.61,1.4507
13,27,1631002.77,154.61,1.4507
13,28,1706365.08,161.76,1.5231
13,29,1594770.9,162.2,1.696
13,30,1594770.9,162.2,1.696
13,31,1567304.25,154.09,1.6125
13,32,1567304.25,154.09,1.6125
13,33,1567304.25,154.09,1.6125
13,34,1593321.63,162.05,1.7055
13,35,1541817,151.59,1.6143
13,36,1759988.25,179.01,1.9255
13,37,1722307.1,176.83,1.9041
13,38,1322926.5,140.14,1.5198
13,39,-103642.2,-10.51,-0.1899
13,40,-433807.42,-43.02,-1.7069
13,41,0,0,0
13,42,0,0,0
13,43,0,0,0
13,44,0,0,0
13,45,0,0,0
13,46,0,0,0
13,47,0,0,0
13,48,0,0,0
13,49,0,0,0
13,50,0,0,0
14,1,0,0,0
14,2,2309399.77,235.14,1.909
14,3,-1840301.25,-162.84,-1.0774
14,4,2069044.43,210.62,1.5666
14,5,-2622647.02,-266.98,-2.2221
14,6,-2622647.02,-266.98,-2.2221
14,7,-2622647.02,-266.98,-2.2221
14,8,799709.63,81.34,0.6511
14,9,704192.38,69.12,0.5801
14,10,1108759.4,108.84,0.8428
14,11,1881208,184.66,1.4012
14,12,1881208,184.66,1.4012
14,13,956095.7,93.85,0.7339
14,14,0,0,0
14,15,-3995609.9,-378.76,-2.9391
14,16,647640.2,61.39,0.559
14,17,647640.2,61.39,0.559
14,18,647640.2,61.39,0.559
14,19,647640.2,61.39,0.559
