P:N1,P:N2,净利润,年化收益率%,夏普比率
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,0,0,0
1,7,0,0,0
1,8,0,0,0
1,9,0,0,0
1,10,0,0,0
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1,14,0,0,0
1,15,0,0,0
1,16,0,0,0
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
1,24,0,0,0
1,25,0,0,0
1,26,0,0,0
1,27,0,0,0
1,28,0,0,0
1,29,0,0,0
1,30,0,0,0
1,31,0,0,0
1,32,0,0,0
1,33,0,0,0
1,34,0,0,0
1,35,0,0,0
1,36,0,0,0
1,37,0,0,0
1,38,0,0,0
1,39,0,0,0
1,40,0,0,0
1,41,0,0,0
1,42,0,0,0
1,43,0,0,0
1,44,0,0,0
1,45,0,0,0
1,46,0,0,0
1,47,0,0,0
1,48,0,0,0
1,49,0,0,0
1,50,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,4460779.45,396.96,2.1266
2,4,1691263.48,150.51,0.7077
2,5,3167277.15,273.31,1.476
2,6,3565033.78,317.25,1.7465
2,7,2771358.32,246.62,1.3119
2,8,3627470.85,322.81,2.0196
2,9,4278703.58,369.22,2.4404
2,10,3443578.57,306.44,2.0617
2,11,3374243.92,300.27,2.1267
2,12,3374243.92,300.27,2.1267
2,13,3107620.07,294.98,2.0069
2,14,3224858.33,306.11,2.1487
2,15,2522230.23,246.11,1.8717
2,16,2771835.52,271.64,2.0741
2,17,3021034.4,296.06,2.4004
2,18,3028708.2,302.55,2.4452
2,19,3028708.2,302.55,2.4452
2,20,3128304.25,302.74,2.4879
2,21,3128304.25,302.74,2.4879
2,22,3167323.75,306.51,2.5177
2,23,3601408,348.52,2.8921
2,24,3580618.4,346.51,2.9211
2,25,3571023.2,345.58,2.9294
2,26,3301658.25,309.83,2.6631
2,27,3319948.8,321.28,2.784
2,28,3558229.6,353.32,3.1
2,29,3292709.18,326.96,2.8464
2,30,3532642.4,350.78,3.0756
2,31,3415900.8,343.54,2.9902
2,32,3414301.6,343.38,2.9911
2,33,3288464.85,328.25,2.8781
2,34,2761629.3,252.69,2.2534
2,35,3273622.27,331.27,3.3071
2,36,3161478.38,324.08,3.2164
2,37,2765377.13,279.88,2.7805
2,38,2590714.8,262.01,2.7702
2,39,1835094,187.07,2.3212
2,40,443942.03,43.65,0.9119
2,41,0,0,0
2,42,0,0,0
2,43,0,0,0
2,44,0,0,0
2,45,0,0,0
2,46,0,0,0
2,47,0,0,0
2,48,0,0,0
2,49,0,0,0
2,50,0,0,0
3,1,0,0,0
3,2,-3993153.1,-343.84,-2.7597
3,3,0,0,0
3,4,3277873.05,282.86,1.575
3,5,3162216.55,272.88,1.5886
3,6,3255625.55,289.72,1.5753
3,7,3402640.88,293.62,1.732
3,8,4158680.63,358.87,2.3717
3,9,3656903.77,315.57,2.1038
3,10,3831629.33,340.98,2.2616
3,11,3830028.53,340.83,2.3722
3,12,3945286.13,351.09,2.4437
3,13,3244642.63,307.99,2.0933
3,14,3294160.4,312.69,2.1898
3,15,2558091.92,250.69,1.8645
3,16,2517802.35,245.68,1.8432
3,17,3412816.05,340.56,2.7238
3,18,3028708.2,302.55,2.4452
3,19,2982731.5,288.65,2.3394
3,20,3089284.75,298.96,2.4599
3,21,3089284.75,298.96,2.4599
3,22,3167323.75,306.51,2.5177
3,23,3499708.58,349.6,2.9369
3,24,3499708.58,349.6,2.9369
3,25,3571023.2,345.58,2.9294
3,26,3301658.25,309.83,2.6631
3,27,3319948.8,321.28,2.784
3,28,3532642.4,350.78,3.0756
3,29,3532642.4,350.78,3.0756
3,30,3575820.8,355.07,3.1158
3,31,3415900.8,343.54,2.9902
3,32,3414301.6,343.38,2.9911
3,33,3288464.85,328.25,2.8781
3,34,2761629.3,252.69,2.2534
3,35,2999009.95,302.65,2.9864
3,36,2999009.95,302.65,2.9864
3,37,2765377.13,279.88,2.7805
3,38,2590714.8,262.01,2.7702
3,39,2396412.3,240.12,2.6824
3,40,443942.03,43.65,0.9119
3,41,0,0,0
3,42,0,0,0
3,43,0,0,0
3,44,0,0,0
3,45,0,0,0
3,46,0,0,0
3,47,0,0,0
3,48,0,0,0
3,49,0,0,0
3,50,0,0,0
4,1,0,0,0
4,2,-28503.07,-2.45,-0.2179
4,3,425534.55,35.64,0.3465
4,4,0,0,0
4,5,3946499.43,330.54,2.068
4,6,2973788.9,264.64,1.4585
4,7,3306780,285.35,1.6806
4,8,4179831.6,360.69,2.3635
4,9,4195573.73,362.05,2.3759
4,10,3526734.5,313.84,2.102
4,11,3501121.7,311.56,2.1944
4,12,3924109.8,349.21,2.4414
4,13,3564102.28,338.31,2.2879
4,14,3294160.4,312.69,2.1898
4,15,3077690.85,307.12,2.2452
4,16,3118440.07,311.18,2.2888
4,17,3412816.05,340.56,2.7238
4,18,3412816.05,340.56,2.7238
4,19,3176328.25,307.38,2.4768
4,20,3089284.75,298.96,2.4599
4,21,3089284.75,298.96,2.4599
4,22,3076119.08,307.29,2.5074
4,23,3499708.58,349.6,2.9369
4,24,3512102.38,350.84,2.9732
4,25,3571023.2,345.58,2.9294
4,26,3301658.25,309.83,2.6631
4,27,3319948.8,321.28,2.784
4,28,3532642.4,350.78,3.0756
4,29,3575820.8,355.07,3.1158
4,30,3575820.8,355.07,3.1158
4,31,3415900.8,343.54,2.9902
4,32,3414301.6,343.38,2.9911
4,33,3288464.85,328.25,2.8781
4,34,2761629.3,252.69,2.2534
4,35,2999009.95,302.65,2.9864
4,36,2999009.95,302.65,2.9864
